Origin Time:2014/01/15 02:38:12
Lon:121.08°E
Lat:22.89°N
Depth:8.3km
Mag:5.1
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist=   3.90,AZ=343.90,PGA(V)=  78.72,PGA(NS)= 204.63,PGA(EW)= 189.38
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=   8.39,AZ=  0.82,PGA(V)=  46.84,PGA(NS)=  56.77,PGA(EW)= 113.77
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  17.37,AZ=334.25,PGA(V)=   7.90,PGA(NS)=  30.81,PGA(EW)=  23.81
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  26.45,AZ=212.34,PGA(V)=   6.70,PGA(NS)=   7.96,PGA(EW)=   9.69
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  33.00,AZ=169.99,PGA(V)=   4.61,PGA(NS)=   4.73,PGA(EW)=   6.46
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  35.15,AZ= 20.41,PGA(V)=  11.07,PGA(NS)=   6.22,PGA(EW)=   9.51
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  37.48,AZ=232.90,PGA(V)=   1.44,PGA(NS)=   4.49,PGA(EW)=   4.31
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  43.82,AZ=132.47,PGA(V)=   1.79,PGA(NS)=   4.55,PGA(EW)=   3.65
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  48.18,AZ= 69.95,PGA(V)=   6.76,PGA(NS)=   9.81,PGA(EW)=   6.46
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  54.37,AZ=112.36,PGA(V)=   1.20,PGA(NS)=   1.91,PGA(EW)=   2.39
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  55.62,AZ=204.37,PGA(V)=   0.66,PGA(NS)=   1.26,PGA(EW)=   1.26
