Origin Time:2014/06/18 03:49:13
Lon:121.97°E
Lat:24.50°N
Depth:61.8km
Mag:4.8
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  15.93,AZ=136.04,PGA(V)=   2.27,PGA(NS)=   4.37,PGA(EW)=   2.33
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  23.92,AZ= 68.58,PGA(V)=   5.62,PGA(NS)=  15.01,PGA(EW)=  19.20
Stacode=NLD ,Staname=羅東  ,Stalon=121.77,Stalat=24.67,Dist=  27.25,AZ=133.28,PGA(V)=   2.99,PGA(NS)=   6.58,PGA(EW)=   6.82
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  31.20,AZ= 45.57,PGA(V)=   5.14,PGA(NS)=   9.15,PGA(EW)=   9.87
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  35.84,AZ=143.12,PGA(V)=   3.05,PGA(NS)=   2.57,PGA(EW)=   2.63
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  37.38,AZ=129.25,PGA(V)=   2.21,PGA(NS)=   3.71,PGA(EW)=   4.19
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  42.62,AZ=110.16,PGA(V)=   1.56,PGA(NS)=   5.08,PGA(EW)=   4.19
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  51.99,AZ= 42.43,PGA(V)=   3.83,PGA(NS)=   7.36,PGA(EW)=   4.97
Stacode=NPL ,Staname=坪林  ,Stalon=121.71,Stalat=24.94,Dist=  54.59,AZ=151.62,PGA(V)=   1.08,PGA(NS)=   1.74,PGA(EW)=   0.90
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  59.72,AZ= 38.21,PGA(V)=   1.14,PGA(NS)=   0.96,PGA(EW)=   0.90
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  60.00,AZ= 82.88,PGA(V)=   1.32,PGA(NS)=   3.41,PGA(EW)=   3.05
