Origin Time:2014/06/21 10:21:09
Lon:121.65°E
Lat:23.47°N
Depth:52.0km
Mag:4.8
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  26.64,AZ= 49.87,PGA(V)=   1.68,PGA(NS)=   5.50,PGA(EW)=   3.47
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  28.22,AZ=158.13,PGA(V)=   5.38,PGA(NS)=   7.84,PGA(EW)=   7.66
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  29.18,AZ=144.01,PGA(V)=   4.61,PGA(NS)=   4.43,PGA(EW)=   5.86
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  33.13,AZ= 96.23,PGA(V)=   1.20,PGA(NS)=   2.45,PGA(EW)=   1.97
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  43.32,AZ=150.51,PGA(V)=   1.62,PGA(NS)=   3.89,PGA(EW)=   3.89
Stacode=ESF ,Staname=壽豐  ,Stalon=121.51,Stalat=23.87,Dist=  46.58,AZ=161.73,PGA(V)=   2.39,PGA(NS)=   4.91,PGA(EW)=   3.95
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  48.14,AZ=174.10,PGA(V)=   2.93,PGA(NS)=   5.86,PGA(EW)=   5.44
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  50.19,AZ= 34.47,PGA(V)=   0.96,PGA(NS)=   1.79,PGA(EW)=   1.97
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  55.93,AZ=176.13,PGA(V)=   1.08,PGA(NS)=   2.57,PGA(EW)=   3.95
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  56.28,AZ=170.85,PGA(V)=   3.47,PGA(NS)=   2.99,PGA(EW)=   2.39
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  57.04,AZ=163.63,PGA(V)=   4.49,PGA(NS)=   3.59,PGA(EW)=   4.07
