Origin Time:2015/10/13 19:49:04
Lon:121.65°E
Lat:23.48°N
Depth:49.1km
Mag:5.5
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  26.75,AZ=157.58,PGA(V)=  10.89,PGA(NS)=  13.16,PGA(EW)=  17.95
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  27.38,AZ= 47.12,PGA(V)=  15.31,PGA(NS)=  60.77,PGA(EW)=  35.23
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  27.82,AZ=142.75,PGA(V)=  13.58,PGA(NS)=  12.98,PGA(EW)=  17.59
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  32.70,AZ= 93.75,PGA(V)=   5.80,PGA(NS)=  11.72,PGA(EW)=  12.50
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  37.97,AZ= 67.08,PGA(V)=   3.05,PGA(NS)=   4.43,PGA(EW)=   5.92
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  41.90,AZ=149.90,PGA(V)=   4.49,PGA(NS)=  11.49,PGA(EW)=  10.29
Stacode=ESF ,Staname=壽豐  ,Stalon=121.51,Stalat=23.87,Dist=  45.10,AZ=161.52,PGA(V)=   6.22,PGA(NS)=  10.11,PGA(EW)=  15.91
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  46.66,AZ=174.29,PGA(V)=   6.64,PGA(NS)=  12.50,PGA(EW)=  16.15
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  51.23,AZ= 33.26,PGA(V)=  17.29,PGA(NS)=  47.49,PGA(EW)=  28.71
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  54.46,AZ=176.35,PGA(V)=   2.51,PGA(NS)=   5.14,PGA(EW)=   6.46
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  54.79,AZ=170.92,PGA(V)=   8.73,PGA(NS)=   5.98,PGA(EW)=   6.10
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  55.56,AZ=163.51,PGA(V)=   9.33,PGA(NS)=   7.36,PGA(EW)=   7.42
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  61.46,AZ= 45.47,PGA(V)=   5.80,PGA(NS)=  10.83,PGA(EW)=   9.63
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  66.21,AZ=176.23,PGA(V)=   1.68,PGA(NS)=   2.45,PGA(EW)=   1.68
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  66.75,AZ= 31.70,PGA(V)=   8.49,PGA(NS)=  17.17,PGA(EW)=  24.41
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  71.65,AZ= 62.63,PGA(V)=   5.03,PGA(NS)=   8.73,PGA(EW)=  11.84
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  74.66,AZ=178.08,PGA(V)=   1.91,PGA(NS)=   6.58,PGA(EW)=   6.16
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  82.38,AZ=152.37,PGA(V)=   1.68,PGA(NS)=   4.19,PGA(EW)=   6.34
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  85.24,AZ= 91.77,PGA(V)=   2.27,PGA(NS)=   5.32,PGA(EW)=   4.49
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  87.28,AZ=120.25,PGA(V)=   1.62,PGA(NS)=   1.85,PGA(EW)=   2.69
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist=  89.58,AZ= 39.43,PGA(V)=   3.95,PGA(NS)=   4.31,PGA(EW)=   5.20
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  91.49,AZ=129.73,PGA(V)=   1.02,PGA(NS)=   1.26,PGA(EW)=   1.38
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  91.67,AZ= 11.49,PGA(V)=   2.33,PGA(NS)=   3.83,PGA(EW)=   3.71
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  91.73,AZ=186.47,PGA(V)=   2.15,PGA(NS)=   2.39,PGA(EW)=   3.35
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  91.99,AZ=120.43,PGA(V)=   0.60,PGA(NS)=   1.02,PGA(EW)=   1.32
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  93.96,AZ= 38.20,PGA(V)=   2.57,PGA(NS)=   5.32,PGA(EW)=   3.65
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  95.52,AZ= 31.90,PGA(V)=   0.90,PGA(NS)=   2.21,PGA(EW)=   2.45
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  97.03,AZ= 68.31,PGA(V)=   1.62,PGA(NS)=   6.64,PGA(EW)=   5.32
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  98.08,AZ=149.69,PGA(V)=   1.44,PGA(NS)=   4.43,PGA(EW)=   2.93
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  99.84,AZ= 97.19,PGA(V)=   2.75,PGA(NS)=   3.89,PGA(EW)=   4.91
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 104.76,AZ=185.66,PGA(V)=   1.91,PGA(NS)=   4.55,PGA(EW)=   4.07
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 106.64,AZ=114.04,PGA(V)=   2.45,PGA(NS)=   4.31,PGA(EW)=   3.71
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 108.15,AZ= 75.72,PGA(V)=   1.32,PGA(NS)=   2.63,PGA(EW)=   3.05
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 108.66,AZ= 82.20,PGA(V)=   1.50,PGA(NS)=   2.63,PGA(EW)=   3.71
