Origin Time:2016/05/08 10:46:33
Lon:121.02°E
Lat:23.99°N
Depth:19.1km
Mag:4.9
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=   7.06,AZ=107.98,PGA(V)=  19.92,PGA(NS)=  14.83,PGA(EW)=  21.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  17.00,AZ= 43.50,PGA(V)=  17.95,PGA(NS)=   6.94,PGA(EW)=  17.23
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  18.39,AZ= 58.14,PGA(V)=   4.13,PGA(NS)=   4.07,PGA(EW)=   4.43
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  30.35,AZ=236.65,PGA(V)=  11.84,PGA(NS)=  25.12,PGA(EW)=  28.77
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  31.66,AZ=206.36,PGA(V)=   6.88,PGA(NS)=  17.71,PGA(EW)=   8.67
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  33.51,AZ= 99.49,PGA(V)=   5.50,PGA(NS)=   4.97,PGA(EW)=   6.04
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist=  35.35,AZ=146.35,PGA(V)=   4.49,PGA(NS)=  10.47,PGA(EW)=   9.03
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  36.03,AZ= 69.09,PGA(V)=  10.17,PGA(NS)=  11.19,PGA(EW)=   7.60
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  36.20,AZ= 74.74,PGA(V)=  15.61,PGA(NS)=   7.54,PGA(EW)=  10.53
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  38.42,AZ=116.15,PGA(V)=   2.75,PGA(NS)=   5.20,PGA(EW)=   6.40
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  45.24,AZ= 85.46,PGA(V)=   7.42,PGA(NS)=  13.04,PGA(EW)=  12.50
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist=  45.92,AZ= 63.99,PGA(V)=   5.20,PGA(NS)=   5.20,PGA(EW)=   6.64
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  46.27,AZ=147.84,PGA(V)=   3.05,PGA(NS)=   3.23,PGA(EW)=   3.83
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  47.08,AZ=295.21,PGA(V)=   1.56,PGA(NS)=   2.09,PGA(EW)=   1.91
