Origin Time:2016/05/12 11:17:15
Lon:121.98°E
Lat:24.69°N
Depth:8.9km
Mag:6.1
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  15.34,AZ= 52.86,PGA(V)=  25.12,PGA(NS)=  73.51,PGA(EW)=  68.97
Stacode=EGS ,Staname=龜山島,Stalon=121.94,Stalat=24.84,Dist=  17.04,AZ=167.44,PGA(V)=  20.64,PGA(NS)=  24.29,PGA(EW)=  22.91
Stacode=NLD ,Staname=羅東  ,Stalon=121.77,Stalat=24.67,Dist=  21.10,AZ= 84.42,PGA(V)=  48.21,PGA(NS)= 123.88,PGA(EW)=  83.03
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  24.02,AZ=109.30,PGA(V)=  27.58,PGA(NS)=  56.47,PGA(EW)=  60.41
Stacode=TWB1,Staname=三貂角,Stalon=122.00,Stalat=25.01,Dist=  34.93,AZ=182.80,PGA(V)=   3.53,PGA(NS)=   6.88,PGA(EW)=   9.69
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  37.65,AZ= 38.49,PGA(V)=  33.80,PGA(NS)= 251.17,PGA(EW)= 145.89
Stacode=NPL ,Staname=坪林  ,Stalon=121.71,Stalat=24.94,Dist=  38.47,AZ=135.20,PGA(V)=   6.76,PGA(NS)=  16.21,PGA(EW)=  16.27
Stacode=NGL ,Staname=貢寮  ,Stalon=121.92,Stalat=25.04,Dist=  38.82,AZ=171.39,PGA(V)=   3.71,PGA(NS)=   8.31,PGA(EW)=   5.08
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  41.60,AZ= 81.65,PGA(V)=  16.93,PGA(NS)=  45.94,PGA(EW)=  55.93
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist=  46.66,AZ=154.39,PGA(V)=  12.32,PGA(NS)=  25.78,PGA(EW)=  14.48
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  48.60,AZ= 28.84,PGA(V)=  29.91,PGA(NS)=  31.88,PGA(EW)=  42.35
