Origin Time:2016/11/07 19:56:26
Lon:121.34°E
Lat:23.03°N
Depth:20.5km
Mag:5.1
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=   7.52,AZ= 31.68,PGA(V)=   7.24,PGA(NS)=   9.57,PGA(EW)=  11.31
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=   8.13,AZ=201.79,PGA(V)=   8.43,PGA(NS)=  19.08,PGA(EW)=  20.16
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  14.66,AZ=119.81,PGA(V)=  10.05,PGA(NS)=  17.05,PGA(EW)=  22.31
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist=  31.93,AZ= 53.92,PGA(V)=   2.15,PGA(NS)=   2.33,PGA(EW)=   2.03
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  33.63,AZ=199.17,PGA(V)=   5.08,PGA(NS)=   9.51,PGA(EW)=  10.65
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  35.77,AZ= 49.03,PGA(V)=   1.14,PGA(NS)=   1.44,PGA(EW)=   1.44
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  35.82,AZ=173.76,PGA(V)=   1.62,PGA(NS)=   2.27,PGA(EW)=   3.05
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  36.30,AZ= 32.22,PGA(V)=   1.02,PGA(NS)=   1.38,PGA(EW)=   1.50
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  36.96,AZ=118.16,PGA(V)=   3.53,PGA(NS)=   3.83,PGA(EW)=   4.01
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  41.51,AZ=341.86,PGA(V)=   0.78,PGA(NS)=   1.08,PGA(EW)=   0.90
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  52.55,AZ=178.29,PGA(V)=   1.91,PGA(NS)=   4.31,PGA(EW)=   3.65
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  60.92,AZ=103.80,PGA(V)=   1.26,PGA(NS)=   3.47,PGA(EW)=   3.05
