Origin Time:2016/11/30 20:04:34
Lon:121.27°E
Lat:22.83°N
Depth:11.8km
Mag:5.1
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  14.61,AZ= 52.97,PGA(V)=  10.53,PGA(NS)=  18.30,PGA(EW)=  23.45
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  15.95,AZ=193.56,PGA(V)=  20.10,PGA(NS)=  36.25,PGA(EW)=  43.61
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist=  18.39,AZ= 99.72,PGA(V)=   8.37,PGA(NS)=  20.34,PGA(EW)=  11.66
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  19.39,AZ= 85.42,PGA(V)=   7.00,PGA(NS)=  13.34,PGA(EW)=  11.84
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  27.08,AZ=310.36,PGA(V)=   3.11,PGA(NS)=   5.32,PGA(EW)=   3.65
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  29.63,AZ=170.21,PGA(V)=   7.42,PGA(NS)=  13.46,PGA(EW)=  13.04
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  31.35,AZ=199.98,PGA(V)=   6.28,PGA(NS)=  16.51,PGA(EW)=  14.95
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  40.90,AZ= 50.35,PGA(V)=   1.20,PGA(NS)=   2.39,PGA(EW)=   2.27
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  46.58,AZ=147.65,PGA(V)=   1.62,PGA(NS)=   3.17,PGA(EW)=   1.91
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  56.84,AZ=199.24,PGA(V)=   2.57,PGA(NS)=   6.64,PGA(EW)=   4.91
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  57.64,AZ=183.77,PGA(V)=   0.60,PGA(NS)=   0.60,PGA(EW)=   1.02
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  63.10,AZ=125.27,PGA(V)=   0.72,PGA(NS)=   1.50,PGA(EW)=   1.38
