Origin Time:2017/02/11 01:12:52
Lon:120.14°E
Lat:22.87°N
Depth:16.2km
Mag:5.7
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist=  15.48,AZ=204.18,PGA(V)= 164.02,PGA(NS)= 353.57,PGA(EW)= 139.13
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist=  21.36,AZ=206.68,PGA(V)=  26.08,PGA(NS)=  74.23,PGA(EW)=  95.95
Stacode=TWM1,Staname=旗山  ,Stalon=120.43,Stalat=22.82,Dist=  29.91,AZ=279.41,PGA(V)=  17.29,PGA(NS)=  68.85,PGA(EW)=  38.94
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist=  31.68,AZ=169.38,PGA(V)=  16.15,PGA(NS)=  33.68,PGA(EW)=  29.37
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist=  32.49,AZ=224.35,PGA(V)=   9.09,PGA(NS)=  28.71,PGA(EW)=  23.27
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  33.44,AZ=206.39,PGA(V)=  13.64,PGA(NS)=  29.19,PGA(EW)=  30.75
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist=  37.61,AZ=331.87,PGA(V)=   7.00,PGA(NS)=  17.83,PGA(EW)=  20.28
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  39.72,AZ=293.32,PGA(V)=   4.67,PGA(NS)=   9.03,PGA(EW)=   8.43
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  41.82,AZ=300.03,PGA(V)=   5.03,PGA(NS)=   8.97,PGA(EW)=   8.43
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  51.67,AZ=242.62,PGA(V)=   2.99,PGA(NS)=   4.55,PGA(EW)=   4.97
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  52.76,AZ=284.76,PGA(V)=   2.69,PGA(NS)=   4.37,PGA(EW)=   3.89
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist=  53.01,AZ=228.16,PGA(V)=   5.08,PGA(NS)=  11.60,PGA(EW)=  11.49
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist=  57.43,AZ=219.85,PGA(V)=   4.07,PGA(NS)=   6.16,PGA(EW)=   5.92
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist=  61.99,AZ=337.99,PGA(V)=   3.83,PGA(NS)=  11.96,PGA(EW)=  16.09
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  64.52,AZ=229.54,PGA(V)=   2.45,PGA(NS)=   8.26,PGA(EW)=   8.02
Stacode=WDG ,Staname=東吉島,Stalon=119.67,Stalat=23.26,Dist=  65.21,AZ=131.68,PGA(V)=   1.50,PGA(NS)=   2.03,PGA(EW)=   3.41
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist=  69.11,AZ=188.20,PGA(V)=   6.10,PGA(NS)=  21.41,PGA(EW)=  17.71
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist=  70.88,AZ=220.65,PGA(V)=   4.19,PGA(NS)=   9.93,PGA(EW)=   7.66
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  71.69,AZ=242.89,PGA(V)=   1.56,PGA(NS)=   4.73,PGA(EW)=   2.45
Stacode=SCZ ,Staname=枋寮  ,Stalon=120.63,Stalat=22.37,Dist=  74.13,AZ=317.73,PGA(V)=   3.53,PGA(NS)=   6.28,PGA(EW)=   8.14
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  75.84,AZ=203.01,PGA(V)=   4.61,PGA(NS)=  13.58,PGA(EW)=   9.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  85.80,AZ=185.93,PGA(V)=   5.68,PGA(NS)=  14.12,PGA(EW)=  13.28
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  89.22,AZ=289.55,PGA(V)=   1.20,PGA(NS)=   1.91,PGA(EW)=   3.23
Stacode=EAS ,Staname=安朔  ,Stalon=120.86,Stalat=22.38,Dist=  90.87,AZ=306.18,PGA(V)=   4.19,PGA(NS)=   4.91,PGA(EW)=   6.82
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  96.29,AZ=273.16,PGA(V)=   1.44,PGA(NS)=   3.17,PGA(EW)=   3.11
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  97.15,AZ=248.51,PGA(V)=   1.62,PGA(NS)=   1.79,PGA(EW)=   2.69
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist=  97.33,AZ=270.39,PGA(V)=   2.15,PGA(NS)=   5.26,PGA(EW)=   3.59
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist=  97.56,AZ=142.55,PGA(V)=   1.44,PGA(NS)=   2.45,PGA(EW)=   2.21
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  97.74,AZ=214.00,PGA(V)=   3.59,PGA(NS)=   8.49,PGA(EW)=   9.57
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  98.85,AZ=223.95,PGA(V)=   4.73,PGA(NS)=   8.20,PGA(EW)=   9.15
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 100.66,AZ=205.73,PGA(V)=   3.05,PGA(NS)=  10.11,PGA(EW)=   9.33
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 102.38,AZ=203.26,PGA(V)=   4.37,PGA(NS)=   6.04,PGA(EW)=   6.10
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 104.59,AZ=276.90,PGA(V)=   1.97,PGA(NS)=   3.77,PGA(EW)=   5.32
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 111.29,AZ=187.70,PGA(V)=   4.79,PGA(NS)=   5.86,PGA(EW)=   7.96
