Origin Time:2018/02/04 21:12:52
Lon:121.70°E
Lat:24.21°N
Depth:3.0km
Mag:5.3
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   9.34,AZ= 55.90,PGA(V)=  31.70,PGA(NS)= 125.20,PGA(EW)=  76.03
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  12.38,AZ=204.13,PGA(V)=  14.83,PGA(NS)=  22.97,PGA(EW)=  31.05
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  16.80,AZ= 34.82,PGA(V)=  12.26,PGA(NS)=  10.05,PGA(EW)=  12.86
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  24.92,AZ=191.71,PGA(V)=   5.32,PGA(NS)=  21.35,PGA(EW)=  16.51
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  26.95,AZ= 18.85,PGA(V)=   7.54,PGA(NS)=  23.09,PGA(EW)=  27.16
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  29.25,AZ= 28.32,PGA(V)=   6.64,PGA(NS)=  11.01,PGA(EW)=   9.69
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  33.86,AZ= 38.29,PGA(V)=   7.78,PGA(NS)=  15.67,PGA(EW)=  15.01
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  34.86,AZ= 16.47,PGA(V)=  10.83,PGA(NS)=  21.24,PGA(EW)=  31.88
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  41.24,AZ=128.54,PGA(V)=   1.50,PGA(NS)=   7.24,PGA(EW)=   4.85
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  43.89,AZ= 81.00,PGA(V)=   3.05,PGA(NS)=   6.22,PGA(EW)=   7.24
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  47.47,AZ=200.03,PGA(V)=   0.66,PGA(NS)=   1.38,PGA(EW)=   1.26
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  49.49,AZ=165.10,PGA(V)=   2.69,PGA(NS)=  11.66,PGA(EW)=  10.29
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  50.88,AZ= 31.01,PGA(V)=   4.55,PGA(NS)=   5.92,PGA(EW)=  10.71
