Origin Time:2018/02/06 23:50:41
Lon:121.73°E
Lat:24.10°N
Depth:6.3km
Mag:6.2
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  12.58,AZ=120.45,PGA(V)= 161.27,PGA(NS)= 484.51,PGA(EW)= 216.71
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  12.88,AZ= 80.26,PGA(V)= 161.21,PGA(NS)= 166.77,PGA(EW)= 193.63
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  18.24,AZ= 40.37,PGA(V)= 212.17,PGA(NS)= 442.22,PGA(EW)= 399.81
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  22.99,AZ=184.90,PGA(V)=  80.51,PGA(NS)= 104.80,PGA(EW)= 107.13
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  25.39,AZ= 30.77,PGA(V)= 287.78,PGA(NS)= 447.13,PGA(EW)= 463.04
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  28.37,AZ= 58.14,PGA(V)= 125.85,PGA(NS)= 325.82,PGA(EW)= 265.70
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  36.06,AZ=183.12,PGA(V)=  81.71,PGA(NS)= 428.46,PGA(EW)= 241.84
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  43.40,AZ= 42.51,PGA(V)=  26.26,PGA(NS)=  15.73,PGA(EW)=  28.47
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  46.71,AZ= 95.83,PGA(V)=  31.52,PGA(NS)=  80.87,PGA(EW)= 117.78
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  47.30,AZ= 23.09,PGA(V)=  15.55,PGA(NS)=   7.48,PGA(EW)=   6.34
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  51.41,AZ=136.53,PGA(V)=  13.16,PGA(NS)=  74.47,PGA(EW)=  33.50
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  52.52,AZ= 28.64,PGA(V)=  11.25,PGA(NS)=   6.94,PGA(EW)=   8.26
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  57.74,AZ=193.19,PGA(V)=   6.58,PGA(NS)=  18.07,PGA(EW)=  11.07
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  60.02,AZ=105.89,PGA(V)=  12.14,PGA(NS)=  32.00,PGA(EW)=  17.59
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  61.51,AZ=165.09,PGA(V)=  15.07,PGA(NS)=  43.13,PGA(EW)=  48.69
