Origin Time:2018/02/07 07:43:51
Lon:121.65°E
Lat:24.03°N
Depth:7.5km
Mag:4.9
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   7.04,AZ= 35.15,PGA(V)=  13.70,PGA(NS)=  44.92,PGA(EW)=  39.72
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=   7.74,AZ=140.38,PGA(V)=  16.15,PGA(NS)=  17.17,PGA(EW)=  13.16
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  11.00,AZ= 56.95,PGA(V)=  17.89,PGA(NS)=  19.98,PGA(EW)=  26.02
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  14.64,AZ= 20.91,PGA(V)=   9.09,PGA(NS)=  23.15,PGA(EW)=  33.26
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  14.84,AZ=168.00,PGA(V)=   5.98,PGA(NS)=  22.79,PGA(EW)=  25.42
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  17.70,AZ= 67.31,PGA(V)=  22.19,PGA(NS)=  72.62,PGA(EW)=  29.49
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  32.16,AZ= 42.12,PGA(V)=   2.81,PGA(NS)=   5.80,PGA(EW)=   7.66
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  32.54,AZ=197.38,PGA(V)=   2.09,PGA(NS)=   2.57,PGA(EW)=   2.51
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  36.98,AZ= 16.95,PGA(V)=   4.67,PGA(NS)=   7.90,PGA(EW)=   5.86
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  40.81,AZ=108.41,PGA(V)=   3.17,PGA(NS)=   5.68,PGA(EW)=   7.36
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  41.75,AZ= 24.63,PGA(V)=   2.93,PGA(NS)=   4.79,PGA(EW)=   5.56
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  45.21,AZ=192.41,PGA(V)=   1.97,PGA(NS)=   4.61,PGA(EW)=   4.85
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  53.19,AZ=148.71,PGA(V)=   0.78,PGA(NS)=   2.87,PGA(EW)=   2.51
