Origin Time:2018/02/22 07:10:41
Lon:121.53°E
Lat:23.41°N
Depth:35.6km
Mag:5.6
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  13.63,AZ= 38.21,PGA(V)=  38.16,PGA(NS)= 128.90,PGA(EW)=  96.96
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  23.29,AZ=115.58,PGA(V)=  10.29,PGA(NS)=  15.13,PGA(EW)=  17.89
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  24.33,AZ= 73.61,PGA(V)=   5.86,PGA(NS)=   5.62,PGA(EW)=   8.37
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  30.52,AZ=170.14,PGA(V)=  34.22,PGA(NS)=  49.17,PGA(EW)=  46.60
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  32.68,AZ=182.48,PGA(V)=  22.07,PGA(NS)=  39.42,PGA(EW)=  37.62
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  38.60,AZ= 25.24,PGA(V)=  19.02,PGA(NS)=  54.61,PGA(EW)=  57.13
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  45.16,AZ=167.98,PGA(V)=   7.18,PGA(NS)=  24.29,PGA(EW)=  21.53
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  47.68,AZ= 42.44,PGA(V)=   6.40,PGA(NS)=  12.92,PGA(EW)=  11.19
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  54.20,AZ= 25.61,PGA(V)=   5.14,PGA(NS)=  10.89,PGA(EW)=  12.26
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  54.79,AZ=187.31,PGA(V)=  12.02,PGA(NS)=  24.41,PGA(EW)=  26.80
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  57.71,AZ= 64.30,PGA(V)=   7.06,PGA(NS)=   7.30,PGA(EW)=  10.53
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  61.33,AZ=176.10,PGA(V)=   7.54,PGA(NS)=  13.40,PGA(EW)=  13.94
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  62.09,AZ=182.73,PGA(V)=   5.08,PGA(NS)=   9.57,PGA(EW)=   8.55
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  62.79,AZ=187.45,PGA(V)=   3.77,PGA(NS)=  13.64,PGA(EW)=  13.58
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  74.34,AZ=185.60,PGA(V)=   3.77,PGA(NS)=   4.37,PGA(EW)=   3.95
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist=  76.18,AZ= 36.45,PGA(V)=   2.33,PGA(NS)=   2.21,PGA(EW)=   2.69
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  80.65,AZ= 35.18,PGA(V)=   1.32,PGA(NS)=   2.09,PGA(EW)=   1.74
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  82.18,AZ=  4.60,PGA(V)=   0.90,PGA(NS)=   1.91,PGA(EW)=   1.38
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  82.24,AZ=129.12,PGA(V)=   2.33,PGA(NS)=   5.50,PGA(EW)=   7.12
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  82.84,AZ= 27.95,PGA(V)=   0.78,PGA(NS)=   1.79,PGA(EW)=   1.68
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  83.03,AZ=186.29,PGA(V)=   2.27,PGA(NS)=  10.53,PGA(EW)=   8.43
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  83.37,AZ= 70.42,PGA(V)=   1.91,PGA(NS)=   4.49,PGA(EW)=   4.85
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  85.17,AZ=161.79,PGA(V)=   5.44,PGA(NS)=  12.68,PGA(EW)=  14.00
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  86.94,AZ=128.83,PGA(V)=   1.20,PGA(NS)=   1.38,PGA(EW)=   1.20
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  88.67,AZ=138.48,PGA(V)=   0.72,PGA(NS)=   1.68,PGA(EW)=   1.74
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  89.80,AZ=103.14,PGA(V)=   4.37,PGA(NS)=   9.63,PGA(EW)=  13.52
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  95.06,AZ= 78.62,PGA(V)=   1.56,PGA(NS)=   4.07,PGA(EW)=   3.83
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist=  96.29,AZ= 85.93,PGA(V)=   3.11,PGA(NS)=   6.34,PGA(EW)=   5.98
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 100.01,AZ=120.90,PGA(V)=   2.45,PGA(NS)=   4.49,PGA(EW)=   5.98
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 100.05,AZ=157.73,PGA(V)=   3.47,PGA(NS)=   7.00,PGA(EW)=   5.68
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist= 101.47,AZ=192.48,PGA(V)=   4.31,PGA(NS)=   4.55,PGA(EW)=   5.98
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 102.83,AZ=122.13,PGA(V)=   3.59,PGA(NS)=   3.59,PGA(EW)=   3.53
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 102.84,AZ=107.00,PGA(V)=   2.57,PGA(NS)=   5.56,PGA(EW)=   6.88
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 103.28,AZ= 69.10,PGA(V)=   1.32,PGA(NS)=   2.51,PGA(EW)=   2.03
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 103.33,AZ=115.25,PGA(V)=   2.75,PGA(NS)=   4.49,PGA(EW)=   3.35
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 105.86,AZ= 76.20,PGA(V)=   1.74,PGA(NS)=   3.11,PGA(EW)=   2.09
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 106.74,AZ= 81.10,PGA(V)=   1.91,PGA(NS)=   2.87,PGA(EW)=   2.63
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 106.95,AZ=108.22,PGA(V)=   2.09,PGA(NS)=   4.67,PGA(EW)=   4.73
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist= 107.80,AZ= 32.94,PGA(V)=   0.78,PGA(NS)=   1.14,PGA(EW)=   1.14
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 110.08,AZ=129.31,PGA(V)=   2.57,PGA(NS)=   4.07,PGA(EW)=   4.43
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 112.85,AZ= 94.67,PGA(V)=   1.91,PGA(NS)=   6.82,PGA(EW)=   4.61
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 114.29,AZ=191.06,PGA(V)=   2.69,PGA(NS)=   6.58,PGA(EW)=   6.10
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 114.52,AZ=172.22,PGA(V)=   2.03,PGA(NS)=   6.94,PGA(EW)=   4.85
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.61,AZ=121.94,PGA(V)=   5.68,PGA(NS)=   6.58,PGA(EW)=   6.94
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist= 117.74,AZ= 51.03,PGA(V)=   1.38,PGA(NS)=   2.27,PGA(EW)=   2.09
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist= 117.90,AZ=142.59,PGA(V)=   4.55,PGA(NS)=   4.73,PGA(EW)=   6.52
