Origin Time:2018/03/29 08:17:50
Lon:121.01°E
Lat:24.00°N
Depth:11.1km
Mag:5.0
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=   5.92,AZ= 98.97,PGA(V)=  18.84,PGA(NS)=  70.64,PGA(EW)=  45.58
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  17.38,AZ= 38.58,PGA(V)=  11.90,PGA(NS)=  17.83,PGA(EW)=  20.40
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  18.38,AZ= 53.39,PGA(V)=   8.49,PGA(NS)=  10.23,PGA(EW)=  13.10
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  30.42,AZ=239.52,PGA(V)=   9.27,PGA(NS)=  21.65,PGA(EW)=  22.61
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  30.95,AZ=208.83,PGA(V)=   6.94,PGA(NS)=  14.48,PGA(EW)=   9.03
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  32.46,AZ= 97.55,PGA(V)=   7.42,PGA(NS)=   7.84,PGA(EW)=  13.10
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist=  33.82,AZ=146.40,PGA(V)=   3.53,PGA(NS)=   6.04,PGA(EW)=   4.49
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  35.70,AZ= 66.71,PGA(V)=   4.79,PGA(NS)=   8.49,PGA(EW)=   7.06
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  35.73,AZ= 72.43,PGA(V)=  13.94,PGA(NS)=  13.88,PGA(EW)=  12.74
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  37.10,AZ=115.00,PGA(V)=   2.15,PGA(NS)=   7.42,PGA(EW)=  10.95
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  44.49,AZ= 83.76,PGA(V)=   7.78,PGA(NS)=  17.65,PGA(EW)=  13.58
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  44.75,AZ=147.93,PGA(V)=   2.39,PGA(NS)=   3.71,PGA(EW)=   2.63
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist=  45.72,AZ= 62.10,PGA(V)=   4.85,PGA(NS)=   6.46,PGA(EW)=   7.36
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  47.35,AZ=100.45,PGA(V)=   8.20,PGA(NS)=  22.31,PGA(EW)=  17.89
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  48.40,AZ=296.12,PGA(V)=   1.68,PGA(NS)=   3.95,PGA(EW)=   2.99
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist=  48.75,AZ=107.25,PGA(V)=   4.85,PGA(NS)=   8.79,PGA(EW)=  25.00
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  48.84,AZ=275.03,PGA(V)=   3.29,PGA(NS)=   3.11,PGA(EW)=   4.79
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist=  51.73,AZ=134.78,PGA(V)=   2.15,PGA(NS)=   6.16,PGA(EW)=   2.87
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  51.80,AZ=151.27,PGA(V)=   2.09,PGA(NS)=   2.15,PGA(EW)=   1.79
Stacode=ESF ,Staname=壽豐  ,Stalon=121.51,Stalat=23.87,Dist=  52.28,AZ=286.42,PGA(V)=   2.21,PGA(NS)=   3.41,PGA(EW)=   3.29
Stacode=EGA ,Staname=吉安  ,Stalon=121.56,Stalat=23.97,Dist=  55.87,AZ=273.54,PGA(V)=   1.26,PGA(NS)=   1.97,PGA(EW)=   2.03
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  56.68,AZ= 37.34,PGA(V)=   1.74,PGA(NS)=   3.17,PGA(EW)=   7.72
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  57.47,AZ= 51.97,PGA(V)=   2.81,PGA(NS)=   6.34,PGA(EW)=  10.05
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist=  58.12,AZ= 56.56,PGA(V)=   4.07,PGA(NS)=   7.48,PGA(EW)=  17.35
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  58.63,AZ= 20.49,PGA(V)=   2.03,PGA(NS)=   4.49,PGA(EW)=   3.53
Stacode=EGF ,Staname=光復  ,Stalon=121.48,Stalat=23.68,Dist=  59.37,AZ=306.61,PGA(V)=   2.09,PGA(NS)=   4.31,PGA(EW)=   3.35
