Origin Time:2018/11/20 00:31:34
Lon:121.92°E
Lat:24.41°N
Depth:39.2km
Mag:4.7
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  14.84,AZ=105.22,PGA(V)=  12.76,PGA(NS)=  13.77,PGA(EW)=  12.87
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  17.39,AZ= 96.02,PGA(V)=  11.93,PGA(NS)=  23.49,PGA(EW)=  32.51
Stacode=ESA ,Staname=蘇澳  ,Stalon=121.84,Stalat=24.58,Dist=  19.91,AZ=157.36,PGA(V)=   8.13,PGA(NS)=   8.41,PGA(EW)=  11.60
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  20.34,AZ= 63.99,PGA(V)=  10.07,PGA(NS)=  11.90,PGA(EW)=   8.02
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  20.68,AZ= 56.77,PGA(V)=   7.28,PGA(NS)=   8.30,PGA(EW)=  11.32
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  32.22,AZ=140.40,PGA(V)=   3.31,PGA(NS)=   4.36,PGA(EW)=   3.50
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  41.02,AZ= 47.20,PGA(V)=   1.52,PGA(NS)=   4.83,PGA(EW)=   4.36
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  41.71,AZ=144.93,PGA(V)=   2.30,PGA(NS)=   3.63,PGA(EW)=   3.80
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  42.55,AZ=157.14,PGA(V)=   2.39,PGA(NS)=   6.30,PGA(EW)=   3.06
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  43.20,AZ=125.77,PGA(V)=  10.46,PGA(NS)=  23.00,PGA(EW)=  32.34
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  49.79,AZ= 63.15,PGA(V)=   3.09,PGA(NS)=   3.96,PGA(EW)=   3.67
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  50.07,AZ=169.54,PGA(V)=   1.42,PGA(NS)=   4.23,PGA(EW)=   3.30
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  54.65,AZ= 93.20,PGA(V)=   1.48,PGA(NS)=   5.80,PGA(EW)=   4.34
Stacode=NWL ,Staname=烏來  ,Stalon=121.50,Stalat=24.78,Dist=  58.64,AZ=133.94,PGA(V)=   1.32,PGA(NS)=   2.69,PGA(EW)=   1.30
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  63.19,AZ=117.53,PGA(V)=   0.89,PGA(NS)=   2.68,PGA(EW)=   1.60
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  64.68,AZ= 29.92,PGA(V)=   0.41,PGA(NS)=   0.82,PGA(EW)=   1.24
