Origin Time:2018/11/26 07:57:23
Lon:118.52°E
Lat:23.38°N
Depth:12.3km
Mag:6.2
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 108.11,AZ=259.30,PGA(V)=   5.89,PGA(NS)=  18.74,PGA(EW)=  16.39
Stacode=KNM ,Staname=金門  ,Stalon=118.29,Stalat=24.41,Dist= 115.83,AZ=168.11,PGA(V)=   8.28,PGA(NS)=  11.94,PGA(EW)=  12.16
Stacode=WDG ,Staname=東吉島,Stalon=119.67,Stalat=23.26,Dist= 117.81,AZ=276.83,PGA(V)=  12.07,PGA(NS)=  15.21,PGA(EW)=   9.06
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 162.03,AZ=279.33,PGA(V)=   4.85,PGA(NS)=  16.49,PGA(EW)=  12.14
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 173.23,AZ=277.73,PGA(V)=   2.13,PGA(NS)=   9.32,PGA(EW)=   8.27
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 174.77,AZ=264.96,PGA(V)=   5.97,PGA(NS)=  14.50,PGA(EW)=  13.36
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 176.46,AZ=260.89,PGA(V)=   7.24,PGA(NS)=  21.66,PGA(EW)=  19.43
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=23.00,Dist= 176.62,AZ=284.11,PGA(V)=   2.70,PGA(NS)=   7.37,PGA(EW)=   5.31
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 179.43,AZ=282.33,PGA(V)=   2.44,PGA(NS)=  11.43,PGA(EW)=   4.98
Stacode=ICHU,Staname=義竹  ,Stalon=120.28,Stalat=23.36,Dist= 179.49,AZ=270.83,PGA(V)=   4.10,PGA(NS)=  21.98,PGA(EW)=  16.90
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 182.59,AZ=278.65,PGA(V)=   2.19,PGA(NS)=   7.64,PGA(EW)=   4.73
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 187.75,AZ=253.63,PGA(V)=   5.18,PGA(NS)=  13.38,PGA(EW)=  12.54
