Origin Time:2018/12/09 00:07:07
Lon:120.71°E
Lat:23.62°N
Depth:15.8km
Mag:4.2
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  16.41,AZ=116.19,PGA(V)=  10.07,PGA(NS)=  28.48,PGA(EW)=  20.35
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  16.51,AZ=238.86,PGA(V)=   5.14,PGA(NS)=  17.66,PGA(EW)=   8.34
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  22.51,AZ=183.44,PGA(V)=   1.79,PGA(NS)=   1.97,PGA(EW)=   3.55
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  22.93,AZ= 29.32,PGA(V)=   4.32,PGA(NS)=   9.45,PGA(EW)=   8.25
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  26.35,AZ= 68.53,PGA(V)=   3.59,PGA(NS)=   7.43,PGA(EW)=   4.68
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  28.63,AZ=175.47,PGA(V)=   5.46,PGA(NS)=   6.23,PGA(EW)=  11.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  31.85,AZ= 64.74,PGA(V)=   2.33,PGA(NS)=  11.81,PGA(EW)=   6.04
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  32.07,AZ=173.64,PGA(V)=   3.28,PGA(NS)=   1.05,PGA(EW)=   1.63
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  34.12,AZ=102.88,PGA(V)=   7.37,PGA(NS)=   2.76,PGA(EW)=   2.00
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  35.12,AZ=214.19,PGA(V)=   0.43,PGA(NS)=   0.40,PGA(EW)=   0.85
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  40.22,AZ=160.07,PGA(V)=   4.34,PGA(NS)=   7.61,PGA(EW)=   4.13
