Origin Time:2019/01/04 02:02:48
Lon:120.97°E
Lat:22.90°N
Depth:4.8km
Mag:4.9
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  14.03,AZ=307.79,PGA(V)=  13.57,PGA(NS)=  16.60,PGA(EW)=  22.78
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  16.26,AZ=265.68,PGA(V)=  19.27,PGA(NS)=  46.53,PGA(EW)=  38.04
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  24.57,AZ=310.11,PGA(V)=   3.71,PGA(NS)=   9.24,PGA(EW)=  10.23
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  33.67,AZ=228.87,PGA(V)=   4.16,PGA(NS)=   6.52,PGA(EW)=   6.73
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  35.11,AZ=255.91,PGA(V)=   3.01,PGA(NS)=   9.29,PGA(EW)=   7.12
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  36.94,AZ=220.54,PGA(V)=   4.97,PGA(NS)=   6.77,PGA(EW)=   6.02
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  37.04,AZ=148.15,PGA(V)=   3.54,PGA(NS)=   4.22,PGA(EW)=   4.33
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  37.93,AZ= 63.83,PGA(V)=   2.17,PGA(NS)=   4.04,PGA(EW)=   3.76
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  39.62,AZ= 57.93,PGA(V)=   2.68,PGA(NS)=   2.72,PGA(EW)=   2.27
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  44.11,AZ=117.68,PGA(V)=   0.80,PGA(NS)=   1.09,PGA(EW)=   1.35
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  46.84,AZ=241.40,PGA(V)=   1.51,PGA(NS)=   3.05,PGA(EW)=   3.07
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  47.09,AZ=224.50,PGA(V)=   1.84,PGA(NS)=   7.93,PGA(EW)=   4.63
