Origin Time:2019/04/03 09:52:55
Lon:120.85°E
Lat:22.95°N
Depth:4.1km
Mag:5.9
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  26.28,AZ=163.53,PGA(V)=  46.13,PGA(NS)=  67.35,PGA(EW)=  74.26
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  27.54,AZ=302.64,PGA(V)=  10.94,PGA(NS)=  12.86,PGA(EW)=  11.57
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  28.76,AZ=280.08,PGA(V)=  13.55,PGA(NS)=  19.66,PGA(EW)=  20.68
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  30.49,AZ=117.84,PGA(V)=  19.08,PGA(NS)=  27.22,PGA(EW)=  28.43
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  31.41,AZ=213.94,PGA(V)=  11.63,PGA(NS)=  10.29,PGA(EW)=  12.79
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  31.76,AZ= 43.65,PGA(V)=  11.58,PGA(NS)=  28.49,PGA(EW)=  22.01
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  34.71,AZ= 38.17,PGA(V)=  14.10,PGA(NS)=  24.36,PGA(EW)=  11.58
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  37.65,AZ= 78.77,PGA(V)=  10.64,PGA(NS)=  22.13,PGA(EW)=  18.22
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  37.98,AZ=305.56,PGA(V)=   3.72,PGA(NS)=   7.66,PGA(EW)=   9.34
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  40.10,AZ=143.74,PGA(V)=   8.55,PGA(NS)=  10.11,PGA(EW)=  11.23
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  40.68,AZ=247.01,PGA(V)=  13.09,PGA(NS)=  14.81,PGA(EW)=  10.44
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  40.94,AZ=344.26,PGA(V)=   7.01,PGA(NS)=   9.96,PGA(EW)=   9.77
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist=  42.16,AZ=127.76,PGA(V)=   6.80,PGA(NS)=  11.89,PGA(EW)=   8.73
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  42.17,AZ=238.86,PGA(V)=  10.44,PGA(NS)=  15.69,PGA(EW)=  12.19
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  44.36,AZ= 55.29,PGA(V)=   2.91,PGA(NS)=  10.55,PGA(EW)=   7.30
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  46.20,AZ=267.16,PGA(V)=   4.64,PGA(NS)=   7.48,PGA(EW)=   7.07
Stacode=SPT ,Staname=屏東市,Stalon=120.49,Stalat=22.68,Dist=  48.27,AZ= 51.11,PGA(V)=   3.17,PGA(NS)=   6.40,PGA(EW)=   5.66
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist=  50.15,AZ=133.71,PGA(V)=   4.24,PGA(NS)=   6.52,PGA(EW)=   9.92
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  52.72,AZ=238.78,PGA(V)=   5.52,PGA(NS)=   9.89,PGA(EW)=   8.95
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  55.61,AZ=253.10,PGA(V)=   3.65,PGA(NS)=   9.04,PGA(EW)=   7.27
