Origin Time:2019/06/04 17:46:18
Lon:121.61°E
Lat:22.84°N
Depth:14.7km
Mag:5.9
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  23.75,AZ= 37.99,PGA(V)=  27.23,PGA(NS)=  32.88,PGA(EW)=  30.57
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  34.70,AZ=114.54,PGA(V)=  38.15,PGA(NS)=  65.32,PGA(EW)=  60.51
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  37.40,AZ=139.14,PGA(V)=  37.66,PGA(NS)= 190.95,PGA(EW)=  76.71
Stacode=CHKH,Staname=成功  ,Stalon=121.40,Stalat=23.19,Dist=  44.57,AZ=150.23,PGA(V)=  28.92,PGA(NS)= 104.99,PGA(EW)= 100.13
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  47.94,AZ= 78.01,PGA(V)=   9.05,PGA(NS)=  22.86,PGA(EW)=  44.93
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  49.03,AZ=124.85,PGA(V)=  45.98,PGA(NS)= 120.24,PGA(EW)= 128.35
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  49.94,AZ= 98.17,PGA(V)=  11.14,PGA(NS)=  17.37,PGA(EW)=  21.50
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  51.16,AZ=140.46,PGA(V)=  19.12,PGA(NS)=  38.32,PGA(EW)=  35.26
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  53.67,AZ=129.23,PGA(V)=  13.67,PGA(NS)=  33.31,PGA(EW)=  24.06
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  54.64,AZ= 87.14,PGA(V)=   9.40,PGA(NS)=   9.36,PGA(EW)=  17.19
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  55.00,AZ=162.61,PGA(V)=   8.59,PGA(NS)=  22.10,PGA(EW)=  18.84
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  63.44,AZ=151.81,PGA(V)=   5.88,PGA(NS)=   9.04,PGA(EW)=  10.89
Stacode=TWF1,Staname=玉里  ,Stalon=121.31,Stalat=23.35,Dist=  64.46,AZ=150.87,PGA(V)=   3.04,PGA(NS)=   5.47,PGA(EW)=   3.36
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  72.09,AZ= 67.77,PGA(V)=   2.96,PGA(NS)=   4.35,PGA(EW)=   6.18
Stacode=EHYH,Staname=萬榮  ,Stalon=121.35,Stalat=23.49,Dist=  77.13,AZ=159.28,PGA(V)=   4.48,PGA(NS)=   6.81,PGA(EW)=   7.50
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  78.73,AZ=158.51,PGA(V)=   3.54,PGA(NS)=   5.08,PGA(EW)=   4.51
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist=  89.31,AZ=  3.54,PGA(V)=   2.38,PGA(NS)=  15.02,PGA(EW)=  12.52
Stacode=TAW ,Staname=大武  ,Stalon=120.90,Stalat=22.36,Dist=  90.56,AZ= 53.49,PGA(V)=   0.99,PGA(NS)=   1.65,PGA(EW)=   1.84
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist=  92.88,AZ= 56.71,PGA(V)=   1.50,PGA(NS)=   3.29,PGA(EW)=   2.88
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist=  92.93,AZ= 53.21,PGA(V)=   1.25,PGA(NS)=   2.70,PGA(EW)=   2.18
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  93.63,AZ=112.13,PGA(V)=   2.65,PGA(NS)=   4.69,PGA(EW)=   3.50
