Origin Time:2020/01/01 03:10:10
Lon:121.67°E
Lat:24.08°N
Depth:10.8km
Mag:4.9
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=   6.73,AZ= 88.08,PGA(V)=  23.23,PGA(NS)=  25.33,PGA(EW)=  28.01,PGV(V)=   0.48,PGV(NS)=   0.95,PGV(EW)=   0.71,Int= 4級,PGA(SUM)=  25.25,PGV(SUM)=   0.99
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=   9.62,AZ=149.53,PGA(V)=  28.14,PGA(NS)=  60.25,PGA(EW)=  64.91,PGV(V)=   0.33,PGV(NS)=   1.08,PGV(EW)=   1.09,Int= 4級,PGA(SUM)=  50.10,PGV(SUM)=   1.24
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  13.34,AZ= 26.01,PGA(V)=   7.48,PGA(NS)=  23.92,PGA(EW)=  19.59,PGV(V)=   0.32,PGV(NS)=   0.72,PGV(EW)=   0.96,Int= 3級,PGA(SUM)=  21.45,PGV(SUM)=   0.97
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  21.10,AZ= 19.44,PGA(V)=   5.56,PGA(NS)=  12.90,PGA(EW)=  10.30,PGV(V)=   0.28,PGV(NS)=   0.58,PGV(EW)=   0.50,Int= 3級,PGA(SUM)=  12.52,PGV(SUM)=   0.58
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  22.34,AZ= 54.25,PGA(V)=  15.75,PGA(NS)=  49.95,PGA(EW)=  29.96,PGV(V)=   0.43,PGV(NS)=   0.79,PGV(EW)=   0.50,Int= 4級,PGA(SUM)=  28.61,PGV(SUM)=   0.91
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  23.59,AZ=125.42,PGA(V)=  14.27,PGA(NS)=  17.48,PGA(EW)=  14.07,PGV(V)=   0.35,PGV(NS)=   0.43,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=  15.63,PGV(SUM)=   0.53
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  26.06,AZ=197.70,PGA(V)=   7.93,PGA(NS)=  12.12,PGA(EW)=  11.39,PGV(V)=   0.23,PGV(NS)=   0.35,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  13.45,PGV(SUM)=   0.45
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  34.57,AZ= 18.60,PGA(V)=   1.61,PGA(NS)=   2.92,PGA(EW)=   3.09,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.49,PGV(SUM)=   0.20
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  38.05,AZ= 37.87,PGA(V)=   2.30,PGA(NS)=   5.73,PGA(EW)=   8.27,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.74,PGV(SUM)=   0.14
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  38.80,AZ=191.78,PGA(V)=   5.69,PGA(NS)=  12.83,PGA(EW)=  24.48,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.41,Int= 3級,PGA(SUM)=  15.07,PGV(SUM)=   0.42
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  41.06,AZ= 99.32,PGA(V)=   5.62,PGA(NS)=   7.99,PGA(EW)=  18.25,PGV(V)=   0.26,PGV(NS)=   0.37,PGV(EW)=   0.82,Int= 3級,PGA(SUM)=  18.25,PGV(SUM)=   0.85
