Origin Time:2020/02/25 19:14:02
Lon:121.41¢XE
Lat:24.39¢XN
Depth:5.1km
Mag:5.3
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=   5.67,AZ=153.71,PGA(V)=  97.67,PGA(NS)= 423.33,PGA(EW)= 364.26,PGV(V)=   2.20,PGV(NS)=  16.26,PGV(EW)=  16.63,Int= 5®z,PGA(SUM)= 411.98,PGV(SUM)=  18.75
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  21.85,AZ=339.43,PGA(V)=  41.20,PGA(NS)=  47.03,PGA(EW)=  34.87,PGV(V)=   1.00,PGV(NS)=   1.27,PGV(EW)=   0.82,Int= 4¯Å,PGA(SUM)=  41.75,PGV(SUM)=   1.30
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  22.93,AZ= 45.95,PGA(V)=  22.72,PGA(NS)=  49.46,PGA(EW)=  49.74,PGV(V)=   1.19,PGV(NS)=   2.33,PGV(EW)=   1.82,Int= 4¯Å,PGA(SUM)=  56.98,PGV(SUM)=   2.91
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  25.75,AZ=204.82,PGA(V)=   4.13,PGA(NS)=   5.60,PGA(EW)=   7.28,PGV(V)=   0.16,PGV(NS)=   0.25,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   6.39,PGV(SUM)=   0.46
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  29.35,AZ= 57.60,PGA(V)=   7.08,PGA(NS)=  15.44,PGA(EW)=  11.06,PGV(V)=   0.45,PGV(NS)=   0.56,PGV(EW)=   0.48,Int= 3¯Å,PGA(SUM)=  14.85,PGV(SUM)=   0.59
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  30.65,AZ= 26.30,PGA(V)=  11.05,PGA(NS)=  18.87,PGA(EW)=  27.57,PGV(V)=   0.67,PGV(NS)=   1.29,PGV(EW)=   1.29,Int= 4¯Å,PGA(SUM)=  27.46,PGV(SUM)=   1.51
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  31.49,AZ=172.65,PGA(V)=   3.29,PGA(NS)=   8.68,PGA(EW)=   9.90,PGV(V)=   0.13,PGV(NS)=   0.19,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   6.02,PGV(SUM)=   0.34
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  32.13,AZ=211.88,PGA(V)=   5.03,PGA(NS)=  19.93,PGA(EW)=  19.44,PGV(V)=   0.16,PGV(NS)=   0.54,PGV(EW)=   0.40,Int= 3¯Å,PGA(SUM)=  24.10,PGV(SUM)=   0.67
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  33.95,AZ=319.57,PGA(V)=   4.15,PGA(NS)=  19.83,PGA(EW)=  19.71,PGV(V)=   0.10,PGV(NS)=   0.38,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=  14.82,PGV(SUM)=   0.43
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  34.98,AZ=263.67,PGA(V)=   7.28,PGA(NS)=  20.88,PGA(EW)=  25.92,PGV(V)=   0.16,PGV(NS)=   0.39,PGV(EW)=   0.40,Int= 3¯Å,PGA(SUM)=  14.35,PGV(SUM)=   0.51
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  36.01,AZ=284.97,PGA(V)=   9.00,PGA(NS)=  12.38,PGA(EW)=  10.29,PGV(V)=   0.31,PGV(NS)=   0.48,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  12.21,PGV(SUM)=   0.48
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  39.84,AZ=329.58,PGA(V)=   3.75,PGA(NS)=   3.55,PGA(EW)=   2.47,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.36,PGV(SUM)=   0.11
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  41.38,AZ=229.53,PGA(V)=   3.08,PGA(NS)=   3.19,PGA(EW)=   2.36,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.92,PGV(SUM)=   0.14
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  45.76,AZ=217.78,PGA(V)=   3.09,PGA(NS)=   4.29,PGA(EW)=   3.61,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   3.96,PGV(SUM)=   0.26
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  48.00,AZ=349.43,PGA(V)=   4.46,PGA(NS)=   8.49,PGA(EW)=   5.86,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   5.72,PGV(SUM)=   0.18
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  48.14,AZ=123.22,PGA(V)=   2.18,PGA(NS)=   4.61,PGA(EW)=   5.97,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   7.17,PGV(SUM)=   0.32
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  48.39,AZ= 74.90,PGA(V)=   4.17,PGA(NS)=   6.53,PGA(EW)=   5.25,PGV(V)=   0.34,PGV(NS)=   0.55,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   6.91,PGV(SUM)=   0.58
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  48.60,AZ=125.60,PGA(V)=   3.34,PGA(NS)=  11.07,PGA(EW)=   8.55,PGV(V)=   0.14,PGV(NS)=   0.27,PGV(EW)=   0.24,Int= 3¯Å,PGA(SUM)=  10.31,PGV(SUM)=   0.28
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  48.61,AZ=151.34,PGA(V)=   6.12,PGA(NS)=  14.71,PGA(EW)=  11.88,PGV(V)=   0.22,PGV(NS)=   0.56,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  15.81,PGV(SUM)=   0.58
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  49.92,AZ=139.81,PGA(V)=   7.29,PGA(NS)=  18.10,PGA(EW)=  16.64,PGV(V)=   0.22,PGV(NS)=   0.49,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  21.22,PGV(SUM)=   0.62
