Origin Time:2020/02/26 13:34:15
Lon:121.62¢XE
Lat:23.88¢XN
Depth:26.5km
Mag:4.9
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=   3.29,AZ=154.93,PGA(V)=  13.94,PGA(NS)=  20.90,PGA(EW)=  16.71,PGV(V)=   0.25,PGV(NS)=   0.68,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=  19.59,PGV(SUM)=   0.70
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  10.89,AZ=178.84,PGA(V)=   5.43,PGA(NS)=  10.46,PGA(EW)=  13.41,PGV(V)=   0.18,PGV(NS)=   0.36,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=  11.85,PGV(SUM)=   0.59
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  11.27,AZ= 28.61,PGA(V)=   5.39,PGA(NS)=   9.75,PGA(EW)=  11.01,PGV(V)=   0.19,PGV(NS)=   0.40,PGV(EW)=   0.41,Int= 3¯Å,PGA(SUM)=  10.77,PGV(SUM)=   0.44
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  15.90,AZ=128.13,PGA(V)=  28.45,PGA(NS)=  33.58,PGA(EW)=  35.11,PGV(V)=   0.38,PGV(NS)=   0.48,PGV(EW)=   1.39,Int= 4¯Å,PGA(SUM)=  26.35,PGV(SUM)=   1.45
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  19.14,AZ= 68.00,PGA(V)=  13.43,PGA(NS)=  30.42,PGA(EW)=  32.22,PGV(V)=   0.27,PGV(NS)=   0.80,PGV(EW)=   0.68,Int= 4¯Å,PGA(SUM)=  29.44,PGV(SUM)=   0.97
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  19.97,AZ= 20.36,PGA(V)=  11.46,PGA(NS)=  25.19,PGA(EW)=  20.50,PGV(V)=   0.34,PGV(NS)=   0.94,PGV(EW)=   0.70,Int= 4¯Å,PGA(SUM)=  27.66,PGV(SUM)=   1.00
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  22.67,AZ=177.20,PGA(V)=   5.21,PGA(NS)=   4.83,PGA(EW)=   4.09,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.77,PGV(SUM)=   0.24
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  31.17,AZ=181.37,PGA(V)=   5.12,PGA(NS)=  23.38,PGA(EW)=  18.40,PGV(V)=   0.10,PGV(NS)=   0.37,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=  14.37,PGV(SUM)=   0.38
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  39.00,AZ=159.57,PGA(V)=   7.57,PGA(NS)=   8.36,PGA(EW)=  16.50,PGV(V)=   0.18,PGV(NS)=   0.20,PGV(EW)=   0.54,Int= 3¯Å,PGA(SUM)=  14.36,PGV(SUM)=   0.54
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  45.73,AZ=130.21,PGA(V)=   4.33,PGA(NS)=   8.94,PGA(EW)=  13.09,PGV(V)=   0.11,PGV(NS)=   0.27,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=  14.11,PGV(SUM)=   0.57
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  49.59,AZ=195.86,PGA(V)=   4.12,PGA(NS)=   3.58,PGA(EW)=   4.73,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.37,PGV(SUM)=   0.19
