Origin Time:2020/05/25 06:31:30
Lon:121.95°E
Lat:24.36°N
Depth:23.8km
Mag:5.2
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  21.55,AZ= 74.66,PGA(V)=  17.26,PGA(NS)=  15.01,PGA(EW)=  14.15,PGV(V)=   0.32,PGV(NS)=   0.52,PGV(EW)=   0.52,Int= 3級,PGA(SUM)=  11.80,PGV(SUM)=   0.61
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  22.02,AZ= 81.41,PGA(V)=   8.19,PGA(NS)=   9.43,PGA(EW)=  11.14,PGV(V)=   0.22,PGV(NS)=   0.30,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=   8.82,PGV(SUM)=   0.35
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  22.07,AZ=109.74,PGA(V)=  24.69,PGA(NS)=  73.21,PGA(EW)= 102.86,PGV(V)=   0.59,PGV(NS)=   1.10,PGV(EW)=   1.84,Int= 4級,PGA(SUM)=  58.07,PGV(SUM)=   1.85
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  29.21,AZ=160.89,PGA(V)=   9.53,PGA(NS)=  28.44,PGA(EW)=  30.40,PGV(V)=   0.31,PGV(NS)=   0.92,PGV(EW)=   0.92,Int= 4級,PGA(SUM)=  35.84,PGV(SUM)=   1.20
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  38.79,AZ=141.74,PGA(V)=   6.19,PGA(NS)=   9.12,PGA(EW)=   9.78,PGV(V)=   0.31,PGV(NS)=   0.35,PGV(EW)=   0.39,Int= 3級,PGA(SUM)=  11.58,PGV(SUM)=   0.45
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  40.29,AZ= 56.49,PGA(V)=   2.07,PGA(NS)=   5.77,PGA(EW)=   8.80,PGV(V)=   0.05,PGV(NS)=   0.18,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   5.02,PGV(SUM)=   0.19
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  46.93,AZ= 49.05,PGA(V)=   0.80,PGA(NS)=   1.19,PGA(EW)=   1.44,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.11
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  48.32,AZ=145.38,PGA(V)=   2.66,PGA(NS)=   5.43,PGA(EW)=   4.63,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   5.57,PGV(SUM)=   0.28
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  49.10,AZ=155.95,PGA(V)=   5.85,PGA(NS)=  16.18,PGA(EW)=  10.21,PGV(V)=   0.20,PGV(NS)=   0.75,PGV(EW)=   0.66,Int= 3級,PGA(SUM)=  17.25,PGV(SUM)=   0.92
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  49.38,AZ=128.71,PGA(V)=   2.38,PGA(NS)=   9.87,PGA(EW)=  10.04,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.22,Int= 3級,PGA(SUM)=  12.18,PGV(SUM)=   0.30
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  50.80,AZ= 70.62,PGA(V)=   4.28,PGA(NS)=   6.07,PGA(EW)=   4.42,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   5.50,PGV(SUM)=   0.25
