Origin Time:2020/06/11 09:38:26
Lon:122.39°E
Lat:24.50°N
Depth:90.8km
Mag:5.4
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  54.64,AZ=102.69,PGA(V)=   2.62,PGA(NS)=   3.28,PGA(EW)=   1.99,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.11,PGV(SUM)=   0.10
Stacode=EGS ,Staname=龜山島,Stalon=121.94,Stalat=24.84,Dist=  58.68,AZ=130.33,PGA(V)=   0.34,PGA(NS)=   0.75,PGA(EW)=   0.49,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.04
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  65.05,AZ= 82.81,PGA(V)=   4.01,PGA(NS)=   9.15,PGA(EW)=   8.95,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   5.15,PGV(SUM)=   0.14
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  68.62,AZ=124.92,PGA(V)=   2.44,PGA(NS)=   7.38,PGA(EW)=   9.66,PGV(V)=   0.07,PGV(NS)=   0.26,PGV(EW)=   0.30,Int= 3級,PGA(SUM)=  11.61,PGV(SUM)=   0.40
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  69.36,AZ=102.37,PGA(V)=   4.52,PGA(NS)=   3.42,PGA(EW)=   2.10,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.34,PGV(SUM)=   0.12
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  70.10,AZ=114.65,PGA(V)=   3.67,PGA(NS)=  10.13,PGA(EW)=   7.40,PGV(V)=   0.12,PGV(NS)=   0.53,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  12.44,PGV(SUM)=   0.63
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  75.15,AZ=108.76,PGA(V)=   2.02,PGA(NS)=   2.50,PGA(EW)=   3.32,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.54,PGV(SUM)=   0.14
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  77.10,AZ=132.71,PGA(V)=   0.45,PGA(NS)=   0.76,PGA(EW)=   0.79,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.03
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  83.66,AZ=100.52,PGA(V)=   3.26,PGA(NS)=   7.95,PGA(EW)=   8.98,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   6.96,PGV(SUM)=   0.17
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  86.15,AZ= 63.95,PGA(V)=   1.45,PGA(NS)=   6.55,PGA(EW)=   4.80,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   5.38,PGV(SUM)=   0.14
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  89.15,AZ= 97.33,PGA(V)=   2.05,PGA(NS)=   1.23,PGA(EW)=   2.05,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.07
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  91.83,AZ= 59.68,PGA(V)=   0.89,PGA(NS)=   0.77,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.03
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist=  94.90,AZ=139.29,PGA(V)=   0.93,PGA(NS)=   0.61,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.06
Stacode=TWA ,Staname=木柵  ,Stalon=121.59,Stalat=24.98,Dist=  96.14,AZ=123.41,PGA(V)=   0.81,PGA(NS)=   0.89,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.05
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  97.28,AZ= 70.51,PGA(V)=   4.41,PGA(NS)=   4.42,PGA(EW)=   2.81,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   4.49,PGV(SUM)=   0.14
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  97.61,AZ= 53.46,PGA(V)=   1.02,PGA(NS)=   2.82,PGA(EW)=   2.29,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.80,PGV(SUM)=   0.08
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 101.91,AZ=125.90,PGA(V)=   2.89,PGA(NS)=   2.52,PGA(EW)=   2.45,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.62,PGV(SUM)=   0.18
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 102.04,AZ= 86.11,PGA(V)=   1.04,PGA(NS)=   1.97,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.05
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 103.42,AZ= 50.33,PGA(V)=   2.24,PGA(NS)=   4.04,PGA(EW)=   3.51,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.18,PGV(SUM)=   0.17
