Origin Time:2020/06/27 07:27:44
Lon:120.84¢XE
Lat:23.05¢XN
Depth:5.4km
Mag:5.0
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  20.60,AZ= 72.23,PGA(V)=   7.36,PGA(NS)=   7.69,PGA(EW)=  10.91,PGV(V)=   0.17,PGV(NS)=   0.26,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=  10.16,PGV(SUM)=   0.36
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  24.46,AZ=231.68,PGA(V)=   5.55,PGA(NS)=   4.84,PGA(EW)=   6.64,PGV(V)=   0.13,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   7.51,PGV(SUM)=   0.29
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  25.51,AZ= 97.54,PGA(V)=   2.05,PGA(NS)=   5.21,PGA(EW)=   4.29,PGV(V)=   0.16,PGV(NS)=   0.22,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   5.43,PGV(SUM)=   0.30
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  30.76,AZ=134.20,PGA(V)=   3.29,PGA(NS)=   3.62,PGA(EW)=   5.06,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.12
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  33.93,AZ=297.99,PGA(V)=   8.26,PGA(NS)=  19.25,PGA(EW)=  12.84,PGV(V)=   0.26,PGV(NS)=   0.61,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=  18.76,PGV(SUM)=   0.71
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  35.01,AZ=115.25,PGA(V)=   0.76,PGA(NS)=   1.22,PGA(EW)=   1.54,PGV(V)=   0.09,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.09
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  35.78,AZ=316.02,PGA(V)=   3.61,PGA(NS)=   4.06,PGA(EW)=   4.71,PGV(V)=   0.12,PGV(NS)=   0.19,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   5.72,PGV(SUM)=   0.30
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  39.41,AZ=262.71,PGA(V)=   3.04,PGA(NS)=   4.93,PGA(EW)=   5.87,PGV(V)=   0.18,PGV(NS)=   0.22,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   5.80,PGV(SUM)=   0.33
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  39.47,AZ= 30.88,PGA(V)=   3.10,PGA(NS)=   2.82,PGA(EW)=   3.22,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.12,PGV(SUM)=   0.12
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  39.69,AZ= 62.67,PGA(V)=   2.08,PGA(NS)=   4.41,PGA(EW)=   2.68,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   4.47,PGV(SUM)=   0.26
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist=  41.96,AZ=124.50,PGA(V)=   0.89,PGA(NS)=   0.85,PGA(EW)=   0.88,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  43.00,AZ= 27.40,PGA(V)=   2.67,PGA(NS)=   3.09,PGA(EW)=   3.54,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.27,PGV(SUM)=   0.09
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  46.33,AZ=315.38,PGA(V)=   1.06,PGA(NS)=   2.12,PGA(EW)=   2.65,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.82,PGV(SUM)=   0.15
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  48.56,AZ=280.20,PGA(V)=   1.52,PGA(NS)=   4.00,PGA(EW)=   2.84,PGV(V)=   0.09,PGV(NS)=   0.26,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.10,PGV(SUM)=   0.27
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  49.17,AZ=151.00,PGA(V)=   1.19,PGA(NS)=   2.78,PGA(EW)=   2.37,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.21,PGV(SUM)=   0.16
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  49.53,AZ=250.62,PGA(V)=   1.71,PGA(NS)=   3.85,PGA(EW)=   3.29,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.67,PGV(SUM)=   0.22
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  50.18,AZ= 43.90,PGA(V)=   0.65,PGA(NS)=   1.49,PGA(EW)=   1.86,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.25,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.26
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  50.80,AZ=177.20,PGA(V)=   0.96,PGA(NS)=   1.45,PGA(EW)=   1.63,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.11
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  51.89,AZ=345.76,PGA(V)=   2.08,PGA(NS)=   3.41,PGA(EW)=   2.38,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.79,PGV(SUM)=   0.13
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  54.64,AZ= 41.07,PGA(V)=   0.73,PGA(NS)=   1.56,PGA(EW)=   1.72,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.25,Int= 1¯Å,PGA(SUM)=   1.86,PGV(SUM)=   0.25
