Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  68.52,AZ= 94.85,PGA(V)=   6.08,PGA(NS)=   9.01,PGA(EW)=  10.11,PGV(V)=   0.29,PGV(NS)=   0.48,PGV(EW)=   0.49,Int= 3級,PGA(SUM)=  10.58,PGV(SUM)=   0.56
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  69.11,AZ=124.46,PGA(V)=   2.83,PGA(NS)=   4.09,PGA(EW)=   4.40,PGV(V)=   0.19,PGV(NS)=   0.18,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   4.20,PGV(SUM)=   0.27
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  70.82,AZ=105.52,PGA(V)=   5.24,PGA(NS)=  12.25,PGA(EW)=  13.43,PGV(V)=   0.14,PGV(NS)=   0.29,PGV(EW)=   0.30,Int= 3級,PGA(SUM)=  10.08,PGV(SUM)=   0.36
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  81.82,AZ= 82.46,PGA(V)=   2.93,PGA(NS)=  14.74,PGA(EW)=   8.03,PGV(V)=   0.08,PGV(NS)=   0.45,PGV(EW)=   0.28,Int= 3級,PGA(SUM)=  12.11,PGV(SUM)=   0.47
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  87.80,AZ= 69.31,PGA(V)=   3.69,PGA(NS)=  12.76,PGA(EW)=   9.25,PGV(V)=   0.21,PGV(NS)=   0.62,PGV(EW)=   0.54,Int= 3級,PGA(SUM)=  12.00,PGV(SUM)=   0.69
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  87.85,AZ=129.89,PGA(V)=   3.02,PGA(NS)=   5.27,PGA(EW)=   4.59,PGV(V)=   0.15,PGV(NS)=   0.31,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   5.42,PGV(SUM)=   0.37
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  89.44,AZ=137.91,PGA(V)=   2.71,PGA(NS)=   5.44,PGA(EW)=   4.88,PGV(V)=   0.12,PGV(NS)=   0.31,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   5.95,PGV(SUM)=   0.37
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  90.73,AZ=124.40,PGA(V)=   2.52,PGA(NS)=   3.30,PGA(EW)=   4.24,PGV(V)=   0.17,PGV(NS)=   0.23,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   4.24,PGV(SUM)=   0.35
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  91.97,AZ= 64.96,PGA(V)=   8.09,PGA(NS)=  14.46,PGA(EW)=  13.31,PGV(V)=   0.42,PGV(NS)=   0.83,PGV(EW)=   0.79,Int= 3級,PGA(SUM)=  17.82,PGV(SUM)=   1.03
Stacode=TWB1,Staname=三貂角,Stalon=122.00,Stalat=25.01,Dist=  93.68,AZ=152.71,PGA(V)=   0.45,PGA(NS)=   1.66,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.83,PGV(SUM)=   0.09
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  95.59,AZ= 86.79,PGA(V)=   7.10,PGA(NS)=   8.19,PGA(EW)=   5.96,PGV(V)=   0.18,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 3級,PGA(SUM)=   8.34,PGV(SUM)=   0.32
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  99.71,AZ= 71.23,PGA(V)=  13.41,PGA(NS)=   9.50,PGA(EW)=  12.25,PGV(V)=   0.60,PGV(NS)=   0.35,PGV(EW)=   0.52,Int= 3級,PGA(SUM)=  15.45,PGV(SUM)=   0.74
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  99.72,AZ=142.76,PGA(V)=   0.87,PGA(NS)=   0.98,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.11
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  99.85,AZ=112.66,PGA(V)=   2.00,PGA(NS)=   1.65,PGA(EW)=   2.40,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.42,PGV(SUM)=   0.14
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 107.45,AZ=100.83,PGA(V)=   1.55,PGA(NS)=   3.48,PGA(EW)=   3.01,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.45,PGV(SUM)=   0.23
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist= 107.63,AZ= 55.72,PGA(V)=   4.23,PGA(NS)=  10.83,PGA(EW)=  10.74,PGV(V)=   0.22,PGV(NS)=   0.56,PGV(EW)=   0.58,Int= 3級,PGA(SUM)=  11.10,PGV(SUM)=   0.64
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist= 111.10,AZ= 63.79,PGA(V)=   3.49,PGA(NS)=   6.14,PGA(EW)=   8.37,PGV(V)=   0.17,PGV(NS)=   0.32,PGV(EW)=   0.54,Int= 3級,PGA(SUM)=   8.02,PGV(SUM)=   0.57
