Origin Time:2020/09/23 12:00:02
Lon:121.50¢XE
Lat:23.32¢XN
Depth:32.8km
Mag:4.9
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=   4.97,AZ= 82.48,PGA(V)=  17.80,PGA(NS)=  31.47,PGA(EW)=  29.52,PGV(V)=   0.50,PGV(NS)=   1.14,PGV(EW)=   0.97,Int= 4¯Å,PGA(SUM)=  29.99,PGV(SUM)=   1.23
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  18.64,AZ= 98.55,PGA(V)=   4.20,PGA(NS)=   3.41,PGA(EW)=   3.74,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.87,PGV(SUM)=   0.32
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  25.08,AZ= 56.93,PGA(V)=   2.61,PGA(NS)=   7.82,PGA(EW)=   7.21,PGV(V)=   0.11,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=   8.59,PGV(SUM)=   0.32
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  26.54,AZ=139.28,PGA(V)=   2.74,PGA(NS)=   7.43,PGA(EW)=   5.03,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   5.41,PGV(SUM)=   0.20
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  28.01,AZ= 27.49,PGA(V)=  16.47,PGA(NS)=  50.61,PGA(EW)=  52.84,PGV(V)=   0.40,PGV(NS)=   1.26,PGV(EW)=   1.08,Int= 4¯Å,PGA(SUM)=  48.14,PGV(SUM)=   1.50
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  38.12,AZ= 48.77,PGA(V)=   4.35,PGA(NS)=   3.76,PGA(EW)=   4.10,PGV(V)=   0.11,PGV(NS)=   0.14,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.69,PGV(SUM)=   0.25
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  39.09,AZ=169.17,PGA(V)=   2.46,PGA(NS)=   2.35,PGA(EW)=   2.63,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.57,PGV(SUM)=   0.11
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  42.99,AZ=186.57,PGA(V)=   3.90,PGA(NS)=   6.37,PGA(EW)=   6.20,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.23,Int= 3¯Å,PGA(SUM)=   8.57,PGV(SUM)=   0.29
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  43.59,AZ= 27.33,PGA(V)=  10.20,PGA(NS)=  28.57,PGA(EW)=  22.44,PGV(V)=   0.27,PGV(NS)=   0.67,PGV(EW)=   0.69,Int= 4¯Å,PGA(SUM)=  25.64,PGV(SUM)=   0.96
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  50.78,AZ= 72.87,PGA(V)=   2.35,PGA(NS)=   2.25,PGA(EW)=   2.17,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.73,PGV(SUM)=   0.08
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  51.94,AZ=187.15,PGA(V)=   1.14,PGA(NS)=   1.94,PGA(EW)=   3.01,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.03,PGV(SUM)=   0.15
