Origin Time:2020/11/07 20:01:31
Lon:121.90°E
Lat:24.50°N
Depth:11.2km
Mag:4.3
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  12.48,AZ=159.49,PGA(V)=   9.19,PGA(NS)=  27.35,PGA(EW)=  20.28,PGV(V)=   0.17,PGV(NS)=   0.55,PGV(EW)=   0.36,Int= 4級,PGA(SUM)=  26.98,PGV(SUM)=   0.62
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  17.73,AZ= 61.50,PGA(V)=  10.91,PGA(NS)=  29.69,PGA(EW)=  27.96,PGV(V)=   0.15,PGV(NS)=   0.35,PGV(EW)=   0.38,Int= 3級,PGA(SUM)=  13.76,PGV(SUM)=   0.44
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  26.65,AZ= 35.79,PGA(V)=  10.39,PGA(NS)=  13.12,PGA(EW)=  20.80,PGV(V)=   0.15,PGV(NS)=   0.29,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=  18.65,PGV(SUM)=   0.50
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  32.50,AZ=152.87,PGA(V)=   2.94,PGA(NS)=   4.11,PGA(EW)=   5.24,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   6.17,PGV(SUM)=   0.26
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  32.62,AZ=136.99,PGA(V)=   1.98,PGA(NS)=   2.53,PGA(EW)=   3.83,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   4.00,PGV(SUM)=   0.15
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  36.54,AZ=114.18,PGA(V)=   2.47,PGA(NS)=   7.86,PGA(EW)=  11.73,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 3級,PGA(SUM)=   8.84,PGV(SUM)=   0.21
Stacode=EGS ,Staname=龜山島,Stalon=121.94,Stalat=24.84,Dist=  37.89,AZ=186.29,PGA(V)=   0.72,PGA(NS)=   1.04,PGA(EW)=   1.07,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.03
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  39.65,AZ=169.27,PGA(V)=   2.25,PGA(NS)=   4.05,PGA(EW)=   3.20,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.15,PGV(SUM)=   0.14
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  41.01,AZ=105.64,PGA(V)=   1.67,PGA(NS)=   2.81,PGA(EW)=   3.52,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.51,PGV(SUM)=   0.10
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  47.55,AZ= 36.64,PGA(V)=   1.94,PGA(NS)=   6.91,PGA(EW)=   5.63,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   6.46,PGV(SUM)=   0.16
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  52.56,AZ=171.47,PGA(V)=   0.48,PGA(NS)=   0.68,PGA(EW)=   1.22,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.04
