Origin Time:2020/11/16 15:19:12
Lon:121.28¢XE
Lat:21.98¢XN
Depth:68.2km
Mag:5.3
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  29.05,AZ=257.87,PGA(V)=   5.75,PGA(NS)=  32.58,PGA(EW)=  22.37,PGV(V)=   0.16,PGV(NS)=   2.04,PGV(EW)=   0.86,Int= 4¯Å,PGA(SUM)=  36.21,PGV(SUM)=   2.06
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist=  45.09,AZ= 78.49,PGA(V)=   2.98,PGA(NS)=   4.43,PGA(EW)=   4.21,PGV(V)=   0.13,PGV(NS)=   0.27,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.08,PGV(SUM)=   0.33
Stacode=SMS ,Staname=º¡¦{  ,Stalon=120.84,Stalat=22.02,Dist=  46.24,AZ= 95.25,PGA(V)=   3.30,PGA(NS)=  10.20,PGA(EW)=   9.29,PGV(V)=   0.10,PGV(NS)=   0.36,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=  10.98,PGV(SUM)=   0.36
Stacode=TWK1,Staname=¾Á¤B  ,Stalon=120.81,Stalat=21.94,Dist=  48.68,AZ= 84.52,PGA(V)=   1.15,PGA(NS)=   1.82,PGA(EW)=   2.78,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.14
Stacode=SNW ,Staname=«nÆW  ,Stalon=120.75,Stalat=21.96,Dist=  55.13,AZ= 87.43,PGA(V)=   3.13,PGA(NS)=   9.14,PGA(EW)=   8.88,PGV(V)=   0.15,PGV(NS)=   0.44,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=   9.02,PGV(SUM)=   0.45
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist=  55.49,AZ= 92.47,PGA(V)=   1.61,PGA(NS)=   4.43,PGA(EW)=   3.70,PGV(V)=   0.10,PGV(NS)=   0.41,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.67,PGV(SUM)=   0.42
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist=  56.26,AZ=117.43,PGA(V)=   1.50,PGA(NS)=   3.29,PGA(EW)=   1.76,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   3.62,PGV(SUM)=   0.11
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  56.82,AZ=134.17,PGA(V)=   1.09,PGA(NS)=   3.46,PGA(EW)=   1.66,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   3.25,PGV(SUM)=   0.09
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  62.41,AZ=135.19,PGA(V)=   0.76,PGA(NS)=   1.18,PGA(EW)=   1.46,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.06
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  75.59,AZ=154.05,PGA(V)=   1.09,PGA(NS)=   2.13,PGA(EW)=   1.44,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.06
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  78.90,AZ=194.08,PGA(V)=   1.49,PGA(NS)=   3.21,PGA(EW)=   2.10,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.42,PGV(SUM)=   0.14
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  94.85,AZ=167.27,PGA(V)=   0.60,PGA(NS)=   0.85,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.05
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist= 102.53,AZ=113.19,PGA(V)=   0.58,PGA(NS)=   1.57,PGA(EW)=   1.07,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.06
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 103.55,AZ=171.25,PGA(V)=   0.79,PGA(NS)=   0.85,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.07
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist= 107.25,AZ=141.89,PGA(V)=   0.56,PGA(NS)=   1.36,PGA(EW)=   0.96,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.03
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist= 109.68,AZ=181.12,PGA(V)=   1.55,PGA(NS)=   3.26,PGA(EW)=   2.74,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.26,PGV(SUM)=   0.15
Stacode=KAU ,Staname=°ª¶¯¥«,Stalon=120.32,Stalat=22.57,Dist= 118.81,AZ=122.98,PGA(V)=   1.25,PGA(NS)=   2.41,PGA(EW)=   1.80,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.09
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 123.44,AZ=176.95,PGA(V)=   0.91,PGA(NS)=   1.43,PGA(EW)=   2.17,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.12
