Origin Time:2020/12/10 13:29:38
Lon:121.55¢XE
Lat:23.45¢XN
Depth:38.0km
Mag:5.4
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  18.40,AZ= 34.56,PGA(V)=  15.51,PGA(NS)=  53.08,PGA(EW)= 112.61,PGV(V)=   0.43,PGV(NS)=   1.07,PGV(EW)=   1.61,Int= 4¯Å,PGA(SUM)=  70.57,PGV(SUM)=   1.73
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  23.50,AZ=103.80,PGA(V)=   7.17,PGA(NS)=  15.48,PGA(EW)=  16.94,PGV(V)=   0.22,PGV(NS)=   0.33,PGV(EW)=   0.64,Int= 3¯Å,PGA(SUM)=  13.16,PGV(SUM)=   0.66
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  26.66,AZ= 63.89,PGA(V)=   6.47,PGA(NS)=  12.79,PGA(EW)=  11.48,PGV(V)=   0.25,PGV(NS)=   0.51,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=  12.23,PGV(SUM)=   0.52
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  27.12,AZ=151.71,PGA(V)=  13.67,PGA(NS)=  20.96,PGA(EW)=  23.71,PGV(V)=   0.39,PGV(NS)=   1.16,PGV(EW)=   0.80,Int= 3¯Å,PGA(SUM)=  23.31,PGV(SUM)=   1.24
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  28.21,AZ=178.79,PGA(V)=  13.36,PGA(NS)=  19.73,PGA(EW)=  17.28,PGV(V)=   0.29,PGV(NS)=   0.62,PGV(EW)=   0.63,Int= 3¯Å,PGA(SUM)=  22.32,PGV(SUM)=   0.82
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  37.04,AZ=181.48,PGA(V)=   4.69,PGA(NS)=  10.29,PGA(EW)=   9.90,PGV(V)=   0.17,PGV(NS)=   0.56,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  10.47,PGV(SUM)=   0.58
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  38.71,AZ= 43.26,PGA(V)=   4.68,PGA(NS)=  10.99,PGA(EW)=  10.20,PGV(V)=   0.21,PGV(NS)=   0.47,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=  11.95,PGV(SUM)=   0.50
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  41.36,AZ=163.98,PGA(V)=   6.11,PGA(NS)=  14.82,PGA(EW)=  12.51,PGV(V)=   0.18,PGV(NS)=   0.54,PGV(EW)=   0.37,Int= 3¯Å,PGA(SUM)=  12.94,PGV(SUM)=   0.56
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  43.46,AZ= 25.12,PGA(V)=  12.01,PGA(NS)=  50.51,PGA(EW)=  46.76,PGV(V)=   0.27,PGV(NS)=   1.09,PGV(EW)=   1.09,Int= 4¯Å,PGA(SUM)=  52.75,PGV(SUM)=   1.37
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  50.14,AZ=185.68,PGA(V)=   7.87,PGA(NS)=   9.10,PGA(EW)=  14.19,PGV(V)=   0.51,PGV(NS)=   0.39,PGV(EW)=   0.96,Int= 3¯Å,PGA(SUM)=  14.07,PGV(SUM)=   0.99
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  52.34,AZ= 40.78,PGA(V)=   2.67,PGA(NS)=   4.37,PGA(EW)=   5.18,PGV(V)=   0.16,PGV(NS)=   0.23,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.47,PGV(SUM)=   0.25
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  57.08,AZ=173.79,PGA(V)=   4.47,PGA(NS)=   7.07,PGA(EW)=   6.69,PGV(V)=   0.13,PGV(NS)=   0.31,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   6.36,PGV(SUM)=   0.42
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  58.13,AZ=186.06,PGA(V)=   2.21,PGA(NS)=   7.24,PGA(EW)=   7.86,PGV(V)=   0.13,PGV(NS)=   0.38,PGV(EW)=   0.53,Int= 3¯Å,PGA(SUM)=   8.62,PGV(SUM)=   0.58
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  59.04,AZ= 25.62,PGA(V)=   8.12,PGA(NS)=  14.95,PGA(EW)=  12.48,PGV(V)=   0.20,PGV(NS)=   0.37,PGV(EW)=   0.36,Int= 3¯Å,PGA(SUM)=  14.18,PGV(SUM)=   0.41
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  61.54,AZ= 61.39,PGA(V)=   6.15,PGA(NS)=   6.59,PGA(EW)=   5.28,PGV(V)=   0.14,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   6.04,PGV(SUM)=   0.16
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  67.56,AZ=145.27,PGA(V)=   3.10,PGA(NS)=   3.50,PGA(EW)=   3.38,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.22,PGV(SUM)=   0.12
