Origin Time:2021/01/17 07:10:59
Lon:121.35¢XE
Lat:22.54¢XN
Depth:21.1km
Mag:5.5
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  18.99,AZ=219.69,PGA(V)=  16.27,PGA(NS)=  39.90,PGA(EW)=  28.00,PGV(V)=   0.74,PGV(NS)=   2.17,PGV(EW)=   3.14,Int= 4¯Å,PGA(SUM)=  35.25,PGV(SUM)=   3.58
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  40.49,AZ= 98.60,PGA(V)=  11.35,PGA(NS)=  16.34,PGA(EW)=  19.84,PGV(V)=   0.34,PGV(NS)=   0.90,PGV(EW)=   1.12,Int= 3¯Å,PGA(SUM)=  21.01,PGV(SUM)=   1.25
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  41.40,AZ=137.66,PGA(V)=   2.27,PGA(NS)=   4.14,PGA(EW)=   3.12,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   4.10,PGV(SUM)=   0.24
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  46.38,AZ=150.64,PGA(V)=   3.84,PGA(NS)=   3.56,PGA(EW)=   4.10,PGV(V)=   0.13,PGV(NS)=   0.33,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.84,PGV(SUM)=   0.38
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  47.99,AZ=174.18,PGA(V)=   3.96,PGA(NS)=  13.51,PGA(EW)=   8.17,PGV(V)=   0.13,PGV(NS)=   0.43,PGV(EW)=   0.41,Int= 3¯Å,PGA(SUM)=  13.37,PGV(SUM)=   0.44
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  52.67,AZ= 64.92,PGA(V)=   2.99,PGA(NS)=   7.79,PGA(EW)=   4.93,PGV(V)=   0.15,PGV(NS)=   0.31,PGV(EW)=   0.45,Int= 2¯Å,PGA(SUM)=   7.92,PGV(SUM)=   0.49
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  53.90,AZ= 70.89,PGA(V)=   4.28,PGA(NS)=  11.05,PGA(EW)=  11.38,PGV(V)=   0.36,PGV(NS)=   0.80,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=  14.84,PGV(SUM)=   1.05
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  59.74,AZ=339.11,PGA(V)=   8.94,PGA(NS)=  20.81,PGA(EW)=  17.26,PGV(V)=   0.23,PGV(NS)=   0.67,PGV(EW)=   0.65,Int= 3¯Å,PGA(SUM)=  21.07,PGV(SUM)=   0.79
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  61.66,AZ=182.07,PGA(V)=   2.69,PGA(NS)=   5.36,PGA(EW)=   4.81,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   5.54,PGV(SUM)=   0.22
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  62.83,AZ=167.53,PGA(V)=   2.00,PGA(NS)=   4.11,PGA(EW)=   4.10,PGV(V)=   0.17,PGV(NS)=   0.37,PGV(EW)=   0.43,Int= 2¯Å,PGA(SUM)=   4.28,PGV(SUM)=   0.45
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist=  67.31,AZ= 57.66,PGA(V)=   1.49,PGA(NS)=   2.30,PGA(EW)=   2.56,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.77,PGV(SUM)=   0.14
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  68.90,AZ=167.51,PGA(V)=   1.58,PGA(NS)=   2.55,PGA(EW)=   2.31,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.73,PGV(SUM)=   0.15
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  73.02,AZ=175.37,PGA(V)=   1.21,PGA(NS)=   2.83,PGA(EW)=   3.51,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.15,PGV(SUM)=   0.21
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  74.86,AZ=104.05,PGA(V)=   1.29,PGA(NS)=   1.71,PGA(EW)=   1.38,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.71,PGV(SUM)=   0.12
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  76.46,AZ=107.09,PGA(V)=   2.15,PGA(NS)=   2.80,PGA(EW)=   1.96,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.91,PGV(SUM)=   0.24
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  76.79,AZ= 75.72,PGA(V)=   1.03,PGA(NS)=   2.02,PGA(EW)=   2.83,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   3.10,PGV(SUM)=   0.32
Stacode=SMS ,Staname=º¡¦{  ,Stalon=120.84,Stalat=22.02,Dist=  78.33,AZ= 42.57,PGA(V)=   2.65,PGA(NS)=   8.04,PGA(EW)=   7.57,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   8.88,PGV(SUM)=   0.26
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  78.96,AZ=154.91,PGA(V)=   0.94,PGA(NS)=   0.94,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.08
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  80.82,AZ= 85.46,PGA(V)=   1.32,PGA(NS)=   3.80,PGA(EW)=   5.88,PGV(V)=   0.12,PGV(NS)=   0.35,PGV(EW)=   0.67,Int= 2¯Å,PGA(SUM)=   6.13,PGV(SUM)=   0.68
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist=  86.22,AZ= 46.34,PGA(V)=   1.47,PGA(NS)=   2.82,PGA(EW)=   3.19,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   3.59,PGV(SUM)=   0.29
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  86.43,AZ=186.81,PGA(V)=   1.16,PGA(NS)=   2.37,PGA(EW)=   2.76,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.75,PGV(SUM)=   0.21
Stacode=TWK1,Staname=¾Á¤B  ,Stalon=120.81,Stalat=21.94,Dist=  86.61,AZ= 39.78,PGA(V)=   0.94,PGA(NS)=   1.97,PGA(EW)=   1.24,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.10
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist=  87.43,AZ= 35.80,PGA(V)=   1.59,PGA(NS)=   2.88,PGA(EW)=   2.65,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.01,PGV(SUM)=   0.18
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  89.30,AZ=177.88,PGA(V)=   0.66,PGA(NS)=   1.08,PGA(EW)=   1.04,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.15
Stacode=SNW ,Staname=«nÆW  ,Stalon=120.75,Stalat=21.96,Dist=  89.40,AZ= 43.92,PGA(V)=   1.59,PGA(NS)=   3.14,PGA(EW)=   4.08,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   4.36,PGV(SUM)=   0.37
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  89.95,AZ=102.97,PGA(V)=   0.86,PGA(NS)=   3.86,PGA(EW)=   3.56,PGV(V)=   0.13,PGV(NS)=   0.48,PGV(EW)=   0.61,Int= 2¯Å,PGA(SUM)=   4.05,PGV(SUM)=   0.61
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  90.05,AZ= 99.69,PGA(V)=   0.90,PGA(NS)=   3.54,PGA(EW)=   2.89,PGV(V)=   0.10,PGV(NS)=   0.42,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   3.73,PGV(SUM)=   0.45
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  91.74,AZ=140.37,PGA(V)=   0.71,PGA(NS)=   1.49,PGA(EW)=   1.08,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.07
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  95.98,AZ=113.40,PGA(V)=   1.52,PGA(NS)=   3.10,PGA(EW)=   3.00,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.71,PGV(SUM)=   0.23
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  98.27,AZ=127.40,PGA(V)=   0.66,PGA(NS)=   0.85,PGA(EW)=   0.92,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.08
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist= 103.36,AZ= 77.97,PGA(V)=   0.79,PGA(NS)=   2.20,PGA(EW)=   1.45,PGV(V)=   0.10,PGV(NS)=   0.23,PGV(EW)=   0.24,Int= 1¯Å,PGA(SUM)=   2.45,PGV(SUM)=   0.32
Stacode=KAU ,Staname=°ª¶¯¥«,Stalon=120.32,Stalat=22.57,Dist= 106.53,AZ= 91.49,PGA(V)=   1.44,PGA(NS)=   5.89,PGA(EW)=   7.03,PGV(V)=   0.15,PGV(NS)=   0.52,PGV(EW)=   0.84,Int= 2¯Å,PGA(SUM)=   7.25,PGV(SUM)=   0.84
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist= 106.61,AZ=178.82,PGA(V)=   0.39,PGA(NS)=   0.72,PGA(EW)=   0.64,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.06
