Origin Time:2021/01/28 15:29:31
Lon:120.98¢XE
Lat:22.54¢XN
Depth:9.1km
Mag:5.1
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=   6.41,AZ=161.78,PGA(V)=  55.52,PGA(NS)= 129.14,PGA(EW)= 128.64,PGV(V)=   1.52,PGV(NS)=   3.66,PGV(EW)=   3.56,Int= 4¯Å,PGA(SUM)= 105.43,PGV(SUM)=   4.98
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  21.81,AZ= 36.17,PGA(V)=   6.95,PGA(NS)=  18.52,PGA(EW)=  24.31,PGV(V)=   0.30,PGV(NS)=   0.82,PGV(EW)=   0.96,Int= 4¯Å,PGA(SUM)=  25.77,PGV(SUM)=   1.10
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  24.29,AZ= 23.39,PGA(V)=   7.35,PGA(NS)=  33.83,PGA(EW)=  14.33,PGV(V)=   0.27,PGV(NS)=   0.88,PGV(EW)=   0.53,Int= 4¯Å,PGA(SUM)=  33.92,PGV(SUM)=   0.95
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  32.27,AZ=198.26,PGA(V)=   5.59,PGA(NS)=   8.47,PGA(EW)=  11.97,PGV(V)=   0.19,PGV(NS)=   0.38,PGV(EW)=   0.56,Int= 3¯Å,PGA(SUM)=  11.92,PGV(SUM)=   0.63
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  39.10,AZ=117.75,PGA(V)=   3.27,PGA(NS)=   6.34,PGA(EW)=   3.53,PGV(V)=   0.12,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   5.35,PGV(SUM)=   0.14
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist=  40.58,AZ= 27.59,PGA(V)=   1.78,PGA(NS)=   4.28,PGA(EW)=   3.63,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.25,PGV(SUM)=   0.18
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  40.98,AZ= 62.53,PGA(V)=   1.41,PGA(NS)=   2.82,PGA(EW)=   1.66,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.83,PGV(SUM)=   0.15
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  41.68,AZ=122.69,PGA(V)=   3.31,PGA(NS)=   4.42,PGA(EW)=   4.44,PGV(V)=   0.14,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.26,PGV(SUM)=   0.22
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  43.00,AZ= 81.48,PGA(V)=   3.84,PGA(NS)=   2.27,PGA(EW)=   3.33,PGV(V)=   0.14,PGV(NS)=   0.18,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   3.75,PGV(SUM)=   0.34
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  43.24,AZ=200.64,PGA(V)=   2.99,PGA(NS)=   8.60,PGA(EW)=   5.31,PGV(V)=   0.14,PGV(NS)=   0.42,PGV(EW)=   0.30,Int= 3¯Å,PGA(SUM)=   9.18,PGV(SUM)=   0.48
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  52.24,AZ=253.71,PGA(V)=   0.84,PGA(NS)=   0.89,PGA(EW)=   0.98,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.10
