Origin Time:2021/04/28 06:10:51
Lon:120.92¢XE
Lat:23.15¢XN
Depth:1.6km
Mag:4.8
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  11.61,AZ=249.46,PGA(V)=  11.01,PGA(NS)=   8.70,PGA(EW)=   8.70,PGV(V)=   0.26,PGV(NS)=   0.38,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  10.88,PGV(SUM)=   0.43
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  14.46,AZ=102.86,PGA(V)=  15.37,PGA(NS)=  33.76,PGA(EW)=  35.86,PGV(V)=   0.33,PGV(NS)=   0.85,PGV(EW)=   0.73,Int= 4¯Å,PGA(SUM)=  37.18,PGV(SUM)=   0.94
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  31.36,AZ=281.21,PGA(V)=   3.87,PGA(NS)=   6.77,PGA(EW)=   5.93,PGV(V)=   0.20,PGV(NS)=   0.27,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   6.96,PGV(SUM)=   0.28
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  32.07,AZ=108.83,PGA(V)=   0.87,PGA(NS)=   2.72,PGA(EW)=   2.69,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.12
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  32.89,AZ= 58.10,PGA(V)=   1.51,PGA(NS)=   2.97,PGA(EW)=   2.33,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.95,PGV(SUM)=   0.15
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  34.48,AZ= 77.02,PGA(V)=   0.57,PGA(NS)=   0.93,PGA(EW)=   1.15,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.10
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  34.61,AZ=321.31,PGA(V)=   3.96,PGA(NS)=   6.30,PGA(EW)=   7.85,PGV(V)=   0.16,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   7.02,PGV(SUM)=   0.20
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  38.77,AZ=262.07,PGA(V)=   1.86,PGA(NS)=   4.64,PGA(EW)=   3.76,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   5.66,PGV(SUM)=   0.18
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  40.15,AZ= 95.49,PGA(V)=   0.64,PGA(NS)=   0.95,PGA(EW)=   0.90,PGV(V)=   0.06,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.07
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  40.37,AZ=335.85,PGA(V)=   1.30,PGA(NS)=   2.57,PGA(EW)=   2.28,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.63,PGV(SUM)=   0.14
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  41.08,AZ=164.79,PGA(V)=   0.94,PGA(NS)=   1.87,PGA(EW)=   1.86,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.08
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  44.10,AZ=296.53,PGA(V)=   0.89,PGA(NS)=   1.16,PGA(EW)=   1.62,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.09
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist=  44.71,AZ=106.47,PGA(V)=   0.52,PGA(NS)=   0.74,PGA(EW)=   1.01,PGV(V)=   0.08,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.14
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  45.29,AZ=134.81,PGA(V)=   1.18,PGA(NS)=   2.38,PGA(EW)=   2.94,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.11
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  46.40,AZ=241.97,PGA(V)=   1.10,PGA(NS)=   2.26,PGA(EW)=   1.28,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.09
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  46.87,AZ=277.13,PGA(V)=   0.81,PGA(NS)=   1.87,PGA(EW)=   4.01,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.85,PGV(SUM)=   0.22
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  50.28,AZ=331.22,PGA(V)=   0.57,PGA(NS)=   1.02,PGA(EW)=   1.60,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.08
