Origin Time:2021/05/23 03:57:43
Lon:121.46¢XE
Lat:23.88¢XN
Depth:22.7km
Mag:4.4
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  10.23,AZ=201.08,PGA(V)=  30.36,PGA(NS)=  96.09,PGA(EW)= 108.65,PGV(V)=   0.45,PGV(NS)=   1.32,PGV(EW)=   2.12,Int= 4¯Å,PGA(SUM)=  83.85,PGV(SUM)=   2.50
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  14.84,AZ=313.28,PGA(V)=   7.63,PGA(NS)=   3.53,PGA(EW)=   5.44,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.86,PGV(SUM)=   0.18
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  15.04,AZ=259.67,PGA(V)=   3.73,PGA(NS)=  12.01,PGA(EW)=   9.29,PGV(V)=   0.09,PGV(NS)=   0.42,PGV(EW)=   0.31,Int= 3¯Å,PGA(SUM)=  12.52,PGV(SUM)=   0.45
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  19.17,AZ=236.40,PGA(V)=   6.11,PGA(NS)=  16.86,PGA(EW)=  11.06,PGV(V)=   0.09,PGV(NS)=   0.33,PGV(EW)=   0.23,Int= 3¯Å,PGA(SUM)=  14.09,PGV(SUM)=   0.37
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  21.13,AZ=334.02,PGA(V)=   2.48,PGA(NS)=   2.91,PGA(EW)=   2.62,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.82,PGV(SUM)=   0.10
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  23.51,AZ=  7.29,PGA(V)=   9.58,PGA(NS)=   8.07,PGA(EW)=   9.95,PGV(V)=   0.13,PGV(NS)=   0.17,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   7.71,PGV(SUM)=   0.23
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  26.97,AZ=213.97,PGA(V)=   2.51,PGA(NS)=   3.31,PGA(EW)=   2.83,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.43,PGV(SUM)=   0.07
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  29.77,AZ=106.24,PGA(V)=   8.86,PGA(NS)=  12.26,PGA(EW)=   9.64,PGV(V)=   0.19,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 3¯Å,PGA(SUM)=   8.87,PGV(SUM)=   0.25
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  34.74,AZ=147.34,PGA(V)=   3.92,PGA(NS)=   8.23,PGA(EW)=   8.11,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   7.33,PGV(SUM)=   0.28
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  35.22,AZ=208.72,PGA(V)=   7.94,PGA(NS)=  21.46,PGA(EW)=  31.38,PGV(V)=   0.07,PGV(NS)=   0.30,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=  12.39,PGV(SUM)=   0.38
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  36.36,AZ=184.03,PGA(V)=   9.47,PGA(NS)=  12.60,PGA(EW)=  11.49,PGV(V)=   0.20,PGV(NS)=   0.22,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=   8.88,PGV(SUM)=   0.30
