Origin Time:2021/06/11 15:33:26
Lon:121.53°E
Lat:23.89°N
Depth:10.6km
Mag:5.4
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.48,AZ=258.58,PGA(V)=  47.91,PGA(NS)=  88.85,PGA(EW)=  96.10,PGV(V)=   3.21,PGV(NS)=   3.93,PGV(EW)=   8.08,Int= 4級,PGA(SUM)= 108.25,PGV(SUM)=   8.85
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=   9.15,AZ=155.54,PGA(V)= 131.81,PGA(NS)= 173.26,PGA(EW)= 238.75,PGV(V)=   2.85,PGV(NS)=   2.96,PGV(EW)=   5.19,Int= 4級,PGA(SUM)= 210.64,PGV(SUM)=   5.99
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  11.87,AZ=343.70,PGA(V)=  80.61,PGA(NS)= 317.94,PGA(EW)= 249.06,PGV(V)=   3.70,PGV(NS)=  12.92,PGV(EW)=  15.21,Int= 5弱,PGA(SUM)= 282.64,PGV(SUM)=  16.35
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  12.50,AZ= 46.13,PGA(V)=  35.80,PGA(NS)= 128.94,PGA(EW)= 138.12,PGV(V)=   1.59,PGV(NS)=   3.32,PGV(EW)=   3.30,Int= 4級,PGA(SUM)=  69.94,PGV(SUM)=   4.12
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  12.66,AZ=222.16,PGA(V)=  12.55,PGA(NS)=  43.97,PGA(EW)=  40.85,PGV(V)=   0.91,PGV(NS)=   2.16,PGV(EW)=   2.36,Int= 4級,PGA(SUM)=  52.69,PGV(SUM)=   2.93
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  20.29,AZ=354.96,PGA(V)=  58.28,PGA(NS)=  70.28,PGA(EW)=  40.26,PGV(V)=   2.88,PGV(NS)=   4.83,PGV(EW)=   3.70,Int= 4級,PGA(SUM)=  74.02,PGV(SUM)=   5.27
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  22.48,AZ=199.79,PGA(V)=   7.33,PGA(NS)=   7.67,PGA(EW)=   8.85,PGV(V)=   0.24,PGV(NS)=   0.25,PGV(EW)=   0.40,Int= 2級,PGA(SUM)=   7.88,PGV(SUM)=   0.50
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  26.67,AZ= 23.08,PGA(V)=  17.19,PGA(NS)=  20.50,PGA(EW)=  22.57,PGV(V)=   0.63,PGV(NS)=   1.19,PGV(EW)=   0.89,Int= 3級,PGA(SUM)=  21.79,PGV(SUM)=   1.25
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  31.14,AZ=197.69,PGA(V)=   8.17,PGA(NS)=  32.06,PGA(EW)=  24.55,PGV(V)=   0.13,PGV(NS)=   0.52,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=  23.41,PGV(SUM)=   0.56
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  35.39,AZ=172.04,PGA(V)=  24.55,PGA(NS)=  29.74,PGA(EW)=  18.95,PGV(V)=   0.65,PGV(NS)=   0.85,PGV(EW)=   0.63,Int= 4級,PGA(SUM)=  33.15,PGV(SUM)=   0.96
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  36.74,AZ=101.15,PGA(V)=  12.04,PGA(NS)=  22.42,PGA(EW)=  17.65,PGV(V)=   0.24,PGV(NS)=   0.41,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=  18.21,PGV(SUM)=   0.53
