Origin Time:2021/07/14 06:59:24
Lon:121.63°E
Lat:23.93°N
Depth:7.1km
Mag:5.0
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   4.02,AZ= 51.40,PGA(V)= 108.36,PGA(NS)= 167.15,PGA(EW)= 286.19,PGV(V)=   4.83,PGV(NS)=   7.54,PGV(EW)=  12.31,Int= 4級,PGA(SUM)= 333.83,PGV(SUM)=  14.78
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   5.75,AZ=159.98,PGA(V)=  13.09,PGA(NS)=  37.14,PGA(EW)=  38.95,PGV(V)=   0.53,PGV(NS)=   1.63,PGV(EW)=   1.94,Int= 4級,PGA(SUM)=  40.83,PGV(SUM)=   2.07
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  14.90,AZ=106.93,PGA(V)=  17.87,PGA(NS)=  25.04,PGA(EW)=  34.33,PGV(V)=   0.58,PGV(NS)=   0.94,PGV(EW)=   0.97,Int= 4級,PGA(SUM)=  28.54,PGV(SUM)=   1.07
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  16.95,AZ= 24.92,PGA(V)=  16.04,PGA(NS)=  42.15,PGA(EW)=  29.93,PGV(V)=   1.36,PGV(NS)=   3.56,PGV(EW)=   1.47,Int= 4級,PGA(SUM)=  51.77,PGV(SUM)=   3.81
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  17.40,AZ=170.56,PGA(V)=   1.96,PGA(NS)=   2.56,PGA(EW)=   2.08,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.15
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  23.23,AZ= 57.01,PGA(V)=   7.46,PGA(NS)=  14.58,PGA(EW)=  17.90,PGV(V)=   0.33,PGV(NS)=   0.29,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=  11.60,PGV(SUM)=   0.45
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  25.70,AZ=177.77,PGA(V)=   1.37,PGA(NS)=   4.03,PGA(EW)=   5.32,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   4.08,PGV(SUM)=   0.12
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  25.72,AZ= 19.76,PGA(V)=  13.55,PGA(NS)=  32.99,PGA(EW)=  18.10,PGV(V)=   0.63,PGV(NS)=   1.22,PGV(EW)=   1.25,Int= 4級,PGA(SUM)=  33.69,PGV(SUM)=   1.46
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  34.65,AZ=153.69,PGA(V)=   8.75,PGA(NS)=   9.34,PGA(EW)=   6.29,PGV(V)=   0.21,PGV(NS)=   0.32,PGV(EW)=   0.27,Int= 3級,PGA(SUM)=   9.47,PGV(SUM)=   0.34
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  35.38,AZ= 36.28,PGA(V)=   4.61,PGA(NS)=   5.19,PGA(EW)=   6.64,PGV(V)=   0.17,PGV(NS)=   0.23,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   7.58,PGV(SUM)=   0.33
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  43.84,AZ=123.26,PGA(V)=   3.09,PGA(NS)=   7.49,PGA(EW)=   8.76,PGV(V)=   0.15,PGV(NS)=   0.39,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=   9.69,PGV(SUM)=   0.46
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  43.84,AZ=195.63,PGA(V)=   1.40,PGA(NS)=   2.09,PGA(EW)=   2.28,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.24,PGV(SUM)=   0.09
