Origin Time:2021/09/01 06:27:56
Lon:120.71¢XE
Lat:23.27¢XN
Depth:13.7km
Mag:4.9
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   9.69,AZ= 75.53,PGA(V)=  17.34,PGA(NS)=  97.61,PGA(EW)=  83.54,PGV(V)=   0.56,PGV(NS)=   2.15,PGV(EW)=   1.67,Int= 4¯Å,PGA(SUM)=  87.15,PGV(SUM)=   2.25
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  11.77,AZ=324.29,PGA(V)=  50.95,PGA(NS)=  93.57,PGA(EW)=  47.90,PGV(V)=   0.73,PGV(NS)=   2.56,PGV(EW)=   1.23,Int= 4¯Å,PGA(SUM)=  65.37,PGV(SUM)=   2.63
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  20.98,AZ= 64.80,PGA(V)=  11.79,PGA(NS)=  26.64,PGA(EW)=  22.61,PGV(V)=   0.42,PGV(NS)=   0.64,PGV(EW)=   0.52,Int= 4¯Å,PGA(SUM)=  32.92,PGV(SUM)=   0.82
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist=  21.90,AZ= 89.75,PGA(V)=   8.33,PGA(NS)=  11.85,PGA(EW)=  13.98,PGV(V)=   0.32,PGV(NS)=   0.33,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  14.34,PGV(SUM)=   0.47
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  22.16,AZ=149.72,PGA(V)=   9.82,PGA(NS)=  30.18,PGA(EW)=  21.25,PGV(V)=   0.31,PGV(NS)=   1.18,PGV(EW)=   0.72,Int= 4¯Å,PGA(SUM)=  28.57,PGV(SUM)=   1.33
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  24.08,AZ= 31.58,PGA(V)=   2.20,PGA(NS)=   5.77,PGA(EW)=   3.57,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.54,PGV(SUM)=   0.18
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  28.73,AZ=200.71,PGA(V)=   2.83,PGA(NS)=   7.69,PGA(EW)=   8.57,PGV(V)=   0.15,PGV(NS)=   0.40,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=   8.59,PGV(SUM)=   0.41
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  30.94,AZ= 12.95,PGA(V)=   1.51,PGA(NS)=   2.89,PGA(EW)=   2.75,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.63,PGV(SUM)=   0.11
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  32.99,AZ=285.29,PGA(V)=   4.42,PGA(NS)=   4.26,PGA(EW)=   2.49,PGV(V)=   0.13,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   4.53,PGV(SUM)=   0.14
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  35.07,AZ=225.59,PGA(V)=   1.14,PGA(NS)=   2.50,PGA(EW)=   3.93,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   3.91,PGV(SUM)=   0.28
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  36.92,AZ=174.22,PGA(V)=   1.70,PGA(NS)=   4.03,PGA(EW)=   5.40,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   5.21,PGV(SUM)=   0.22
