Origin Time:2021/09/06 22:00:26
Lon:122.08¢XE
Lat:23.85¢XN
Depth:41.1km
Mag:5.9
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  48.69,AZ= 97.02,PGA(V)=  35.27,PGA(NS)=  69.20,PGA(EW)=  38.63,PGV(V)=   1.64,PGV(NS)=   2.95,PGV(EW)=   2.30,Int= 4¯Å,PGA(SUM)=  77.30,PGV(SUM)=   3.92
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  49.13,AZ=106.38,PGA(V)=   5.95,PGA(NS)=  16.85,PGA(EW)=  19.12,PGV(V)=   0.45,PGV(NS)=   0.70,PGV(EW)=   1.69,Int= 3¯Å,PGA(SUM)=  20.96,PGV(SUM)=   1.73
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  52.80,AZ= 82.47,PGA(V)=  10.45,PGA(NS)=  23.22,PGA(EW)=  26.59,PGV(V)=   0.42,PGV(NS)=   0.95,PGV(EW)=   1.37,Int= 4¯Å,PGA(SUM)=  32.07,PGV(SUM)=   1.67
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  54.41,AZ=118.09,PGA(V)=   4.56,PGA(NS)=   6.37,PGA(EW)=   5.91,PGV(V)=   0.16,PGV(NS)=   0.28,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.81,PGV(SUM)=   0.36
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  56.16,AZ= 73.72,PGA(V)=  19.40,PGA(NS)=  26.76,PGA(EW)=  27.84,PGV(V)=   0.45,PGV(NS)=   1.11,PGV(EW)=   1.26,Int= 4¯Å,PGA(SUM)=  26.81,PGV(SUM)=   1.58
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  57.39,AZ=126.50,PGA(V)=   6.39,PGA(NS)=  18.25,PGA(EW)=  14.85,PGV(V)=   0.14,PGV(NS)=   0.66,PGV(EW)=   0.46,Int= 3¯Å,PGA(SUM)=  17.13,PGV(SUM)=   0.68
Stacode=EHP ,Staname=©M¥­  ,Stalon=121.75,Stalat=24.31,Dist=  60.63,AZ=146.69,PGA(V)=   7.23,PGA(NS)=  15.54,PGA(EW)=   9.70,PGV(V)=   0.41,PGV(NS)=   0.97,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  15.21,PGV(SUM)=   1.09
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  60.79,AZ=102.15,PGA(V)=   8.68,PGA(NS)=  18.70,PGA(EW)=  27.29,PGV(V)=   0.37,PGV(NS)=   1.00,PGV(EW)=   1.20,Int= 3¯Å,PGA(SUM)=  24.63,PGV(SUM)=   1.22
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  63.19,AZ=147.15,PGA(V)=   4.72,PGA(NS)=   6.92,PGA(EW)=   6.35,PGV(V)=   0.19,PGV(NS)=   0.44,PGV(EW)=   0.44,Int= 3¯Å,PGA(SUM)=   8.74,PGV(SUM)=   0.60
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  64.82,AZ= 86.29,PGA(V)=   7.40,PGA(NS)=  18.13,PGA(EW)=  14.60,PGV(V)=   0.26,PGV(NS)=   0.67,PGV(EW)=   0.74,Int= 3¯Å,PGA(SUM)=  16.45,PGV(SUM)=   0.80
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  69.14,AZ= 73.13,PGA(V)=   6.72,PGA(NS)=  10.43,PGA(EW)=  11.26,PGV(V)=   0.27,PGV(NS)=   0.39,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  11.40,PGV(SUM)=   0.53
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  71.99,AZ=152.46,PGA(V)=   5.20,PGA(NS)=  11.43,PGA(EW)=  16.62,PGV(V)=   0.18,PGV(NS)=   0.35,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  12.12,PGV(SUM)=   0.47
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  72.26,AZ=123.16,PGA(V)=  11.88,PGA(NS)=  24.13,PGA(EW)=  21.12,PGV(V)=   0.49,PGV(NS)=   0.83,PGV(EW)=   0.84,Int= 3¯Å,PGA(SUM)=  24.34,PGV(SUM)=   1.01
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  85.25,AZ= 63.27,PGA(V)=   3.50,PGA(NS)=   8.55,PGA(EW)=   7.30,PGV(V)=   0.14,PGV(NS)=   0.33,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   7.39,PGV(SUM)=   0.36
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  86.82,AZ=165.30,PGA(V)=   1.16,PGA(NS)=   3.27,PGA(EW)=   2.70,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.18,PGV(SUM)=   0.14
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  86.99,AZ= 47.20,PGA(V)=   9.64,PGA(NS)=  16.92,PGA(EW)=  27.26,PGV(V)=   0.37,PGV(NS)=   0.50,PGV(EW)=   0.74,Int= 3¯Å,PGA(SUM)=  18.24,PGV(SUM)=   0.76
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  88.03,AZ=111.66,PGA(V)=   6.19,PGA(NS)=  10.93,PGA(EW)=  14.82,PGV(V)=   0.31,PGV(NS)=   0.49,PGV(EW)=   0.62,Int= 3¯Å,PGA(SUM)=  16.21,PGV(SUM)=   0.71
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  92.42,AZ= 97.19,PGA(V)=   7.59,PGA(NS)=   7.82,PGA(EW)=  10.10,PGV(V)=   0.15,PGV(NS)=   0.21,PGV(EW)=   0.25,Int= 3¯Å,PGA(SUM)=   9.25,PGV(SUM)=   0.25
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  94.20,AZ=157.19,PGA(V)=   2.34,PGA(NS)=   2.81,PGA(EW)=   3.60,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.21,PGV(SUM)=   0.33
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  95.26,AZ= 54.23,PGA(V)=   2.98,PGA(NS)=   8.18,PGA(EW)=   6.34,PGV(V)=   0.17,PGV(NS)=   0.61,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=   9.19,PGV(SUM)=   0.62
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  95.45,AZ=117.47,PGA(V)=   3.56,PGA(NS)=   9.51,PGA(EW)=  10.50,PGV(V)=   0.22,PGV(NS)=   0.62,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=  10.72,PGV(SUM)=   0.63
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  96.04,AZ=132.64,PGA(V)=   2.51,PGA(NS)=  11.79,PGA(EW)=   7.83,PGV(V)=   0.17,PGV(NS)=   0.59,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  12.74,PGV(SUM)=   0.61
