Origin Time:2022/03/23 01:06:55
Lon:121.36¢XE
Lat:22.03¢XN
Depth:26.0km
Mag:5.5
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist=  20.23,AZ= 86.14,PGA(V)=  14.89,PGA(NS)=  38.07,PGA(EW)=  46.57,PGV(V)=   0.40,PGV(NS)=   1.60,PGV(EW)=   1.17,Int= 4¯Å,PGA(SUM)=  43.83,PGV(SUM)=   1.72
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist=  54.16,AZ=255.30,PGA(V)=   0.82,PGA(NS)=   2.15,PGA(EW)=   2.10,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.01,PGV(SUM)=   0.19
Stacode=TWK1,Staname=¾Á¤B  ,Stalon=120.81,Stalat=21.94,Dist=  57.44,AZ=260.59,PGA(V)=   0.79,PGA(NS)=   1.54,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.08
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  60.08,AZ=305.45,PGA(V)=   2.33,PGA(NS)=   4.47,PGA(EW)=   3.37,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.27,PGV(SUM)=   0.21
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist=  61.86,AZ=290.01,PGA(V)=   2.70,PGA(NS)=   2.75,PGA(EW)=   4.36,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.10
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist=  63.68,AZ=267.89,PGA(V)=   1.15,PGA(NS)=   5.76,PGA(EW)=   2.35,PGV(V)=   0.07,PGV(NS)=   0.39,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   5.86,PGV(SUM)=   0.41
Stacode=SNW ,Staname=«nÆW  ,Stalon=120.75,Stalat=21.96,Dist=  63.69,AZ=263.49,PGA(V)=   1.95,PGA(NS)=   5.17,PGA(EW)=   4.66,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.92,PGV(SUM)=   0.26
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  65.46,AZ=307.15,PGA(V)=   1.63,PGA(NS)=   3.06,PGA(EW)=   2.14,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.44,PGV(SUM)=   0.17
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  72.62,AZ=  8.71,PGA(V)=   2.13,PGA(NS)=   3.78,PGA(EW)=   3.67,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.54,PGV(SUM)=   0.24
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  75.50,AZ=326.87,PGA(V)=   1.44,PGA(NS)=   2.18,PGA(EW)=   2.30,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.37,PGV(SUM)=   0.11
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  83.33,AZ=345.14,PGA(V)=   1.00,PGA(NS)=   1.47,PGA(EW)=   1.67,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.12
