Origin Time:2022/03/23 05:41:08
Lon:121.42°E
Lat:23.33°N
Depth:19.3km
Mag:5.0
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=   3.88,AZ=118.46,PGA(V)=  15.49,PGA(NS)=  47.46,PGA(EW)=  30.96,PGV(V)=   0.41,PGV(NS)=   0.81,PGV(EW)=   1.00,Int= 4級,PGA(SUM)=  30.18,PGV(SUM)=   1.26
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  10.22,AZ=278.85,PGA(V)=  26.80,PGA(NS)=  21.04,PGA(EW)=  23.16,PGV(V)=   0.40,PGV(NS)=   0.99,PGV(EW)=   1.62,Int= 4級,PGA(SUM)=  27.29,PGV(SUM)=   1.79
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  19.55,AZ=220.43,PGA(V)=   5.08,PGA(NS)=  16.16,PGA(EW)=  12.41,PGV(V)=   0.33,PGV(NS)=   0.85,PGV(EW)=   0.89,Int= 3級,PGA(SUM)=  17.96,PGV(SUM)=   0.92
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  20.94,AZ=334.59,PGA(V)=   9.82,PGA(NS)=  15.46,PGA(EW)=  17.19,PGV(V)=   0.30,PGV(NS)=   0.81,PGV(EW)=   0.62,Int= 3級,PGA(SUM)=  18.65,PGV(SUM)=   1.03
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  26.45,AZ=189.99,PGA(V)=   4.40,PGA(NS)=  12.22,PGA(EW)=  10.19,PGV(V)=   0.13,PGV(NS)=   0.47,PGV(EW)=   0.36,Int= 3級,PGA(SUM)=  11.58,PGV(SUM)=   0.52
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  29.76,AZ=226.72,PGA(V)=   3.96,PGA(NS)=   6.80,PGA(EW)=   4.95,PGV(V)=   0.14,PGV(NS)=   0.33,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   6.47,PGV(SUM)=   0.35
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  33.26,AZ=217.68,PGA(V)=   3.92,PGA(NS)=   5.97,PGA(EW)=   6.21,PGV(V)=   0.28,PGV(NS)=   0.42,PGV(EW)=   0.53,Int= 2級,PGA(SUM)=   7.23,PGV(SUM)=   0.60
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  37.20,AZ=  1.50,PGA(V)=   2.24,PGA(NS)=   3.21,PGA(EW)=   3.34,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.16,PGV(SUM)=   0.17
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  41.59,AZ=196.29,PGA(V)=   4.69,PGA(NS)=   8.74,PGA(EW)=   7.16,PGV(V)=   0.16,PGV(NS)=   0.31,PGV(EW)=   0.25,Int= 3級,PGA(SUM)=   8.13,PGV(SUM)=   0.32
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  43.32,AZ=248.10,PGA(V)=   4.70,PGA(NS)=   5.41,PGA(EW)=   5.63,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   6.38,PGV(SUM)=   0.18
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  43.57,AZ= 17.69,PGA(V)=   1.64,PGA(NS)=   3.07,PGA(EW)=   4.25,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.41,PGV(SUM)=   0.17
