Origin Time:2022/04/07 11:41:00
Lon:121.34¢XE
Lat:23.09¢XN
Depth:19.6km
Mag:4.9
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=   3.17,AZ= 76.95,PGA(V)=   9.22,PGA(NS)=  20.79,PGA(EW)=  27.34,PGV(V)=   0.31,PGV(NS)=   0.46,PGV(EW)=   0.88,Int= 3¯Å,PGA(SUM)=  22.91,PGV(SUM)=   0.90
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  12.67,AZ=271.99,PGA(V)=  13.61,PGA(NS)=  27.01,PGA(EW)=  22.86,PGV(V)=   0.61,PGV(NS)=   1.26,PGV(EW)=   1.28,Int= 4¯Å,PGA(SUM)=  29.17,PGV(SUM)=   1.43
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  12.89,AZ=337.13,PGA(V)=   8.15,PGA(NS)=  12.65,PGA(EW)=  13.73,PGV(V)=   0.33,PGV(NS)=   0.46,PGV(EW)=   0.72,Int= 3¯Å,PGA(SUM)=  14.68,PGV(SUM)=   0.80
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  13.75,AZ=196.87,PGA(V)=   8.19,PGA(NS)=  16.06,PGA(EW)=  17.61,PGV(V)=   0.21,PGV(NS)=   0.72,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  15.70,PGV(SUM)=   0.77
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  15.38,AZ=294.44,PGA(V)=  10.20,PGA(NS)=  10.90,PGA(EW)=  14.59,PGV(V)=   0.33,PGV(NS)=   0.51,PGV(EW)=   0.61,Int= 3¯Å,PGA(SUM)=  14.49,PGV(SUM)=   0.68
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  27.27,AZ= 24.00,PGA(V)=   2.32,PGA(NS)=   4.95,PGA(EW)=   4.61,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.94,PGV(SUM)=   0.26
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  28.44,AZ=355.10,PGA(V)=   3.27,PGA(NS)=   4.01,PGA(EW)=   4.87,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.48,PGV(SUM)=   0.35
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  29.93,AZ=226.82,PGA(V)=   3.49,PGA(NS)=   4.00,PGA(EW)=   5.45,PGV(V)=   0.20,PGV(NS)=   0.26,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.33,PGV(SUM)=   0.30
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  34.23,AZ=288.05,PGA(V)=   3.62,PGA(NS)=   5.29,PGA(EW)=   4.88,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.62,PGV(SUM)=   0.18
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  40.56,AZ=221.66,PGA(V)=   1.86,PGA(NS)=   2.79,PGA(EW)=   4.19,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.98,PGV(SUM)=   0.13
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  42.19,AZ=207.18,PGA(V)=   0.95,PGA(NS)=   2.10,PGA(EW)=   2.03,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.13
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  45.70,AZ=358.34,PGA(V)=   1.06,PGA(NS)=   1.89,PGA(EW)=   2.02,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.08
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  48.08,AZ=164.34,PGA(V)=   2.51,PGA(NS)=   4.65,PGA(EW)=   3.93,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.55,PGV(SUM)=   0.27
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  58.34,AZ=279.62,PGA(V)=   2.50,PGA(NS)=   2.37,PGA(EW)=   2.88,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.62,PGV(SUM)=   0.08
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  58.85,AZ=318.17,PGA(V)=   0.98,PGA(NS)=   1.56,PGA(EW)=   1.88,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.09
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  71.17,AZ=310.46,PGA(V)=   0.60,PGA(NS)=   0.90,PGA(EW)=   0.92,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.07
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  71.40,AZ= 17.03,PGA(V)=   0.58,PGA(NS)=   0.82,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  75.68,AZ=282.89,PGA(V)=   0.43,PGA(NS)=   0.90,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.07
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  80.30,AZ= 16.24,PGA(V)=   0.45,PGA(NS)=   0.90,PGA(EW)=   0.70,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.08
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  83.61,AZ=323.23,PGA(V)=   0.38,PGA(NS)=   1.83,PGA(EW)=   0.84,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.04
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  84.03,AZ=277.09,PGA(V)=   0.55,PGA(NS)=   0.83,PGA(EW)=   0.74,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.05
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  84.74,AZ=296.98,PGA(V)=   0.88,PGA(NS)=   1.84,PGA(EW)=   2.27,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.37,PGV(SUM)=   0.09
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  88.13,AZ=309.48,PGA(V)=   1.19,PGA(NS)=   1.65,PGA(EW)=   1.72,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.11
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist=  88.40,AZ=282.55,PGA(V)=   1.13,PGA(NS)=   1.16,PGA(EW)=   0.82,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.08
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  89.97,AZ=255.33,PGA(V)=   1.07,PGA(NS)=   1.20,PGA(EW)=   1.24,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.08
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  93.78,AZ= 16.39,PGA(V)=   0.53,PGA(NS)=   1.17,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.07
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 101.33,AZ=298.78,PGA(V)=   1.74,PGA(NS)=   1.24,PGA(EW)=   1.25,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.57,PGV(SUM)=   0.10
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 101.70,AZ= 15.77,PGA(V)=   0.24,PGA(NS)=   0.73,PGA(EW)=   1.00,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.10
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 102.24,AZ=265.65,PGA(V)=   0.69,PGA(NS)=   1.31,PGA(EW)=   1.24,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.10
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 102.71,AZ=309.75,PGA(V)=   0.68,PGA(NS)=   1.32,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.08
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 103.35,AZ=295.72,PGA(V)=   0.89,PGA(NS)=   1.78,PGA(EW)=   1.07,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.79,PGV(SUM)=   0.11
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 107.35,AZ=310.03,PGA(V)=   0.65,PGA(NS)=   2.27,PGA(EW)=   1.65,PGV(V)=   0.03,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.20
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 108.15,AZ=272.62,PGA(V)=   0.56,PGA(NS)=   0.97,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.11
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 109.44,AZ=322.63,PGA(V)=   0.33,PGA(NS)=   0.90,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 109.92,AZ=250.09,PGA(V)=   0.93,PGA(NS)=   1.81,PGA(EW)=   1.97,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.19
