Origin Time:2022/04/12 12:14:38
Lon:120.64¢XE
Lat:22.90¢XN
Depth:17.2km
Mag:4.6
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=   9.92,AZ=  5.22,PGA(V)=   7.76,PGA(NS)=  32.91,PGA(EW)=  19.06,PGV(V)=   0.19,PGV(NS)=   1.28,PGV(EW)=   0.54,Int= 4¯Å,PGA(SUM)=  32.16,PGV(SUM)=   1.33
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  14.88,AZ=262.06,PGA(V)=   6.23,PGA(NS)=   9.50,PGA(EW)=   6.83,PGV(V)=   0.22,PGV(NS)=   0.47,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=   9.67,PGV(SUM)=   0.52
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  17.71,AZ=179.10,PGA(V)=   7.01,PGA(NS)=   8.09,PGA(EW)=  10.73,PGV(V)=   0.19,PGV(NS)=   0.19,PGV(EW)=   0.30,Int= 3¯Å,PGA(SUM)=  10.10,PGV(SUM)=   0.31
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  20.09,AZ=346.22,PGA(V)=   1.25,PGA(NS)=   3.95,PGA(EW)=   3.05,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.73,PGV(SUM)=   0.22
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  22.02,AZ=178.05,PGA(V)=   2.89,PGA(NS)=   9.13,PGA(EW)=   6.19,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   7.29,PGV(SUM)=   0.18
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  24.55,AZ=215.52,PGA(V)=   0.94,PGA(NS)=   1.95,PGA(EW)=   2.46,PGV(V)=   0.05,PGV(NS)=   0.20,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   3.04,PGV(SUM)=   0.35
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  29.37,AZ=211.56,PGA(V)=   1.36,PGA(NS)=   1.89,PGA(EW)=   1.85,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.13
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  32.40,AZ=293.60,PGA(V)=   1.01,PGA(NS)=   2.47,PGA(EW)=   2.17,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.16
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  33.04,AZ=340.25,PGA(V)=   0.80,PGA(NS)=   1.56,PGA(EW)=   1.29,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.08
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  33.85,AZ= 25.77,PGA(V)=   1.79,PGA(NS)=   3.16,PGA(EW)=   4.44,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.34,PGV(SUM)=   0.16
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  35.24,AZ=241.70,PGA(V)=   3.71,PGA(NS)=   1.66,PGA(EW)=   1.88,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.12
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  37.64,AZ=357.63,PGA(V)=   0.71,PGA(NS)=   2.03,PGA(EW)=   1.72,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.08
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  43.71,AZ=289.81,PGA(V)=   0.44,PGA(NS)=   0.97,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.08
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  44.07,AZ=305.63,PGA(V)=   0.83,PGA(NS)=   0.98,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.08
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist=  46.28,AZ=282.58,PGA(V)=   0.80,PGA(NS)=   0.89,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.07
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  46.39,AZ=101.91,PGA(V)=   1.73,PGA(NS)=   1.35,PGA(EW)=   1.61,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.79,PGV(SUM)=   0.14
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  47.13,AZ=188.70,PGA(V)=   0.47,PGA(NS)=   0.76,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.05
