Origin Time:2022/04/16 03:47:47
Lon:120.74°E
Lat:23.58°N
Depth:13.4km
Mag:4.0
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=   6.28,AZ=287.93,PGA(V)=   2.42,PGA(NS)=   7.77,PGA(EW)=  11.47,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.26,Int= 3級,PGA(SUM)=   9.01,PGV(SUM)=   0.26
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  11.18,AZ=135.14,PGA(V)=   3.52,PGA(NS)=   2.90,PGA(EW)=   3.72,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.84,PGV(SUM)=   0.12
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  17.56,AZ= 42.84,PGA(V)=   2.52,PGA(NS)=   2.07,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.05
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  20.51,AZ=304.38,PGA(V)=   2.21,PGA(NS)=   7.81,PGA(EW)=   5.84,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   6.70,PGV(SUM)=   0.17
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  20.62,AZ=220.62,PGA(V)=   1.98,PGA(NS)=   3.24,PGA(EW)=   1.63,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.69,PGV(SUM)=   0.09
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  24.96,AZ=114.24,PGA(V)=   0.57,PGA(NS)=   0.93,PGA(EW)=   1.13,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  25.09,AZ=306.56,PGA(V)=   8.89,PGA(NS)=   2.36,PGA(EW)=   4.62,PGV(V)=   0.17,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.21,PGV(SUM)=   0.21
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  26.82,AZ=358.20,PGA(V)=   1.01,PGA(NS)=   1.83,PGA(EW)=   2.37,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.48,PGV(SUM)=   0.08
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  27.24,AZ=258.76,PGA(V)=   2.61,PGA(NS)=   4.04,PGA(EW)=   2.94,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.48,PGV(SUM)=   0.13
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  32.35,AZ=253.39,PGA(V)=   0.94,PGA(NS)=   3.00,PGA(EW)=   3.31,PGV(V)=   0.02,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   4.31,PGV(SUM)=   0.21
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  33.18,AZ=352.29,PGA(V)=   1.20,PGA(NS)=   3.01,PGA(EW)=   3.23,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.06
