Origin Time:2022/04/23 15:31:36
Lon:121.61°E
Lat:23.97°N
Depth:39.3km
Mag:4.6
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   1.08,AZ= 35.56,PGA(V)=   1.94,PGA(NS)=   4.20,PGA(EW)=   5.42,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   5.65,PGV(SUM)=   0.19
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.05,AZ=184.42,PGA(V)=   1.98,PGA(NS)=   4.81,PGA(EW)=   5.42,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.95,PGV(SUM)=   0.18
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  11.66,AZ=269.09,PGA(V)=   6.64,PGA(NS)=  10.19,PGA(EW)=   9.16,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.87,PGV(SUM)=   0.14
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  12.64,AZ=358.83,PGA(V)=   2.29,PGA(NS)=   3.19,PGA(EW)=   3.14,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.86,PGV(SUM)=   0.10
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  20.41,AZ=192.87,PGA(V)=   2.82,PGA(NS)=   6.45,PGA(EW)=   5.88,PGV(V)=   0.09,PGV(NS)=   0.24,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   6.66,PGV(SUM)=   0.26
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  21.22,AZ=  4.31,PGA(V)=   2.74,PGA(NS)=  11.94,PGA(EW)=   9.18,PGV(V)=   0.06,PGV(NS)=   0.29,PGV(EW)=   0.17,Int= 3級,PGA(SUM)=  10.52,PGV(SUM)=   0.29
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  24.09,AZ=224.52,PGA(V)=   3.87,PGA(NS)=   9.08,PGA(EW)=   9.93,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.13
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  29.36,AZ=191.98,PGA(V)=   3.31,PGA(NS)=   4.68,PGA(EW)=   3.48,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.20,PGV(SUM)=   0.18
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  29.45,AZ=334.32,PGA(V)=  17.00,PGA(NS)=  19.92,PGA(EW)=  19.77,PGV(V)=   0.51,PGV(NS)=   0.57,PGV(EW)=   0.58,Int= 3級,PGA(SUM)=  22.92,PGV(SUM)=   0.71
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  37.79,AZ=209.02,PGA(V)=   3.94,PGA(NS)=   4.86,PGA(EW)=   4.12,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.35,PGV(SUM)=   0.12
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  39.26,AZ=299.81,PGA(V)=   3.28,PGA(NS)=   6.52,PGA(EW)=   6.63,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   7.76,PGV(SUM)=   0.33
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  40.35,AZ= 20.91,PGA(V)=   2.95,PGA(NS)=   2.88,PGA(EW)=   3.44,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.91,PGV(SUM)=   0.11
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  42.29,AZ= 18.49,PGA(V)=   1.92,PGA(NS)=   2.32,PGA(EW)=   2.15,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   2.64,PGV(SUM)=   0.09
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  43.93,AZ=268.17,PGA(V)=   6.70,PGA(NS)=   4.97,PGA(EW)=   6.43,PGV(V)=   0.14,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   6.30,PGV(SUM)=   0.16
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  48.27,AZ=310.05,PGA(V)=   1.87,PGA(NS)=   6.76,PGA(EW)=   4.33,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   7.27,PGV(SUM)=   0.22
