Origin Time:2022/04/26 05:30:35
Lon:121.52¢XE
Lat:23.29¢XN
Depth:34.6km
Mag:4.7
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=   7.18,AZ=293.30,PGA(V)=  35.32,PGA(NS)= 113.66,PGA(EW)=  95.26,PGV(V)=   0.62,PGV(NS)=   2.53,PGV(EW)=   1.68,Int= 4¯Å,PGA(SUM)=  94.50,PGV(SUM)=   2.55
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  21.05,AZ=287.30,PGA(V)=   4.42,PGA(NS)=   4.47,PGA(EW)=   4.49,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   5.60,PGV(SUM)=   0.34
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  24.88,AZ=245.80,PGA(V)=   4.51,PGA(NS)=   9.58,PGA(EW)=  10.20,PGV(V)=   0.13,PGV(NS)=   0.32,PGV(EW)=   0.28,Int= 3¯Å,PGA(SUM)=  10.18,PGV(SUM)=   0.36
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  25.87,AZ=214.36,PGA(V)=  16.42,PGA(NS)=  74.44,PGA(EW)=  64.05,PGV(V)=   0.35,PGV(NS)=   1.79,PGV(EW)=   1.39,Int= 4¯Å,PGA(SUM)=  60.35,PGV(SUM)=   1.91
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  30.29,AZ=321.19,PGA(V)=   1.32,PGA(NS)=   3.89,PGA(EW)=   3.70,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   2.90,PGV(SUM)=   0.13
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  35.36,AZ=243.62,PGA(V)=   3.74,PGA(NS)=   8.30,PGA(EW)=   4.86,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   7.09,PGV(SUM)=   0.18
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  37.27,AZ=234.51,PGA(V)=   3.24,PGA(NS)=   4.01,PGA(EW)=   4.75,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   4.66,PGV(SUM)=   0.22
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  41.37,AZ=211.61,PGA(V)=  10.53,PGA(NS)=  28.53,PGA(EW)=  28.39,PGV(V)=   0.31,PGV(NS)=   0.65,PGV(EW)=   0.74,Int= 4¯Å,PGA(SUM)=  25.04,PGV(SUM)=   0.78
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  42.84,AZ=347.85,PGA(V)=   1.98,PGA(NS)=   2.04,PGA(EW)=   2.94,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.40,PGV(SUM)=   0.10
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  46.31,AZ=  4.03,PGA(V)=   1.93,PGA(NS)=   3.11,PGA(EW)=   3.17,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.95,PGV(SUM)=   0.15
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  51.50,AZ=257.13,PGA(V)=   4.08,PGA(NS)=   3.69,PGA(EW)=   5.57,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.55,PGV(SUM)=   0.10
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  55.23,AZ=  4.99,PGA(V)=   0.80,PGA(NS)=   1.96,PGA(EW)=   1.58,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.83,PGV(SUM)=   0.10
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  58.07,AZ=222.88,PGA(V)=   1.15,PGA(NS)=   1.26,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.06
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  58.24,AZ=352.53,PGA(V)=   0.83,PGA(NS)=   2.32,PGA(EW)=   2.45,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.08
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  60.91,AZ=290.95,PGA(V)=   1.51,PGA(NS)=   2.36,PGA(EW)=   2.20,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.46,PGV(SUM)=   0.10
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  68.46,AZ=  7.39,PGA(V)=   1.22,PGA(NS)=   2.31,PGA(EW)=   1.99,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.36,PGV(SUM)=   0.10
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  74.77,AZ=358.21,PGA(V)=   1.03,PGA(NS)=   1.26,PGA(EW)=   1.59,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.06
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  75.71,AZ=288.56,PGA(V)=   0.89,PGA(NS)=   0.72,PGA(EW)=   0.78,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.05
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  76.17,AZ=260.69,PGA(V)=   0.95,PGA(NS)=   2.12,PGA(EW)=   1.64,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.14,PGV(SUM)=   0.06
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  76.46,AZ=  7.50,PGA(V)=   0.41,PGA(NS)=   1.31,PGA(EW)=   1.24,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.08
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  81.28,AZ=334.75,PGA(V)=   1.01,PGA(NS)=   1.09,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.03
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  90.12,AZ=316.54,PGA(V)=   0.29,PGA(NS)=   0.36,PGA(EW)=   0.86,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.05
