Origin Time:2022/06/25 10:27:19
Lon:121.40¢XE
Lat:23.64¢XN
Depth:9.4km
Mag:5.0
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=   3.84,AZ= 38.09,PGA(V)=  65.94,PGA(NS)=  48.84,PGA(EW)=  36.83,PGV(V)=   0.66,PGV(NS)=   1.31,PGV(EW)=   0.70,Int= 4¯Å,PGA(SUM)=  43.14,PGV(SUM)=   1.39
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  16.36,AZ= 63.33,PGA(V)=  10.49,PGA(NS)=   9.71,PGA(EW)=  12.68,PGV(V)=   0.14,PGV(NS)=   0.25,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  13.17,PGV(SUM)=   0.39
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  17.03,AZ=206.43,PGA(V)=  19.31,PGA(NS)=  49.77,PGA(EW)=  64.51,PGV(V)=   0.36,PGV(NS)=   0.87,PGV(EW)=   0.97,Int= 4¯Å,PGA(SUM)=  29.40,PGV(SUM)=   1.03
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  19.27,AZ= 11.39,PGA(V)=  17.13,PGA(NS)=  46.80,PGA(EW)=  63.12,PGV(V)=   0.25,PGV(NS)=   0.48,PGV(EW)=   0.73,Int= 3¯Å,PGA(SUM)=  20.23,PGV(SUM)=   0.73
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  22.86,AZ= 44.99,PGA(V)=   3.31,PGA(NS)=   3.87,PGA(EW)=   3.62,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.20,PGV(SUM)=   0.18
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  33.73,AZ=194.93,PGA(V)=   3.84,PGA(NS)=   6.55,PGA(EW)=   6.46,PGV(V)=   0.20,PGV(NS)=   0.29,PGV(EW)=   0.47,Int= 2¯Å,PGA(SUM)=   7.28,PGV(SUM)=   0.49
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  35.35,AZ= 34.77,PGA(V)=   1.56,PGA(NS)=   5.18,PGA(EW)=   3.31,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   5.56,PGV(SUM)=   0.21
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  36.33,AZ=172.40,PGA(V)=   2.30,PGA(NS)=   5.79,PGA(EW)=   5.60,PGV(V)=   0.18,PGV(NS)=   0.35,PGV(EW)=   0.44,Int= 2¯Å,PGA(SUM)=   6.15,PGV(SUM)=   0.45
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  37.00,AZ= 14.13,PGA(V)=   4.42,PGA(NS)=   5.31,PGA(EW)=   6.24,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.48,PGV(SUM)=   0.14
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  41.75,AZ=326.14,PGA(V)=   5.66,PGA(NS)=   8.56,PGA(EW)=   6.80,PGV(V)=   0.13,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   6.47,PGV(SUM)=   0.18
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  42.66,AZ= 30.00,PGA(V)=   1.07,PGA(NS)=   3.91,PGA(EW)=   2.90,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.80,PGV(SUM)=   0.19
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  48.53,AZ=249.40,PGA(V)=   7.15,PGA(NS)=  11.04,PGA(EW)=  17.37,PGV(V)=   0.32,PGV(NS)=   0.54,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=  16.85,PGV(SUM)=   0.59
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  50.33,AZ=192.94,PGA(V)=   1.54,PGA(NS)=   6.04,PGA(EW)=   5.16,PGV(V)=   0.11,PGV(NS)=   0.26,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   6.90,PGV(SUM)=   0.31
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  52.82,AZ= 22.76,PGA(V)=   0.76,PGA(NS)=   0.75,PGA(EW)=   0.60,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.03
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  56.52,AZ=276.14,PGA(V)=   1.08,PGA(NS)=   1.89,PGA(EW)=   2.21,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.11
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  57.18,AZ=346.43,PGA(V)=   1.27,PGA(NS)=   3.19,PGA(EW)=   3.88,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.88,PGV(SUM)=   0.16
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  58.20,AZ=200.36,PGA(V)=   2.01,PGA(NS)=   5.18,PGA(EW)=   3.26,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.31,PGV(SUM)=   0.13
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  60.30,AZ=183.03,PGA(V)=   1.02,PGA(NS)=   2.04,PGA(EW)=   2.18,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.39,PGV(SUM)=   0.14
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  61.41,AZ= 21.27,PGA(V)=   0.82,PGA(NS)=   3.36,PGA(EW)=   3.12,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.29,PGV(SUM)=   0.06
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.95,Stalat=24.01,Dist=  62.05,AZ=311.67,PGA(V)=   0.73,PGA(NS)=   0.77,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.03
