Origin Time:2022/06/25 10:32:24
Lon:121.39°E
Lat:23.62°N
Depth:9.6km
Mag:4.3
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=   6.85,AZ= 38.94,PGA(V)=  20.75,PGA(NS)=  11.08,PGA(EW)=  14.05,PGV(V)=   0.29,PGV(NS)=   0.20,PGV(EW)=   0.36,Int= 3級,PGA(SUM)=  11.20,PGV(SUM)=   0.38
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  14.12,AZ=203.55,PGA(V)=   3.76,PGA(NS)=  12.68,PGA(EW)=  16.03,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.89,PGV(SUM)=   0.24
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  19.16,AZ= 59.77,PGA(V)=   2.64,PGA(NS)=   3.05,PGA(EW)=   3.32,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.94,PGV(SUM)=   0.10
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  21.97,AZ= 15.16,PGA(V)=   7.02,PGA(NS)=  16.74,PGA(EW)=  26.03,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=   9.12,PGV(SUM)=   0.29
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  25.87,AZ= 44.41,PGA(V)=   0.93,PGA(NS)=   1.64,PGA(EW)=   1.64,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.08
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  34.38,AZ=168.68,PGA(V)=   0.40,PGA(NS)=   0.83,PGA(EW)=   0.59,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  38.35,AZ= 35.18,PGA(V)=   0.62,PGA(NS)=   1.01,PGA(EW)=   1.52,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.10
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  39.73,AZ= 16.02,PGA(V)=   1.36,PGA(NS)=   2.09,PGA(EW)=   2.24,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  42.68,AZ=330.02,PGA(V)=   1.52,PGA(NS)=   1.90,PGA(EW)=   2.25,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.06
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  45.63,AZ= 30.66,PGA(V)=   0.41,PGA(NS)=   1.00,PGA(EW)=   0.82,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.04
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  45.93,AZ=251.24,PGA(V)=   1.26,PGA(NS)=   1.92,PGA(EW)=   3.07,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.01,PGV(SUM)=   0.11
