Origin Time:2022/07/28 08:16:16
Lon:121.36°E
Lat:22.98°N
Depth:42.3km
Mag:5.4
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=   5.79,AZ=262.30,PGA(V)=  19.85,PGA(NS)=  31.91,PGA(EW)=  33.54,PGV(V)=   0.55,PGV(NS)=   0.88,PGV(EW)=   1.10,Int= 4級,PGA(SUM)=  38.08,PGV(SUM)=   1.28
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  13.17,AZ=  5.88,PGA(V)=   9.70,PGA(NS)=  28.34,PGA(EW)=  26.81,PGV(V)=   0.27,PGV(NS)=   0.73,PGV(EW)=   0.77,Int= 3級,PGA(SUM)=  21.52,PGV(SUM)=   0.80
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  19.29,AZ=311.66,PGA(V)=   5.84,PGA(NS)=  20.55,PGA(EW)=  10.41,PGV(V)=   0.20,PGV(NS)=   0.67,PGV(EW)=   0.52,Int= 3級,PGA(SUM)=  19.99,PGV(SUM)=   0.78
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  24.49,AZ=319.97,PGA(V)=   5.21,PGA(NS)=   7.34,PGA(EW)=   8.71,PGV(V)=   0.19,PGV(NS)=   0.28,PGV(EW)=   0.32,Int= 2級,PGA(SUM)=   7.56,PGV(SUM)=   0.35
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  24.93,AZ=251.05,PGA(V)=   9.08,PGA(NS)=  17.29,PGA(EW)=  13.65,PGV(V)=   0.22,PGV(NS)=   0.57,PGV(EW)=   0.49,Int= 3級,PGA(SUM)=  20.07,PGV(SUM)=   0.71
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  25.19,AZ=344.44,PGA(V)=   3.65,PGA(NS)=   8.32,PGA(EW)=  10.40,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.35,Int= 3級,PGA(SUM)=  11.08,PGV(SUM)=   0.42
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  32.78,AZ=219.90,PGA(V)=   4.21,PGA(NS)=  13.85,PGA(EW)=  10.21,PGV(V)=   0.17,PGV(NS)=   0.56,PGV(EW)=   0.40,Int= 3級,PGA(SUM)=  13.70,PGV(SUM)=   0.59
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  33.85,AZ=238.04,PGA(V)=  21.85,PGA(NS)=  35.28,PGA(EW)=  23.09,PGV(V)=   0.97,PGV(NS)=   1.55,PGV(EW)=   1.11,Int= 4級,PGA(SUM)=  42.60,PGV(SUM)=   1.94
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  35.72,AZ=161.67,PGA(V)=   6.90,PGA(NS)=   6.60,PGA(EW)=   5.15,PGV(V)=   0.17,PGV(NS)=   0.32,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   5.78,PGV(SUM)=   0.37
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  38.45,AZ= 14.08,PGA(V)=   5.91,PGA(NS)=  15.94,PGA(EW)=  11.03,PGV(V)=   0.20,PGV(NS)=   0.47,PGV(EW)=   0.72,Int= 3級,PGA(SUM)=  14.76,PGV(SUM)=   0.75
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  40.93,AZ=354.15,PGA(V)=   3.15,PGA(NS)=   5.11,PGA(EW)=   3.87,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   6.07,PGV(SUM)=   0.33
