Origin Time:2022/09/01 15:01:57
Lon:121.36¢XE
Lat:23.12¢XN
Depth:33.0km
Mag:4.6
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=   2.91,AZ=157.20,PGA(V)=   8.94,PGA(NS)=  23.09,PGA(EW)=  19.74,PGV(V)=   0.12,PGV(NS)=   0.53,PGV(EW)=   0.48,Int= 3¯Å,PGA(SUM)=  20.42,PGV(SUM)=   0.57
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  10.98,AZ=320.58,PGA(V)=   2.75,PGA(NS)=   5.05,PGA(EW)=   4.86,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.91,PGV(SUM)=   0.15
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  14.92,AZ=258.57,PGA(V)=   4.11,PGA(NS)=   8.59,PGA(EW)=  10.10,PGV(V)=   0.11,PGV(NS)=   0.22,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  10.52,PGV(SUM)=   0.41
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  16.24,AZ=280.53,PGA(V)=   6.76,PGA(NS)=   6.68,PGA(EW)=   3.59,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   5.94,PGV(SUM)=   0.17
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  17.59,AZ=199.78,PGA(V)=   3.98,PGA(NS)=  10.39,PGA(EW)=  10.96,PGV(V)=   0.10,PGV(NS)=   0.31,PGV(EW)=   0.25,Int= 3¯Å,PGA(SUM)=   8.91,PGV(SUM)=   0.34
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  23.37,AZ= 22.99,PGA(V)=   7.63,PGA(NS)=  10.76,PGA(EW)=  13.87,PGV(V)=   0.16,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 3¯Å,PGA(SUM)=  13.48,PGV(SUM)=   0.34
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  25.32,AZ=350.02,PGA(V)=   3.54,PGA(NS)=   3.87,PGA(EW)=   2.85,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.19,PGV(SUM)=   0.14
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  33.70,AZ=224.90,PGA(V)=   2.35,PGA(NS)=   3.01,PGA(EW)=   2.38,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.09
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  35.25,AZ=281.80,PGA(V)=   4.80,PGA(NS)=   5.60,PGA(EW)=   4.26,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.23,PGV(SUM)=   0.09
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  42.41,AZ=355.56,PGA(V)=   2.02,PGA(NS)=   3.43,PGA(EW)=   4.36,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.28,PGV(SUM)=   0.08
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  44.41,AZ=220.64,PGA(V)=   1.88,PGA(NS)=   1.84,PGA(EW)=   1.54,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.07
