Origin Time:2022/09/14 09:35:51
Lon:121.37°E
Lat:22.49°N
Depth:19.2km
Mag:5.3
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  22.42,AZ= 27.38,PGA(V)=  19.72,PGA(NS)=  30.38,PGA(EW)=  37.81,PGV(V)=   0.70,PGV(NS)=   1.09,PGV(EW)=   1.22,Int= 4級,PGA(SUM)=  39.59,PGV(SUM)=   1.37
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  36.14,AZ=322.49,PGA(V)=   6.20,PGA(NS)=   6.90,PGA(EW)=   6.41,PGV(V)=   0.27,PGV(NS)=   0.43,PGV(EW)=   0.37,Int= 2級,PGA(SUM)=   7.07,PGV(SUM)=   0.44
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  43.37,AZ=285.17,PGA(V)=   5.18,PGA(NS)=   6.64,PGA(EW)=   8.76,PGV(V)=   0.14,PGV(NS)=   0.22,PGV(EW)=   0.24,Int= 3級,PGA(SUM)=   9.05,PGV(SUM)=   0.32
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  46.60,AZ=320.39,PGA(V)=   3.90,PGA(NS)=   5.03,PGA(EW)=   3.59,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   5.34,PGV(SUM)=   0.21
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  51.90,AZ=331.75,PGA(V)=   4.68,PGA(NS)=   4.15,PGA(EW)=   4.50,PGV(V)=   0.14,PGV(NS)=   0.34,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.06,PGV(SUM)=   0.36
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist=  52.38,AZ=251.03,PGA(V)=   1.80,PGA(NS)=   3.99,PGA(EW)=   2.59,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   3.59,PGV(SUM)=   0.13
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  53.46,AZ=352.82,PGA(V)=   8.89,PGA(NS)=  34.98,PGA(EW)=  20.19,PGV(V)=   0.32,PGV(NS)=   1.00,PGV(EW)=   0.59,Int= 4級,PGA(SUM)=  34.48,PGV(SUM)=   1.00
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist=  54.14,AZ=158.91,PGA(V)=   2.28,PGA(NS)=   9.49,PGA(EW)=   6.93,PGV(V)=   0.07,PGV(NS)=   0.35,PGV(EW)=   0.24,Int= 3級,PGA(SUM)=   9.27,PGV(SUM)=   0.35
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist=  54.18,AZ=256.83,PGA(V)=   3.05,PGA(NS)=   7.38,PGA(EW)=   8.70,PGV(V)=   0.16,PGV(NS)=   0.40,PGV(EW)=   0.44,Int= 3級,PGA(SUM)=   8.85,PGV(SUM)=   0.45
Stacode=SLIU,Staname=獅子  ,Stalon=120.80,Stalat=22.22,Dist=  66.25,AZ=242.39,PGA(V)=   0.81,PGA(NS)=   1.81,PGA(EW)=   1.68,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.09
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  66.92,AZ=  0.35,PGA(V)=   3.01,PGA(NS)=   7.41,PGA(EW)=   8.14,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   7.36,PGV(SUM)=   0.30
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  68.39,AZ=347.01,PGA(V)=   4.85,PGA(NS)=   6.63,PGA(EW)=   7.52,PGV(V)=   0.25,PGV(NS)=   0.43,PGV(EW)=   0.37,Int= 3級,PGA(SUM)=   9.37,PGV(SUM)=   0.49
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  74.47,AZ=347.02,PGA(V)=   2.65,PGA(NS)=   3.79,PGA(EW)=   3.85,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.52,PGV(SUM)=   0.23
Stacode=SMS ,Staname=滿州  ,Stalon=120.84,Stalat=22.02,Dist=  75.83,AZ=226.30,PGA(V)=   1.16,PGA(NS)=   3.23,PGA(EW)=   3.73,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.54,PGV(SUM)=   0.16
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  78.06,AZ=287.49,PGA(V)=   0.83,PGA(NS)=   1.39,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.07
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  78.46,AZ=354.36,PGA(V)=   1.67,PGA(NS)=   3.57,PGA(EW)=   5.68,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.87,PGV(SUM)=   0.29
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  79.90,AZ=290.34,PGA(V)=   1.46,PGA(NS)=   2.14,PGA(EW)=   1.48,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.12
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist=  82.41,AZ=269.23,PGA(V)=   1.20,PGA(NS)=   2.48,PGA(EW)=   2.26,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.22,PGV(SUM)=   0.26
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist=  84.04,AZ=229.82,PGA(V)=   1.03,PGA(NS)=   2.64,PGA(EW)=   3.33,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   3.51,PGV(SUM)=   0.26
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist=  84.33,AZ=218.91,PGA(V)=   0.64,PGA(NS)=   0.98,PGA(EW)=   1.51,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.10
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  84.53,AZ=335.32,PGA(V)=   1.70,PGA(NS)=   1.47,PGA(EW)=   1.66,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.08
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist=  87.00,AZ=227.21,PGA(V)=   1.32,PGA(NS)=   2.53,PGA(EW)=   2.40,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.19
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  91.51,AZ=  5.29,PGA(V)=   1.62,PGA(NS)=   3.17,PGA(EW)=   3.02,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.23,PGV(SUM)=   0.14
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  92.59,AZ=306.72,PGA(V)=   0.74,PGA(NS)=   1.56,PGA(EW)=   1.18,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.09
