Origin Time:2022/09/17 22:35:14
Lon:121.18¢XE
Lat:23.10¢XN
Depth:9.9km
Mag:5.4
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=   4.21,AZ= 96.34,PGA(V)=  72.97,PGA(NS)= 168.60,PGA(EW)= 133.62,PGV(V)=   2.16,PGV(NS)=   5.93,PGV(EW)=   4.00,Int= 4¯Å,PGA(SUM)= 188.25,PGV(SUM)=   6.35
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=   6.16,AZ= 27.51,PGA(V)=  39.65,PGA(NS)=  68.90,PGA(EW)=  51.53,PGV(V)=   1.33,PGV(NS)=   2.39,PGV(EW)=   2.43,Int= 4¯Å,PGA(SUM)=  74.80,PGV(SUM)=   3.02
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  16.14,AZ= 47.15,PGA(V)=  18.00,PGA(NS)=  72.72,PGA(EW)=  96.96,PGV(V)=   0.68,PGV(NS)=   4.37,PGV(EW)=   4.35,Int= 4¯Å,PGA(SUM)= 107.59,PGV(SUM)=   4.61
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  19.06,AZ=137.54,PGA(V)=  13.83,PGA(NS)=  20.00,PGA(EW)=  28.90,PGV(V)=   0.61,PGV(NS)=   1.14,PGV(EW)=   1.24,Int= 4¯Å,PGA(SUM)=  27.74,PGV(SUM)=   1.62
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  19.94,AZ= 90.54,PGA(V)=   9.10,PGA(NS)=  31.00,PGA(EW)=  25.07,PGV(V)=   0.69,PGV(NS)=   1.63,PGV(EW)=   1.15,Int= 4¯Å,PGA(SUM)=  26.04,PGV(SUM)=   1.69
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  21.95,AZ=193.07,PGA(V)=  16.06,PGA(NS)=  39.35,PGA(EW)=  37.86,PGV(V)=   0.65,PGV(NS)=   1.48,PGV(EW)=   2.26,Int= 4¯Å,PGA(SUM)=  40.74,PGV(SUM)=   2.42
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  30.98,AZ= 27.71,PGA(V)=   3.77,PGA(NS)=   9.30,PGA(EW)=   9.54,PGV(V)=   0.17,PGV(NS)=   0.32,PGV(EW)=   0.46,Int= 3¯Å,PGA(SUM)=   8.86,PGV(SUM)=   0.48
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  32.80,AZ=197.92,PGA(V)=   6.96,PGA(NS)=   9.31,PGA(EW)=  12.21,PGV(V)=   0.24,PGV(NS)=   0.47,PGV(EW)=   0.51,Int= 3¯Å,PGA(SUM)=  12.88,PGV(SUM)=   0.64
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  36.83,AZ= 49.31,PGA(V)=   2.90,PGA(NS)=   4.75,PGA(EW)=   6.44,PGV(V)=   0.19,PGV(NS)=   0.36,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   6.77,PGV(SUM)=   0.41
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  38.51,AZ=183.58,PGA(V)=   2.70,PGA(NS)=   6.03,PGA(EW)=   5.49,PGV(V)=   0.32,PGV(NS)=   0.71,PGV(EW)=   0.76,Int= 2¯Å,PGA(SUM)=   6.53,PGV(SUM)=   0.76
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  41.63,AZ=282.27,PGA(V)=   7.69,PGA(NS)=  12.60,PGA(EW)=  14.82,PGV(V)=   0.15,PGV(NS)=   0.30,PGV(EW)=   0.32,Int= 3¯Å,PGA(SUM)=  11.62,PGV(SUM)=   0.36
