Origin Time:2022/09/18 09:52:34
Lon:121.30¢XE
Lat:23.09¢XN
Depth:13.9km
Mag:5.0
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=   7.12,AZ= 79.43,PGA(V)=  13.59,PGA(NS)=  42.65,PGA(EW)=  40.26,PGV(V)=   0.47,PGV(NS)=   0.66,PGV(EW)=   1.28,Int= 4¯Å,PGA(SUM)=  26.94,PGV(SUM)=   1.35
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=   8.82,AZ=276.71,PGA(V)=  20.50,PGA(NS)=  54.76,PGA(EW)=  39.19,PGV(V)=   0.88,PGV(NS)=   2.56,PGV(EW)=   2.74,Int= 4¯Å,PGA(SUM)=  54.49,PGV(SUM)=   2.81
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  12.26,AZ=304.56,PGA(V)=  19.92,PGA(NS)=  14.94,PGA(EW)=  14.11,PGV(V)=   0.55,PGV(NS)=   0.40,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  19.03,PGV(SUM)=   0.55
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  12.52,AZ=354.95,PGA(V)=   7.39,PGA(NS)=  25.44,PGA(EW)=  21.04,PGV(V)=   0.22,PGV(NS)=   1.00,PGV(EW)=   0.82,Int= 4¯Å,PGA(SUM)=  27.78,PGV(SUM)=   1.07
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  12.57,AZ=180.36,PGA(V)=  13.92,PGA(NS)=  21.02,PGA(EW)=  27.70,PGV(V)=   0.37,PGV(NS)=   0.67,PGV(EW)=   0.55,Int= 3¯Å,PGA(SUM)=  17.58,PGV(SUM)=   0.74
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  26.77,AZ=222.01,PGA(V)=   4.85,PGA(NS)=  12.40,PGA(EW)=   8.67,PGV(V)=   0.21,PGV(NS)=   0.61,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  11.70,PGV(SUM)=   0.62
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  28.96,AZ=  2.92,PGA(V)=   2.96,PGA(NS)=   6.07,PGA(EW)=   4.67,PGV(V)=   0.12,PGV(NS)=   0.34,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.80,PGV(SUM)=   0.36
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  29.59,AZ= 30.46,PGA(V)=   5.95,PGA(NS)=   9.61,PGA(EW)=  13.07,PGV(V)=   0.14,PGV(NS)=   0.28,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=   9.52,PGV(SUM)=   0.31
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  37.60,AZ=217.80,PGA(V)=   1.64,PGA(NS)=   3.85,PGA(EW)=   2.89,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.57,PGV(SUM)=   0.20
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  40.01,AZ=202.58,PGA(V)=   1.33,PGA(NS)=   4.49,PGA(EW)=   2.47,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   4.92,PGV(SUM)=   0.25
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  46.34,AZ=  3.19,PGA(V)=   1.21,PGA(NS)=   3.02,PGA(EW)=   2.97,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.72,PGV(SUM)=   0.13
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  48.72,AZ=159.72,PGA(V)=   2.17,PGA(NS)=   4.53,PGA(EW)=   3.55,PGV(V)=   0.11,PGV(NS)=   0.33,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.64,PGV(SUM)=   0.33
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  54.60,AZ=280.92,PGA(V)=   2.62,PGA(NS)=   4.67,PGA(EW)=   5.98,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   5.22,PGV(SUM)=   0.14
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  56.78,AZ=321.50,PGA(V)=   1.77,PGA(NS)=   2.87,PGA(EW)=   3.12,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.49,PGV(SUM)=   0.17
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  64.66,AZ=212.95,PGA(V)=   0.50,PGA(NS)=   0.86,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.04
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  65.75,AZ= 11.00,PGA(V)=   0.89,PGA(NS)=   1.38,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.09
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  68.24,AZ=261.36,PGA(V)=   0.51,PGA(NS)=   0.59,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.04
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  68.64,AZ=312.95,PGA(V)=   0.61,PGA(NS)=   2.36,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.46,PGV(SUM)=   0.08
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  72.01,AZ=284.04,PGA(V)=   0.50,PGA(NS)=   1.00,PGA(EW)=   1.31,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.06
