Origin Time:2022/09/18 17:15:06
Lon:121.36E
Lat:23.22N
Depth:19.1km
Mag:4.6
Stacode=FULB,Staname=碔ń  ,Stalon=121.29,Stalat=23.20,Dist=   7.41,AZ=252.69,PGA(V)=   4.21,PGA(NS)=   9.29,PGA(EW)=  11.66,PGV(V)=   0.22,PGV(NS)=   0.43,PGV(EW)=   0.57,Int= 3,PGA(SUM)=  11.72,PGV(SUM)=   0.66
Stacode=CHK ,Staname=Θ  ,Stalon=121.37,Stalat=23.10,Dist=  13.41,AZ=175.62,PGA(V)=   2.50,PGA(NS)=   6.91,PGA(EW)=   7.35,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 2,PGA(SUM)=   4.27,PGV(SUM)=   0.15
Stacode=ECB ,Staname=镭  ,Stalon=121.45,Stalat=23.32,Dist=  14.10,AZ= 39.80,PGA(V)=   7.88,PGA(NS)=   7.32,PGA(EW)=  18.00,PGV(V)=   0.12,PGV(NS)=   0.31,PGV(EW)=   0.48,Int= 3,PGA(SUM)=  17.13,PGV(SUM)=   0.48
Stacode=EYUL,Staname=ドń  ,Stalon=121.32,Stalat=23.35,Dist=  14.94,AZ=342.51,PGA(V)=   4.79,PGA(NS)=   5.25,PGA(EW)=   6.38,PGV(V)=   0.11,PGV(NS)=   0.26,PGV(EW)=   0.37,Int= 2,PGA(SUM)=   7.05,PGV(SUM)=   0.38
Stacode=EHD ,Staname=狠  ,Stalon=121.21,Stalat=23.15,Dist=  17.82,AZ=244.33,PGA(V)=   8.87,PGA(NS)=  11.35,PGA(EW)=   9.81,PGV(V)=   0.20,PGV(NS)=   0.38,PGV(EW)=   0.30,Int= 3,PGA(SUM)=  13.68,PGV(SUM)=   0.44
Stacode=ECS ,Staname=  ,Stalon=121.22,Stalat=23.10,Dist=  20.07,AZ=227.18,PGA(V)=   4.34,PGA(NS)=   6.47,PGA(EW)=   9.85,PGV(V)=   0.17,PGV(NS)=   0.40,PGV(EW)=   0.44,Int= 3,PGA(SUM)=  10.01,PGV(SUM)=   0.44
Stacode=EDH ,Staname=狥猠  ,Stalon=121.30,Stalat=22.97,Dist=  27.91,AZ=192.53,PGA(V)=   2.47,PGA(NS)=   4.64,PGA(EW)=   3.47,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 2,PGA(SUM)=   4.84,PGV(SUM)=   0.18
Stacode=EHY ,Staname=腑  ,Stalon=121.33,Stalat=23.50,Dist=  31.78,AZ=353.89,PGA(V)=   2.47,PGA(NS)=   6.51,PGA(EW)=   8.31,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2,PGA(SUM)=   4.32,PGV(SUM)=   0.19
Stacode=LONT,Staname=忱偿  ,Stalon=121.13,Stalat=22.91,Dist=  42.01,AZ=214.65,PGA(V)=   1.51,PGA(NS)=   1.95,PGA(EW)=   1.71,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1,PGA(SUM)=   1.97,PGV(SUM)=   0.12
Stacode=YUS ,Staname=ド  ,Stalon=120.96,Stalat=23.49,Dist=  50.91,AZ=305.79,PGA(V)=   0.95,PGA(NS)=   1.69,PGA(EW)=   2.84,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 2,PGA(SUM)=   3.03,PGV(SUM)=   0.14
Stacode=TWG ,Staname=玭  ,Stalon=121.08,Stalat=22.82,Dist=  53.03,AZ=213.17,PGA(V)=   0.83,PGA(NS)=   1.06,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1,PGA(SUM)=   1.27,PGV(SUM)=   0.06
