Origin Time:2022/09/18 17:19:34
Lon:121.35¢XE
Lat:23.37¢XN
Depth:13.9km
Mag:4.7
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=   3.76,AZ=225.50,PGA(V)=  17.36,PGA(NS)=  21.13,PGA(EW)=  21.99,PGV(V)=   0.32,PGV(NS)=   1.01,PGV(EW)=   0.85,Int= 4¯Å,PGA(SUM)=  25.37,PGV(SUM)=   1.11
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  12.40,AZ=119.23,PGA(V)=   7.69,PGA(NS)=  12.66,PGA(EW)=  20.58,PGV(V)=   0.30,PGV(NS)=   0.55,PGV(EW)=   1.06,Int= 3¯Å,PGA(SUM)=  24.02,PGV(SUM)=   1.12
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  14.79,AZ=353.88,PGA(V)=   4.87,PGA(NS)=  12.30,PGA(EW)=  14.04,PGV(V)=   0.22,PGV(NS)=   0.42,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  16.21,PGV(SUM)=   0.63
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  19.80,AZ=195.41,PGA(V)=   5.78,PGA(NS)=  24.90,PGA(EW)=  16.45,PGV(V)=   0.34,PGV(NS)=   1.22,PGV(EW)=   0.93,Int= 4¯Å,PGA(SUM)=  30.70,PGV(SUM)=   1.27
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  30.39,AZ=174.65,PGA(V)=   2.45,PGA(NS)=   3.76,PGA(EW)=   4.81,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   5.24,PGV(SUM)=   0.26
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  33.15,AZ=202.92,PGA(V)=   1.92,PGA(NS)=   4.50,PGA(EW)=   5.15,PGV(V)=   0.09,PGV(NS)=   0.22,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   5.64,PGV(SUM)=   0.25
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  34.03,AZ= 14.26,PGA(V)=   1.02,PGA(NS)=   1.62,PGA(EW)=   1.60,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.09
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  41.51,AZ=288.07,PGA(V)=   4.25,PGA(NS)=   3.38,PGA(EW)=   6.98,PGV(V)=   0.16,PGV(NS)=   0.10,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   7.04,PGV(SUM)=   0.20
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  42.63,AZ= 28.96,PGA(V)=   0.54,PGA(NS)=   0.82,PGA(EW)=   1.20,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.06
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  44.33,AZ=185.49,PGA(V)=   1.10,PGA(NS)=   2.52,PGA(EW)=   2.26,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.55,PGV(SUM)=   0.15
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  51.18,AZ= 25.69,PGA(V)=   0.42,PGA(NS)=   0.86,PGA(EW)=   0.85,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.07
