Origin Time:2022/09/21 09:13:44
Lon:121.15¢XE
Lat:23.07¢XN
Depth:14.1km
Mag:4.7
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=   7.62,AZ= 66.17,PGA(V)=  12.15,PGA(NS)=  20.85,PGA(EW)=  17.10,PGV(V)=   0.42,PGV(NS)=   1.17,PGV(EW)=   0.68,Int= 3¯Å,PGA(SUM)=  21.86,PGV(SUM)=   1.18
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  10.62,AZ= 32.00,PGA(V)=   8.82,PGA(NS)=  14.20,PGA(EW)=  12.85,PGV(V)=   0.20,PGV(NS)=   0.44,PGV(EW)=   0.23,Int= 3¯Å,PGA(SUM)=  13.49,PGV(SUM)=   0.46
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  17.97,AZ=186.97,PGA(V)=   5.78,PGA(NS)=  10.28,PGA(EW)=  12.76,PGV(V)=   0.23,PGV(NS)=   0.40,PGV(EW)=   0.79,Int= 3¯Å,PGA(SUM)=  13.89,PGV(SUM)=   0.85
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  18.50,AZ=315.71,PGA(V)=  10.02,PGA(NS)=   9.46,PGA(EW)=  12.26,PGV(V)=   0.20,PGV(NS)=   0.18,PGV(EW)=   0.19,Int= 3¯Å,PGA(SUM)=   8.30,PGV(SUM)=   0.25
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  18.86,AZ=123.90,PGA(V)=   7.19,PGA(NS)=  16.02,PGA(EW)=  19.56,PGV(V)=   0.22,PGV(NS)=   0.56,PGV(EW)=   0.78,Int= 3¯Å,PGA(SUM)=  22.52,PGV(SUM)=   0.92
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  20.60,AZ= 45.19,PGA(V)=   3.71,PGA(NS)=   7.07,PGA(EW)=   7.42,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   7.61,PGV(SUM)=   0.25
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  22.97,AZ= 81.60,PGA(V)=   2.66,PGA(NS)=   9.73,PGA(EW)=   6.23,PGV(V)=   0.10,PGV(NS)=   0.34,PGV(EW)=   0.32,Int= 3¯Å,PGA(SUM)=   8.10,PGV(SUM)=   0.34
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  28.61,AZ=194.80,PGA(V)=   2.97,PGA(NS)=   8.12,PGA(EW)=   6.04,PGV(V)=   0.10,PGV(NS)=   0.23,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   7.72,PGV(SUM)=   0.27
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  34.90,AZ=179.37,PGA(V)=   1.10,PGA(NS)=   2.14,PGA(EW)=   1.73,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.13
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  35.42,AZ= 29.03,PGA(V)=   1.31,PGA(NS)=   1.63,PGA(EW)=   1.33,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.06
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  39.87,AZ=288.11,PGA(V)=   7.13,PGA(NS)=  12.59,PGA(EW)=  23.60,PGV(V)=   0.20,PGV(NS)=   0.42,PGV(EW)=   0.58,Int= 3¯Å,PGA(SUM)=  24.28,PGV(SUM)=   0.72
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  41.26,AZ= 48.10,PGA(V)=   0.57,PGA(NS)=   0.83,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.07
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  50.47,AZ=337.09,PGA(V)=   0.77,PGA(NS)=   2.24,PGA(EW)=   1.84,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.10
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  51.66,AZ= 20.73,PGA(V)=   1.60,PGA(NS)=   3.14,PGA(EW)=   2.85,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.98,PGV(SUM)=   0.06
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  52.39,AZ=260.99,PGA(V)=   2.09,PGA(NS)=   0.72,PGA(EW)=   1.16,PGV(V)=   0.05,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.05
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  54.51,AZ=143.21,PGA(V)=   1.88,PGA(NS)=   3.14,PGA(EW)=   3.61,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.57,PGV(SUM)=   0.19
