Origin Time:2022/09/30 22:37:20
Lon:121.29¢XE
Lat:22.88¢XN
Depth:18.6km
Mag:4.9
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  10.52,AZ=  9.10,PGA(V)=  14.74,PGA(NS)=  34.45,PGA(EW)=  25.42,PGV(V)=   0.39,PGV(NS)=   0.77,PGV(EW)=   0.67,Int= 4¯Å,PGA(SUM)=  28.29,PGV(SUM)=   0.86
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  16.47,AZ=280.75,PGA(V)=  17.82,PGA(NS)=  18.88,PGA(EW)=  18.50,PGV(V)=   0.48,PGV(NS)=   0.93,PGV(EW)=   0.92,Int= 3¯Å,PGA(SUM)=  20.28,PGV(SUM)=   1.14
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  19.52,AZ=224.26,PGA(V)=   4.72,PGA(NS)=  11.00,PGA(EW)=  11.39,PGV(V)=   0.20,PGV(NS)=   0.37,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  13.69,PGV(SUM)=   0.55
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  22.36,AZ=252.43,PGA(V)=   7.40,PGA(NS)=   9.95,PGA(EW)=  12.70,PGV(V)=   0.35,PGV(NS)=   0.40,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  14.75,PGV(SUM)=   0.56
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  25.00,AZ=343.69,PGA(V)=   8.78,PGA(NS)=  27.79,PGA(EW)=  13.10,PGV(V)=   0.40,PGV(NS)=   1.17,PGV(EW)=   0.82,Int= 4¯Å,PGA(SUM)=  27.78,PGV(SUM)=   1.17
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  25.80,AZ= 19.82,PGA(V)=   5.48,PGA(NS)=  10.97,PGA(EW)=  12.31,PGV(V)=   0.22,PGV(NS)=   0.34,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=  10.36,PGV(SUM)=   0.37
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  29.41,AZ=140.65,PGA(V)=   5.88,PGA(NS)=  12.73,PGA(EW)=  10.55,PGV(V)=   0.23,PGV(NS)=   0.83,PGV(EW)=   0.73,Int= 3¯Å,PGA(SUM)=  13.57,PGV(SUM)=   0.94
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  31.06,AZ=344.39,PGA(V)=   5.68,PGA(NS)=   5.71,PGA(EW)=   5.73,PGV(V)=   0.13,PGV(NS)=   0.29,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   7.67,PGV(SUM)=   0.35
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  35.44,AZ=  1.03,PGA(V)=   1.96,PGA(NS)=   8.36,PGA(EW)=   5.23,PGV(V)=   0.11,PGV(NS)=   0.34,PGV(EW)=   0.25,Int= 3¯Å,PGA(SUM)=   8.28,PGV(SUM)=   0.39
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  43.49,AZ=321.76,PGA(V)=   3.21,PGA(NS)=   3.33,PGA(EW)=   4.54,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   5.24,PGV(SUM)=   0.19
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  45.81,AZ=226.90,PGA(V)=   1.36,PGA(NS)=   2.17,PGA(EW)=   2.72,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.83,PGV(SUM)=   0.10
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  51.28,AZ= 19.07,PGA(V)=   3.05,PGA(NS)=   6.76,PGA(EW)=   4.74,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   5.52,PGV(SUM)=   0.27
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  51.99,AZ=  3.55,PGA(V)=   0.89,PGA(NS)=   0.96,PGA(EW)=   0.98,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.07
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  61.68,AZ=302.68,PGA(V)=   1.79,PGA(NS)=   2.77,PGA(EW)=   1.79,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.13
Stacode=SLG ,Staname=¤»Àt  ,Stalon=120.65,Stalat=22.99,Dist=  66.99,AZ=280.93,PGA(V)=   0.47,PGA(NS)=   0.99,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.05
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  68.11,AZ=257.38,PGA(V)=   1.18,PGA(NS)=   2.90,PGA(EW)=   1.72,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   3.16,PGV(SUM)=   0.14
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  68.73,AZ=253.79,PGA(V)=   0.92,PGA(NS)=   1.74,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.05
