Origin Time:2022/10/07 22:06:55
Lon:121.29¢XE
Lat:23.45¢XN
Depth:13.1km
Mag:4.6
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=   6.80,AZ= 31.94,PGA(V)=  16.79,PGA(NS)=  41.16,PGA(EW)=  64.21,PGV(V)=   0.31,PGV(NS)=   0.83,PGV(EW)=   0.83,Int= 4¯Å,PGA(SUM)=  34.39,PGV(SUM)=   0.92
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  11.84,AZ=167.82,PGA(V)=   4.98,PGA(NS)=   7.11,PGA(EW)=  10.12,PGV(V)=   0.17,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   8.00,PGV(SUM)=   0.25
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  21.93,AZ=133.14,PGA(V)=   1.54,PGA(NS)=   4.95,PGA(EW)=   3.28,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   4.25,PGV(SUM)=   0.29
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  27.60,AZ= 29.40,PGA(V)=   4.24,PGA(NS)=   4.56,PGA(EW)=   6.54,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.95,PGV(SUM)=   0.10
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  28.03,AZ=180.16,PGA(V)=   2.25,PGA(NS)=   6.64,PGA(EW)=   7.04,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   7.04,PGV(SUM)=   0.27
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  34.50,AZ=276.57,PGA(V)=   4.08,PGA(NS)=   7.35,PGA(EW)=   9.14,PGV(V)=   0.15,PGV(NS)=   0.27,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=   8.55,PGV(SUM)=   0.43
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  34.74,AZ=195.11,PGA(V)=   4.05,PGA(NS)=   4.07,PGA(EW)=   4.06,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.33,PGV(SUM)=   0.15
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  38.35,AZ= 42.29,PGA(V)=   0.65,PGA(NS)=   1.20,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.04
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  40.00,AZ=168.44,PGA(V)=   0.61,PGA(NS)=   1.21,PGA(EW)=   1.97,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.07
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  40.21,AZ=191.07,PGA(V)=   1.05,PGA(NS)=   2.02,PGA(EW)=   1.38,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.08
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  42.64,AZ= 20.57,PGA(V)=   1.74,PGA(NS)=   5.37,PGA(EW)=   5.98,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.96,PGV(SUM)=   0.09
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  46.17,AZ= 36.33,PGA(V)=   0.53,PGA(NS)=   1.12,PGA(EW)=   0.82,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.07
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  52.57,AZ=301.00,PGA(V)=   1.15,PGA(NS)=   2.29,PGA(EW)=   4.18,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.20,PGV(SUM)=   0.14
