Origin Time:2022/10/10 20:17:51
Lon:121.53¢XE
Lat:23.61¢XN
Depth:31.2km
Mag:5.3
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  11.02,AZ=  7.54,PGA(V)=  27.29,PGA(NS)=  28.33,PGA(EW)=  22.14,PGV(V)=   0.29,PGV(NS)=   0.75,PGV(EW)=   0.89,Int= 3¯Å,PGA(SUM)=  24.95,PGV(SUM)=   0.90
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  12.67,AZ=301.43,PGA(V)=  18.82,PGA(NS)=  23.71,PGA(EW)=  16.29,PGV(V)=   0.31,PGV(NS)=   0.79,PGV(EW)=   0.72,Int= 3¯Å,PGA(SUM)=  20.74,PGV(SUM)=   0.84
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  19.98,AZ=  8.62,PGA(V)=  11.22,PGA(NS)=   8.46,PGA(EW)=  11.27,PGV(V)=   0.25,PGV(NS)=   0.35,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=  10.02,PGV(SUM)=   0.39
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  23.82,AZ=240.67,PGA(V)=   7.01,PGA(NS)=  11.35,PGA(EW)=  16.52,PGV(V)=   0.13,PGV(NS)=   0.27,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   7.48,PGV(SUM)=   0.32
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  24.35,AZ=337.38,PGA(V)=   5.82,PGA(NS)=  19.44,PGA(EW)=  20.27,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   7.83,PGV(SUM)=   0.35
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  33.36,AZ= 12.11,PGA(V)=   4.65,PGA(NS)=  10.39,PGA(EW)=   9.71,PGV(V)=   0.19,PGV(NS)=   0.45,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  10.43,PGV(SUM)=   0.49
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  33.50,AZ=194.50,PGA(V)=   9.14,PGA(NS)=  24.93,PGA(EW)=  22.23,PGV(V)=   0.32,PGV(NS)=   0.87,PGV(EW)=   0.49,Int= 4¯Å,PGA(SUM)=  25.17,PGV(SUM)=   0.87
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  36.34,AZ=217.03,PGA(V)=   2.90,PGA(NS)=   4.07,PGA(EW)=   4.22,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   4.11,PGV(SUM)=   0.26
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  39.68,AZ=354.02,PGA(V)=   5.84,PGA(NS)=   7.82,PGA(EW)=   6.92,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   7.01,PGV(SUM)=   0.28
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  41.34,AZ= 11.40,PGA(V)=   2.75,PGA(NS)=   4.62,PGA(EW)=   6.95,PGV(V)=   0.14,PGV(NS)=   0.31,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   7.24,PGV(SUM)=   0.43
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  51.64,AZ=208.29,PGA(V)=   3.91,PGA(NS)=   8.40,PGA(EW)=   9.68,PGV(V)=   0.17,PGV(NS)=   0.40,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=   9.71,PGV(SUM)=   0.50
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  52.79,AZ=  7.93,PGA(V)=   1.23,PGA(NS)=   1.19,PGA(EW)=   1.38,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.10
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  58.96,AZ=196.14,PGA(V)=   4.91,PGA(NS)=  18.44,PGA(EW)=  21.91,PGV(V)=   0.17,PGV(NS)=   0.71,PGV(EW)=   0.80,Int= 4¯Å,PGA(SUM)=  26.26,PGV(SUM)=   0.94
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  60.16,AZ=257.04,PGA(V)=   3.18,PGA(NS)=  11.72,PGA(EW)=   8.89,PGV(V)=   0.19,PGV(NS)=   0.57,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  13.13,PGV(SUM)=   0.68
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  60.98,AZ=213.27,PGA(V)=   5.17,PGA(NS)=   5.37,PGA(EW)=   4.98,PGV(V)=   0.16,PGV(NS)=   0.38,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   5.94,PGV(SUM)=   0.38
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  61.49,AZ=  8.54,PGA(V)=   1.42,PGA(NS)=   4.32,PGA(EW)=   4.12,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.72,PGV(SUM)=   0.13
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  64.86,AZ=335.82,PGA(V)=   1.70,PGA(NS)=   3.99,PGA(EW)=   5.26,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.27,PGV(SUM)=   0.23
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  65.35,AZ=209.44,PGA(V)=   3.85,PGA(NS)=  10.33,PGA(EW)=   6.94,PGV(V)=   0.25,PGV(NS)=   0.64,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  10.38,PGV(SUM)=   0.64
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  66.40,AZ=355.47,PGA(V)=   3.77,PGA(NS)=   8.27,PGA(EW)=   4.88,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   7.72,PGV(SUM)=   0.23
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  70.04,AZ=277.90,PGA(V)=   0.93,PGA(NS)=   2.79,PGA(EW)=   1.89,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.33,PGV(SUM)=   0.19
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  70.48,AZ=295.32,PGA(V)=   1.07,PGA(NS)=   2.18,PGA(EW)=   3.05,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.10,PGV(SUM)=   0.25
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  74.31,AZ=198.41,PGA(V)=   5.14,PGA(NS)=  14.01,PGA(EW)=  12.64,PGV(V)=   0.19,PGV(NS)=   0.62,PGV(EW)=   0.46,Int= 3¯Å,PGA(SUM)=  13.89,PGV(SUM)=   0.63
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.95,Stalat=24.01,Dist=  74.51,AZ=306.99,PGA(V)=   1.00,PGA(NS)=   0.72,PGA(EW)=   0.98,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.09
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  75.17,AZ=295.86,PGA(V)=   0.44,PGA(NS)=   0.73,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  76.61,AZ=337.37,PGA(V)=   1.44,PGA(NS)=   2.47,PGA(EW)=   2.32,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.95,PGV(SUM)=   0.13
