Origin Time:2022/11/05 22:42:13
Lon:120.62E
Lat:23.43N
Depth:13.6km
Mag:4.1
Stacode=WCKO,Staname=礷隔  ,Stalon=120.60,Stalat=23.44,Dist=   1.31,BAZ=126.38,PGA(V)=  34.09,PGA(NS)=  66.28,PGA(EW)=  79.31,PGV(V)=   0.90,PGV(NS)=   1.88,PGV(EW)=   2.35,Int= 4,PGA(SUM)=  81.33,PGV(SUM)=   2.44
Stacode=CHN2,Staname=チ动  ,Stalon=120.47,Stalat=23.53,Dist=  18.16,BAZ=127.75,PGA(V)=   4.84,PGA(NS)=   9.84,PGA(EW)=   8.80,PGV(V)=   0.14,PGV(NS)=   0.28,PGV(EW)=   0.21,Int= 3,PGA(SUM)=   9.80,PGV(SUM)=   0.29
Stacode=CHN5,Staname=拉  ,Stalon=120.68,Stalat=23.60,Dist=  19.44,BAZ=199.19,PGA(V)=   3.68,PGA(NS)=   6.29,PGA(EW)=  11.40,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.47,Int= 3,PGA(SUM)=  11.82,PGV(SUM)=   0.49
Stacode=CHY ,Staname=古竡カ,Stalon=120.43,Stalat=23.50,Dist=  19.98,BAZ=111.05,PGA(V)=   2.07,PGA(NS)=   2.89,PGA(EW)=   5.84,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.20,Int= 2,PGA(SUM)=   5.97,PGV(SUM)=   0.20
Stacode=WTP ,Staname=瓾  ,Stalon=120.62,Stalat=23.24,Dist=  20.80,BAZ=357.94,PGA(V)=   1.61,PGA(NS)=   3.31,PGA(EW)=   4.72,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1,PGA(SUM)=   2.20,PGV(SUM)=   0.09
Stacode=TWL ,Staname=狥  ,Stalon=120.50,Stalat=23.26,Dist=  21.89,BAZ= 32.51,PGA(V)=   1.55,PGA(NS)=   1.37,PGA(EW)=   1.89,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1,PGA(SUM)=   1.93,PGV(SUM)=   0.07
Stacode=WGK ,Staname=  ,Stalon=120.57,Stalat=23.68,Dist=  28.38,BAZ=170.75,PGA(V)=   1.26,PGA(NS)=   3.80,PGA(EW)=   2.62,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2,PGA(SUM)=   3.28,PGV(SUM)=   0.09
Stacode=CHN1,Staname=罚﹁  ,Stalon=120.53,Stalat=23.19,Dist=  28.70,BAZ= 17.95,PGA(V)=   0.96,PGA(NS)=   1.66,PGA(EW)=   1.82,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1,PGA(SUM)=   1.05,PGV(SUM)=   0.04
Stacode=WDL ,Staname=ゆせカ,Stalon=120.54,Stalat=23.71,Dist=  32.33,BAZ=166.04,PGA(V)=   1.21,PGA(NS)=   1.52,PGA(EW)=   2.19,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1,PGA(SUM)=   2.15,PGV(SUM)=   0.08
Stacode=STYH,Staname=方  ,Stalon=120.78,Stalat=23.18,Dist=  32.68,BAZ=328.68,PGA(V)=   3.08,PGA(NS)=   4.23,PGA(EW)=   3.66,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 2,PGA(SUM)=   3.71,PGV(SUM)=   0.09
Stacode=CHY1,Staname=び玂カ,Stalon=120.29,Stalat=23.46,Dist=  32.93,BAZ= 94.92,PGA(V)=   1.14,PGA(NS)=   2.41,PGA(EW)=   3.04,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2,PGA(SUM)=   3.05,PGV(SUM)=   0.13
Stacode=YUS ,Staname=ド  ,Stalon=120.96,Stalat=23.49,Dist=  35.69,BAZ=260.03,PGA(V)=   0.41,PGA(NS)=   0.81,PGA(EW)=   1.05,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1,PGA(SUM)=   1.00,PGV(SUM)=   0.04
