Origin Time:2022/11/15 19:53:21
Lon:121.03¢XE
Lat:22.40¢XN
Depth:10.6km
Mag:5.1
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  15.85,BAZ= 64.13,PGA(V)=   6.65,PGA(NS)=  19.25,PGA(EW)=  13.64,PGV(V)=   0.23,PGV(NS)=   0.56,PGV(EW)=   0.61,Int= 3¯Å,PGA(SUM)=  18.89,PGV(SUM)=   0.74
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  17.64,BAZ= 82.73,PGA(V)=  10.11,PGA(NS)=  21.51,PGA(EW)=  18.35,PGV(V)=   0.43,PGV(NS)=   1.16,PGV(EW)=   0.99,Int= 3¯Å,PGA(SUM)=  24.26,PGV(SUM)=   1.17
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  22.46,BAZ=162.86,PGA(V)=   7.18,PGA(NS)=   9.45,PGA(EW)=  11.17,PGV(V)=   0.20,PGV(NS)=   0.25,PGV(EW)=   0.41,Int= 3¯Å,PGA(SUM)=  10.95,PGV(SUM)=   0.44
Stacode=SLIU,Staname=·à¤l  ,Stalon=120.80,Stalat=22.22,Dist=  31.18,BAZ= 48.67,PGA(V)=   2.37,PGA(NS)=   5.46,PGA(EW)=   4.18,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   5.55,PGV(SUM)=   0.19
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  40.97,BAZ=198.82,PGA(V)=   1.52,PGA(NS)=   3.40,PGA(EW)=   2.62,PGV(V)=   0.15,PGV(NS)=   0.35,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.37,PGV(SUM)=   0.38
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  41.14,BAZ= 85.08,PGA(V)=   1.17,PGA(NS)=   2.20,PGA(EW)=   1.95,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.37,PGV(SUM)=   0.13
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  46.34,BAZ=186.82,PGA(V)=   1.17,PGA(NS)=   1.86,PGA(EW)=   1.81,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.15
Stacode=SMS ,Staname=º¡¦{  ,Stalon=120.84,Stalat=22.02,Dist=  46.56,BAZ= 24.78,PGA(V)=   1.16,PGA(NS)=   3.45,PGA(EW)=   2.63,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.23,PGV(SUM)=   0.13
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  48.01,BAZ=100.81,PGA(V)=   1.59,PGA(NS)=   4.50,PGA(EW)=   3.20,PGV(V)=   0.16,PGV(NS)=   0.38,PGV(EW)=   0.40,Int= 2¯Å,PGA(SUM)=   5.20,PGV(SUM)=   0.48
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  51.64,BAZ=130.56,PGA(V)=   1.01,PGA(NS)=   1.83,PGA(EW)=   1.65,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.07
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist=  52.74,BAZ= 33.23,PGA(V)=   0.63,PGA(NS)=   1.42,PGA(EW)=   1.75,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.16
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  54.56,BAZ=236.61,PGA(V)=   0.84,PGA(NS)=   1.56,PGA(EW)=   1.50,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.12
