Origin Time:2022/12/14 22:32:29
Lon:121.34¢XE
Lat:23.57¢XN
Depth:15.2km
Mag:4.6
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=   7.82,BAZ=  6.19,PGA(V)= 108.05,PGA(NS)= 147.85,PGA(EW)= 332.43,PGV(V)=   2.16,PGV(NS)=   2.98,PGV(EW)=   4.97,Int= 4¯Å,PGA(SUM)= 224.09,PGV(SUM)=   5.63
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  13.91,BAZ=220.93,PGA(V)=   9.09,PGA(NS)=  22.87,PGA(EW)=  11.76,PGV(V)=   0.12,PGV(NS)=   0.47,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  19.14,PGV(SUM)=   0.63
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  25.19,BAZ=  4.43,PGA(V)=   5.54,PGA(NS)=  13.55,PGA(EW)=   7.79,PGV(V)=   0.16,PGV(NS)=   0.44,PGV(EW)=   0.29,Int= 3¯Å,PGA(SUM)=  13.87,PGV(SUM)=   0.49
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  26.00,BAZ=235.26,PGA(V)=   1.30,PGA(NS)=   1.89,PGA(EW)=   1.76,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.08
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  28.39,BAZ=201.81,PGA(V)=   4.55,PGA(NS)=  17.03,PGA(EW)=  11.96,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.48,PGV(SUM)=   0.18
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  30.78,BAZ=337.96,PGA(V)=   2.33,PGA(NS)=   6.62,PGA(EW)=   7.14,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.28,Int= 3¯Å,PGA(SUM)=   8.39,PGV(SUM)=   0.30
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  32.92,BAZ=224.08,PGA(V)=   0.57,PGA(NS)=   0.82,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.05
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  39.87,BAZ= 76.10,PGA(V)=   2.84,PGA(NS)=   4.97,PGA(EW)=  12.96,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.75,Int= 3¯Å,PGA(SUM)=  13.16,PGV(SUM)=   0.76
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  45.27,BAZ=158.56,PGA(V)=   1.92,PGA(NS)=   2.07,PGA(EW)=   2.45,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.30,PGV(SUM)=   0.10
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  45.32,BAZ=216.36,PGA(V)=   0.62,PGA(NS)=   1.07,PGA(EW)=   0.99,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.06
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  46.18,BAZ=199.96,PGA(V)=   2.54,PGA(NS)=   2.69,PGA(EW)=   5.08,PGV(V)=   0.06,PGV(NS)=   0.05,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.38,PGV(SUM)=   0.10
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  48.99,BAZ= 16.00,PGA(V)=   3.24,PGA(NS)=   6.12,PGA(EW)=   5.17,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   5.99,PGV(SUM)=   0.23
