Origin Time:2022/12/15 12:05:59
Lon:121.71°E
Lat:23.79°N
Depth:17.8km
Mag:4.7
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  14.63,BAZ= 87.69,PGA(V)=   4.94,PGA(NS)=   4.40,PGA(EW)=   5.59,PGV(V)=   0.12,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   5.08,PGV(SUM)=   0.15
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=  16.23,BAZ=139.04,PGA(V)=   3.58,PGA(NS)=   9.72,PGA(EW)=   8.75,PGV(V)=   0.10,PGV(NS)=   0.27,PGV(EW)=   0.21,Int= 3級,PGA(SUM)=   9.13,PGV(SUM)=   0.28
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  18.71,BAZ= 59.77,PGA(V)=   7.72,PGA(NS)=  15.50,PGA(EW)=   9.95,PGV(V)=   0.18,PGV(NS)=   0.46,PGV(EW)=   0.19,Int= 3級,PGA(SUM)=  12.90,PGV(SUM)=   0.48
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=  22.27,BAZ=154.93,PGA(V)=   1.97,PGA(NS)=   4.94,PGA(EW)=   4.99,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   5.80,PGV(SUM)=   0.33
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  27.04,BAZ= 94.50,PGA(V)=   2.76,PGA(NS)=   5.64,PGA(EW)=   6.67,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.14
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  28.97,BAZ=131.42,PGA(V)=   2.21,PGA(NS)=   3.27,PGA(EW)=   3.86,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.00,PGV(SUM)=   0.09
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  31.55,BAZ= 64.21,PGA(V)=   1.41,PGA(NS)=   2.31,PGA(EW)=   2.41,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.16,PGV(SUM)=   0.08
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  41.40,BAZ=168.19,PGA(V)=   0.72,PGA(NS)=   2.48,PGA(EW)=   2.07,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.06
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  49.98,BAZ= 50.17,PGA(V)=   0.61,PGA(NS)=   1.04,PGA(EW)=   1.37,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.04
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  51.22,BAZ=153.52,PGA(V)=   2.53,PGA(NS)=   2.52,PGA(EW)=   2.42,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.08
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  56.90,BAZ=108.34,PGA(V)=   1.16,PGA(NS)=   1.62,PGA(EW)=   1.16,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.84,PGV(SUM)=   0.05
