Origin Time:2022/12/24 05:17:59
Lon:121.18°E
Lat:23.13°N
Depth:13.9km
Mag:5.2
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=   3.82,BAZ=230.08,PGA(V)=  19.43,PGA(NS)=  52.10,PGA(EW)=  40.02,PGV(V)=   0.54,PGV(NS)=   1.17,PGV(EW)=   0.70,Int= 4級,PGA(SUM)=  43.73,PGV(SUM)=   1.22
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=   5.51,BAZ=309.21,PGA(V)=  32.59,PGA(NS)=  57.96,PGA(EW)=  37.93,PGV(V)=   1.27,PGV(NS)=   2.71,PGV(EW)=   1.70,Int= 4級,PGA(SUM)=  57.10,PGV(SUM)=   2.77
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  16.98,BAZ=113.21,PGA(V)=  20.45,PGA(NS)=  26.44,PGA(EW)=  35.87,PGV(V)=   0.55,PGV(NS)=   0.74,PGV(EW)=   0.78,Int= 4級,PGA(SUM)=  27.23,PGV(SUM)=   0.92
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  20.29,BAZ=279.07,PGA(V)=   4.59,PGA(NS)=  21.25,PGA(EW)=  15.97,PGV(V)=   0.27,PGV(NS)=   0.76,PGV(EW)=   0.59,Int= 3級,PGA(SUM)=  19.70,PGV(SUM)=   0.80
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  21.44,BAZ=322.79,PGA(V)=   6.27,PGA(NS)=  10.41,PGA(EW)=  11.89,PGV(V)=   0.24,PGV(NS)=   0.64,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=  12.57,PGV(SUM)=   0.65
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  24.89,BAZ= 11.31,PGA(V)=  28.50,PGA(NS)=  63.89,PGA(EW)=  72.53,PGV(V)=   0.88,PGV(NS)=   2.27,PGV(EW)=   2.82,Int= 4級,PGA(SUM)=  83.87,PGV(SUM)=   3.25
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  28.40,BAZ=210.68,PGA(V)=   2.36,PGA(NS)=   3.75,PGA(EW)=   3.44,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   4.58,PGV(SUM)=   0.23
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  35.02,BAZ=233.12,PGA(V)=   1.29,PGA(NS)=   2.46,PGA(EW)=   2.38,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.38,PGV(SUM)=   0.19
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  35.68,BAZ= 16.27,PGA(V)=  12.28,PGA(NS)=  23.86,PGA(EW)=  42.24,PGV(V)=   0.56,PGV(NS)=   1.34,PGV(EW)=   2.11,Int= 4級,PGA(SUM)=  43.64,PGV(SUM)=   2.19
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  41.00,BAZ= 98.17,PGA(V)=   5.70,PGA(NS)=   8.83,PGA(EW)=  10.00,PGV(V)=   0.19,PGV(NS)=   0.26,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  10.46,PGV(SUM)=   0.33
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  41.53,BAZ=  3.20,PGA(V)=   3.62,PGA(NS)=  11.70,PGA(EW)=   8.05,PGV(V)=   0.21,PGV(NS)=   0.53,PGV(EW)=   0.46,Int= 3級,PGA(SUM)=  13.58,PGV(SUM)=   0.67
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  44.58,BAZ=200.46,PGA(V)=   2.98,PGA(NS)=   7.69,PGA(EW)=   7.13,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   5.89,PGV(SUM)=   0.19
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  45.78,BAZ=150.80,PGA(V)=   2.09,PGA(NS)=   9.51,PGA(EW)=  12.07,PGV(V)=   0.08,PGV(NS)=   0.45,PGV(EW)=   0.61,Int= 3級,PGA(SUM)=  12.07,PGV(SUM)=   0.64
